Op, T_total, T_queue, T_server, Success
set, 24, 1, 9, true
set, 5, 4, 1, true
set, 17, 7, 9, true
set, 15, 5, 9, true
set, 44, 14, 19, true
set, 37, 6, 29, true
set, 14, 4, 10, true
set, 15, 6, 9, true
set, 16, 7, 9, true
set, 14, 4, 9, true
set, 13, 3, 9, true
set, 82, 3, 78, true
set, 5, 4, 1, true
set, 0, 0, 0, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 9, 7, 2, true
set, 8, 7, 0, true
set, 0, 0, 0, true
set, 9, 7, 2, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 12, 5, 7, true
set, 8, 0, 8, true
set, 8, 0, 8, true
set, 2, 0, 1, true
set, 8, 2, 6, true
set, 7, 0, 7, true
set, 2, 1, 1, true
set, 12, 2, 9, true
set, 16, 8, 8, true
set, 12, 2, 10, true
set, 15, 5, 10, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 16, 5, 10, true
set, 9, 0, 9, true
set, 24, 7, 10, true
set, 3, 3, 0, true
set, 2, 2, 0, true
set, 15, 6, 9, true
set, 13, 4, 9, true
set, 1, 0, 1, true
set, 17, 7, 10, true
set, 5, 4, 1, true
set, 2, 1, 1, true
set, 2, 1, 1, true
set, 16, 6, 10, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 0, 0, 0, true
set, 17, 7, 10, true
set, 1, 0, 0, true
set, 15, 6, 9, true
set, 13, 4, 9, true
set, 13, 1, 12, true
set, 5, 4, 1, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 8, 6, 2, true
set, 1, 0, 0, true
set, 14, 5, 9, true
set, 16, 7, 2, true
set, 10, 4, 6, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 0, 0, 0, true
set, 1, 0, 1, true
set, 16, 6, 10, true
set, 9, 1, 8, true
set, 1, 0, 1, true
set, 13, 3, 9, true
set, 2, 1, 1, true
set, 9, 1, 8, true
set, 1, 0, 1, true
set, 11, 2, 9, true
