Op, T_total, T_queue, T_server, Success
set, 23, 7, 2, true
set, 13, 3, 10, true
set, 15, 5, 10, true
set, 3, 1, 1, true
set, 10, 2, 8, true
set, 23, 3, 19, true
set, 1, 0, 1, true
set, 16, 0, 15, true
set, 4, 2, 2, true
set, 17, 7, 9, true
set, 5, 4, 1, true
set, 9, 0, 9, true
set, 5, 4, 1, true
set, 6, 5, 1, true
set, 5, 3, 1, true
set, 11, 1, 9, true
set, 15, 6, 9, true
set, 8, 0, 7, true
set, 23, 3, 20, true
set, 48, 3, 10, true
set, 7, 7, 0, true
set, 51, 39, 11, true
set, 33, 21, 10, true
set, 1, 0, 1, true
set, 14, 3, 10, true
set, 1, 0, 1, true
set, 13, 3, 10, true
set, 8, 0, 1, true
set, 8, 0, 8, true
set, 8, 8, 0, true
set, 8, 0, 8, true
set, 21, 2, 19, true
set, 10, 2, 8, true
set, 1, 0, 1, true
set, 11, 3, 8, true
set, 2, 1, 1, true
set, 3, 2, 1, true
set, 2, 1, 1, true
set, 16, 7, 9, true
set, 4, 1, 3, true
set, 10, 1, 9, true
set, 11, 2, 9, true
set, 2, 1, 1, true
set, 16, 0, 16, true
set, 1, 0, 1, true
set, 25, 4, 20, true
set, 8, 7, 1, true
set, 26, 7, 19, true
set, 9, 1, 8, true
set, 16, 6, 10, true
set, 15, 5, 10, true
set, 16, 7, 9, true
set, 8, 0, 8, true
set, 10, 2, 8, true
set, 23, 5, 18, true
set, 11, 4, 7, true
set, 8, 0, 8, true
set, 22, 4, 18, true
set, 8, 0, 8, true
set, 2, 0, 2, true
set, 11, 4, 7, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 10, 4, 6, true
set, 7, 0, 7, true
set, 10, 3, 7, true
set, 6, 0, 6, true
set, 1, 0, 1, true
set, 14, 5, 8, true
set, 11, 0, 11, true
set, 10, 0, 9, true
set, 1, 0, 1, true
set, 6, 0, 6, true
set, 1, 0, 1, true
set, 2, 1, 1, true
set, 11, 4, 7, true
set, 2, 0, 2, true
set, 2, 0, 2, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 26, 0, 26, true
set, 0, 0, 0, true
set, 13, 5, 8, true
set, 0, 0, 0, true
set, 9, 0, 9, true
set, 17, 7, 9, true
set, 0, 0, 0, true
set, 22, 3, 19, true
set, 17, 7, 9, true
set, 9, 0, 9, true
set, 16, 7, 9, true
set, 15, 5, 10, true
set, 14, 4, 10, true
set, 16, 7, 9, true
set, 14, 4, 10, true
set, 17, 7, 10, true
set, 1, 0, 1, true
set, 0, 0, 0, true
set, 8, 0, 7, true
set, 54, 7, 33, true
set, 10, 0, 9, true
set, 9, 7, 2, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 8, 7, 1, true
set, 30, 1, 29, true
set, 17, 7, 10, true
set, 4, 3, 1, true
set, 1, 1, 0, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 14, 4, 10, true
set, 7, 6, 1, true
set, 9, 7, 2, true
set, 1, 0, 1, true
set, 8, 0, 7, true
set, 11, 5, 6, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 9, 2, 7, true
set, 2, 0, 2, true
set, 10, 7, 3, true
set, 12, 5, 7, true
set, 9, 1, 8, true
set, 5, 0, 5, true
set, 12, 2, 9, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 11, 1, 10, true
set, 1, 0, 1, true
set, 16, 6, 10, true
set, 15, 4, 10, true
set, 12, 1, 10, true
set, 4, 2, 2, true
set, 2, 0, 2, true
set, 2, 1, 1, true
set, 8, 0, 7, true
set, 16, 6, 9, true
set, 7, 7, 0, true
set, 8, 0, 8, true
set, 14, 4, 9, true
set, 4, 3, 1, true
set, 10, 0, 10, true
set, 8, 0, 8, true
set, 8, 0, 8, true
set, 7, 0, 7, true
set, 9, 0, 9, true
set, 9, 7, 2, true
set, 2, 0, 2, true
set, 7, 5, 2, true
set, 9, 3, 6, true
set, 11, 1, 10, true
set, 2, 0, 2, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 2, 0, 2, true
set, 10, 0, 10, true
set, 9, 0, 9, true
set, 9, 0, 9, true
set, 7, 0, 7, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 8, 6, 2, true
set, 8, 1, 7, true
set, 9, 7, 1, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 14, 4, 10, true
set, 17, 7, 9, true
set, 15, 5, 10, true
set, 4, 2, 2, true
set, 3, 1, 2, true
set, 9, 0, 9, true
set, 2, 1, 1, true
set, 3, 2, 0, true
set, 10, 1, 9, true
set, 8, 0, 8, true
set, 20, 0, 7, true
set, 19, 0, 19, true
