Op, T_total, T_queue, T_server, Success
set, 39, 6, 1, true
set, 9, 1, 8, true
set, 9, 0, 1, true
set, 15, 6, 9, true
set, 12, 2, 10, true
set, 14, 4, 9, true
set, 13, 4, 9, true
set, 1, 0, 1, true
set, 15, 5, 10, true
set, 7, 0, 7, true
set, 23, 4, 19, true
set, 15, 6, 9, true
set, 16, 7, 2, true
set, 10, 0, 9, true
set, 11, 1, 10, true
set, 2, 1, 0, true
set, 24, 6, 11, true
set, 9, 7, 2, true
set, 24, 3, 21, true
set, 23, 5, 18, true
set, 2, 0, 1, true
set, 8, 0, 8, true
set, 12, 2, 10, true
set, 10, 7, 2, true
set, 12, 2, 9, true
set, 11, 1, 9, true
set, 8, 0, 1, true
set, 1, 0, 0, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 15, 4, 10, true
set, 14, 4, 10, true
set, 1, 1, 0, true
set, 25, 5, 20, true
set, 197, 3, 194, true
set, 7, 0, 7, true
set, 23, 13, 9, true
set, 18, 0, 17, true
set, 28, 5, 22, true
set, 9, 0, 9, true
set, 10, 1, 9, true
set, 0, 0, 0, true
set, 1, 0, 1, true
set, 13, 4, 9, true
set, 9, 0, 8, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 10, 9, 1, true
set, 1, 0, 1, true
set, 9, 0, 9, true
set, 2, 1, 1, true
set, 12, 2, 10, true
set, 7, 6, 1, true
set, 13, 3, 9, true
set, 1, 0, 1, true
set, 20, 1, 19, true
set, 8, 7, 1, true
set, 11, 9, 2, true
set, 10, 0, 10, true
set, 9, 0, 8, true
set, 0, 0, 0, true
set, 2, 1, 1, true
set, 8, 6, 2, true
set, 8, 0, 7, true
set, 2, 0, 2, true
set, 38, 0, 1, true
set, 28, 28, 0, true
set, 8, 7, 0, true
set, 0, 0, 0, true
set, 150, 101, 9, true
set, 3, 3, 0, true
set, 160, 149, 10, true
set, 1, 0, 1, true
set, 14, 5, 9, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 2, 0, 2, true
set, 1, 0, 1, true
set, 14, 4, 9, true
set, 16, 6, 10, true
set, 9, 0, 9, true
set, 15, 5, 9, true
set, 16, 6, 3, true
set, 7, 0, 7, true
set, 9, 7, 1, true
set, 7, 0, 7, true
set, 12, 2, 9, true
set, 21, 2, 19, true
set, 8, 0, 7, true
set, 14, 4, 10, true
set, 11, 2, 9, true
set, 2, 1, 1, true
set, 6, 5, 1, true
set, 48, 47, 1, true
set, 1, 1, 0, true
set, 7, 4, 3, true
set, 79, 77, 1, true
set, 1, 0, 1, true
set, 11, 2, 9, true
set, 7, 0, 7, true
set, 8, 0, 8, true
set, 13, 3, 10, true
set, 10, 1, 9, true
set, 14, 4, 10, true
set, 13, 4, 9, true
set, 2, 1, 1, true
set, 8, 7, 1, true
set, 7, 0, 7, true
set, 15, 5, 10, true
set, 14, 4, 9, true
set, 11, 1, 10, true
set, 3, 2, 1, true
set, 2, 0, 2, true
set, 8, 6, 2, true
set, 0, 0, 0, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 8, 6, 2, true
set, 1, 1, 0, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 11, 2, 9, true
set, 9, 0, 9, true
set, 16, 6, 10, true
set, 15, 5, 10, true
set, 8, 7, 1, true
set, 14, 4, 10, true
set, 11, 1, 10, true
set, 1, 0, 1, true
set, 9, 0, 8, true
set, 1, 0, 1, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 12, 3, 9, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 3, 2, 1, true
set, 10, 2, 8, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 8, 7, 1, true
set, 8, 0, 8, true
set, 9, 0, 9, true
set, 0, 0, 0, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 12, 4, 8, true
set, 8, 0, 8, true
set, 17, 2, 15, true
set, 1, 0, 1, true
set, 15, 5, 10, true
set, 10, 6, 4, true
set, 15, 6, 9, true
set, 15, 6, 9, true
set, 7, 0, 6, true
set, 130, 6, 123, true
set, 138, 0, 138, true
set, 10, 0, 10, true
set, 0, 0, 0, true
set, 8, 7, 1, true
set, 2, 0, 1, true
set, 2, 1, 1, true
set, 7, 0, 7, true
set, 4, 2, 1, true
set, 2, 0, 2, true
set, 4, 3, 1, true
set, 3, 2, 1, true
set, 4, 3, 1, true
set, 5, 5, 0, true
set, 7, 7, 0, true
set, 8, 6, 2, true
set, 6, 5, 1, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 4, 3, 0, true
set, 7, 6, 1, true
set, 5, 4, 1, true
set, 6, 4, 2, true
set, 5, 5, 0, true
set, 11, 2, 8, true
set, 5, 4, 1, true
set, 7, 6, 1, true
set, 6, 5, 1, true
set, 5, 4, 1, true
set, 4, 2, 2, true
set, 1, 0, 1, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 6, 5, 1, true
set, 4, 3, 1, true
set, 4, 3, 1, true
set, 1, 0, 1, true
set, 8, 7, 1, true
set, 1, 0, 1, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 7, 6, 1, true
set, 8, 7, 1, true
set, 4, 2, 2, true
set, 5, 4, 1, true
set, 5, 3, 2, true
set, 1, 0, 1, true
set, 7, 6, 1, true
set, 3, 2, 1, true
set, 1, 0, 1, true
set, 16, 3, 13, true
set, 14, 5, 9, true
set, 4, 3, 1, true
set, 1, 0, 1, true
set, 7, 0, 7, true
set, 14, 5, 9, true
