Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
set, 32506700, 4010100, 12621000, 11674316775218, 11674316828418, 11674320838518, 11674320846518, 11674333467518, 11674349281918, true
get, 8932300, 72100, 549300, 11674349919518, 11674350153318, 11674350225418, 11674350477718, 11674351027018, 11674358851818, true
get, 516100, 34700, 445500, 11674396609718, 11674396621218, 11674396655918, 11674396659418, 11674397104918, 11674397125818, true
get, 11495200, 4463900, 6997200, 11674415806918, 11674415816218, 11674420280118, 11674420282718, 11674427279918, 11674427302118, true
get, 1261100, 46500, 1173700, 11674433897018, 11674433907918, 11674433954418, 11674433957318, 11674435131018, 11674435158118, true
get, 456900, 64900, 359700, 11674448483718, 11674448494718, 11674448559618, 11674448562818, 11674448922518, 11674448940618, true
get, 420800, 30500, 270600, 11674468963918, 11674469065118, 11674469095618, 11674469098118, 11674469368718, 11674469384718, true
get, 9719300, 1460300, 8225500, 11674489895818, 11674489912418, 11674491372718, 11674491375218, 11674499600718, 11674499615118, true
get, 556600, 81500, 399600, 11674525267618, 11674525322818, 11674525404318, 11674525407418, 11674525807018, 11674525824218, true
set, 928400, 84800, 751800, 11674534808118, 11674534816618, 11674534901418, 11674534904218, 11674535656018, 11674535736518, true
get, 358000, 24100, 303500, 11674545446818, 11674545456418, 11674545480518, 11674545482818, 11674545786318, 11674545804818, true
get, 605600, 273400, 309500, 11674564720318, 11674564727118, 11674565000518, 11674565002618, 11674565312118, 11674565325918, true
get, 8706200, 8294400, 391300, 11674574259018, 11674574264918, 11674582559318, 11674582561518, 11674582952818, 11674582965218, true
get, 363600, 30500, 308100, 11674594655418, 11674594663018, 11674594693518, 11674594696218, 11674595004318, 11674595019018, true
get, 9618200, 2000600, 7595700, 11674582580518, 11674582587018, 11674584587618, 11674584589818, 11674592185518, 11674592198718, true
get, 4153700, 3635300, 495900, 11674605118718, 11674605125018, 11674608760318, 11674608762618, 11674609258518, 11674609272418, true
get, 1250700, 613400, 612700, 11674622471418, 11674622478418, 11674623091818, 11674623093918, 11674623706618, 11674623722118, true
get, 1053800, 77400, 952700, 11674633985118, 11674633991518, 11674634068918, 11674634072118, 11674635024818, 11674635038918, true
get, 6005000, 137700, 5832800, 11674674048818, 11674674055618, 11674674193318, 11674674196018, 11674680028818, 11674680053818, true
get, 5539800, 4898500, 619300, 11674677084318, 11674677090618, 11674681989118, 11674681991118, 11674682610418, 11674682624118, true
get, 6740900, 5662700, 1037300, 11674691344618, 11674691350718, 11674697013418, 11674697015118, 11674698052418, 11674698085518, true
get, 496300, 33600, 438800, 11674708684318, 11674708690918, 11674708724518, 11674708727218, 11674709166018, 11674709180618, true
get, 739800, 344200, 373500, 11674719619318, 11674719625518, 11674719969718, 11674719971718, 11674720345218, 11674720359118, true
get, 8385600, 815100, 7548400, 11674738217718, 11674738223118, 11674739038218, 11674739041518, 11674746589918, 11674746603318, true
get, 623800, 64200, 527100, 11674769727918, 11674769734318, 11674769798518, 11674769801718, 11674770328818, 11674770351718, true
set, 8724900, 8600, 8556900, 11674765988318, 11674765995018, 11674766003618, 11674766006118, 11674774563018, 11674774713218, true
get, 7659800, 34300, 7598000, 11674787446418, 11674787455018, 11674787489318, 11674787491518, 11674795089518, 11674795106218, true
get, 5989500, 5343400, 625200, 11674799689418, 11674799695318, 11674805038718, 11674805041018, 11674805666218, 11674805678918, true
get, 8210300, 6927600, 1261900, 11674813342918, 11674813349918, 11674820277518, 11674820279518, 11674821541418, 11674821553218, true
get, 24673500, 17458200, 7195300, 11674802776418, 11674802782418, 11674820240618, 11674820242618, 11674827437918, 11674827449918, true
get, 1604300, 341000, 1240800, 11674837503718, 11674837510218, 11674837851218, 11674837854518, 11674839095318, 11674839108018, true
get, 19897300, 9133900, 10744300, 11674847224218, 11674847230318, 11674856364218, 11674856366118, 11674867110418, 11674867121518, true
get, 19118200, 18854600, 245800, 11674849827618, 11674849833718, 11674868688318, 11674868690118, 11674868935918, 11674868945818, true
get, 9353200, 8738600, 596000, 11674870468118, 11674870474018, 11674879212618, 11674879214618, 11674879810618, 11674879821318, true
get, 386300, 33300, 332300, 11674889779818, 11674889786818, 11674889820118, 11674889822818, 11674890155118, 11674890166118, true
get, 2701500, 36600, 2640500, 11674904335018, 11674904341818, 11674904378418, 11674904380418, 11674907020918, 11674907036518, true
get, 1483700, 9100, 1452700, 11674914382118, 11674914389418, 11674914398518, 11674914404418, 11674915857118, 11674915865818, true
get, 769100, 328600, 421900, 11674932520818, 11674932527418, 11674932856018, 11674932858018, 11674933279918, 11674933289918, true
get, 1050200, 117100, 911000, 11674943086318, 11674943096618, 11674943213718, 11674943216718, 11674944127718, 11674944136518, true
get, 6216800, 5872700, 318200, 11674954041218, 11674954047318, 11674959920018, 11674959923218, 11674960241418, 11674960258018, true
set, 6165400, 5426700, 652900, 11674954242118, 11674954248018, 11674959674718, 11674959676918, 11674960329818, 11674960407518, true
get, 739700, 37800, 684000, 11674963630918, 11674963637118, 11674963674918, 11674963676818, 11674964360818, 11674964370618, true
get, 1181800, 262500, 899700, 11674972706718, 11674972713018, 11674972975518, 11674972977318, 11674973877018, 11674973888518, true
get, 317100, 16200, 284300, 11674982858518, 11674982864318, 11674982880518, 11674982882618, 11674983166918, 11674983175618, true
get, 977300, 673800, 287700, 11674992649218, 11674992655018, 11674993328818, 11674993330818, 11674993618518, 11674993626518, true
get, 844400, 256600, 566800, 11675002058518, 11675002064418, 11675002321018, 11675002323718, 11675002890518, 11675002902918, true
get, 642700, 172600, 451700, 11675012899018, 11675012905118, 11675013077718, 11675013080118, 11675013531818, 11675013541718, true
get, 437500, 28100, 383100, 11675023420418, 11675023427518, 11675023455618, 11675023458518, 11675023841618, 11675023857918, true
get, 681200, 107100, 556300, 11675032900118, 11675032906318, 11675033013418, 11675033015418, 11675033571718, 11675033581318, true
get, 3399000, 31400, 3351500, 11675042308118, 11675042313518, 11675042344918, 11675042347318, 11675045698818, 11675045707118, true
