Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
get, 2575900, 400400, 882700, 11940190404918, 11940190418918, 11940190819318, 11940191604318, 11940192487018, 11940192980818, true
set, 27251200, 3497200, 22950700, 11940162884918, 11940162933818, 11940166431018, 11940166435118, 11940189385818, 11940190136118, true
get, 3300200, 2874300, 384800, 11940234494718, 11940234513818, 11940237388118, 11940237391018, 11940237775818, 11940237794918, true
get, 393700, 30000, 330400, 11940260700918, 11940260711818, 11940260741818, 11940260744618, 11940261075018, 11940261094618, true
get, 9260600, 1148600, 8085400, 11940279642618, 11940279652118, 11940280800718, 11940280802718, 11940288888118, 11940288903218, true
get, 3324200, 3028100, 268800, 11940299338418, 11940299348418, 11940302376518, 11940302378818, 11940302647618, 11940302662618, true
get, 7113100, 6668900, 414900, 11940311253318, 11940311262018, 11940317930918, 11940317933718, 11940318348618, 11940318366418, true
get, 2032500, 1246600, 759300, 11940350416918, 11940350425018, 11940351671618, 11940351674118, 11940352433418, 11940352449418, true
get, 1738300, 1150700, 555500, 11940361047318, 11940361056518, 11940362207218, 11940362209418, 11940362764918, 11940362785618, true
get, 1650100, 1047600, 578500, 11940380275818, 11940380283318, 11940381330918, 11940381333218, 11940381911718, 11940381925918, true
get, 338100, 45700, 266800, 11940392063218, 11940392071518, 11940392117218, 11940392119518, 11940392386318, 11940392401318, true
get, 392200, 35300, 324900, 11940408642818, 11940408649118, 11940408684418, 11940408687918, 11940409012818, 11940409035018, true
get, 5700800, 3443300, 2236300, 11940425336918, 11940425343218, 11940428786518, 11940428788618, 11940431024918, 11940431037718, true
set, 4403200, 2781400, 1327700, 11940435699118, 11940435705418, 11940438486818, 11940438489118, 11940439816818, 11940440102318, true
get, 409400, 35100, 347900, 11940445386018, 11940445392418, 11940445427518, 11940445430118, 11940445778018, 11940445795418, true
get, 1686700, 1178400, 489300, 11940464125018, 11940464130918, 11940465309318, 11940465311218, 11940465800518, 11940465811718, true
get, 867000, 202700, 643700, 11940474091518, 11940474097518, 11940474300218, 11940474302218, 11940474945918, 11940474958518, true
