Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
set, 36485300, 437300, 11977000, 4196674678212, 4196674729612, 4196675166912, 4196675171112, 4196687148112, 4196711163512, true
get, 9857200, 185600, 650800, 4196711611712, 4196711622912, 4196711808512, 4196711819012, 4196712469812, 4196721468912, true
set, 47127300, 34189500, 2355400, 4196697482112, 4196697491012, 4196731680512, 4196731683212, 4196734038612, 4196744609412, true
get, 10344000, 3416100, 6886900, 4196768200612, 4196768210412, 4196771626512, 4196771640412, 4196778527312, 4196778544612, true
get, 1911300, 288400, 1596500, 4196779127712, 4196779137412, 4196779425812, 4196779428412, 4196781024912, 4196781039012, true
get, 1153600, 32000, 1083400, 4196811817712, 4196811828012, 4196811860012, 4196811863012, 4196812946412, 4196812971312, true
get, 1522700, 430800, 1063400, 4196842649412, 4196842658912, 4196843089712, 4196843092112, 4196844155512, 4196844172112, true
get, 4162100, 3394500, 727100, 4196854311012, 4196854329312, 4196857723812, 4196857727412, 4196858454512, 4196858473112, true
get, 4970600, 3708200, 1167700, 4196871972212, 4196871983412, 4196875691612, 4196875694712, 4196876862412, 4196876942812, true
get, 9115100, 1806700, 7275500, 4196884052812, 4196884064512, 4196885871212, 4196885873612, 4196893149112, 4196893167912, true
get, 7509000, 6970400, 492900, 4196902890212, 4196902911412, 4196909881812, 4196909884412, 4196910377312, 4196910399212, true
get, 7998200, 7514100, 444600, 4196924999312, 4196925019912, 4196932534012, 4196932536412, 4196932981012, 4196932997512, true
get, 23566300, 14983100, 8541400, 4196972736712, 4196972757812, 4196987740912, 4196987743112, 4196996284512, 4196996303012, true
get, 7284800, 45900, 7162300, 4197005232012, 4197005286212, 4197005332112, 4197005334912, 4197012497212, 4197012516812, true
get, 7720400, 4668700, 3008700, 4197032601412, 4197032623612, 4197037292312, 4197037294812, 4197040303512, 4197040321812, true
get, 8681000, 159000, 8454800, 4197053370412, 4197053410512, 4197053569512, 4197053571812, 4197062026612, 4197062051412, true
get, 10190300, 1247000, 8908500, 4197081481312, 4197081488612, 4197082735612, 4197082737812, 4197091646312, 4197091671612, true
get, 9528700, 1255700, 8248300, 4197138813012, 4197138819712, 4197140075412, 4197140077812, 4197148326112, 4197148341712, true
get, 8452500, 6466200, 1883000, 4197149204612, 4197149210712, 4197155676912, 4197155679212, 4197157562212, 4197157657112, true
get, 485200, 25900, 433400, 4197168297412, 4197168305212, 4197168331112, 4197168333712, 4197168767112, 4197168782612, true
get, 748600, 53500, 646000, 4197187314012, 4197187346412, 4197187399912, 4197187402312, 4197188048312, 4197188062612, true
get, 492500, 67100, 392000, 4197207008912, 4197207015512, 4197207082612, 4197207084912, 4197207476912, 4197207501412, true
get, 8411200, 7272700, 1114300, 4197255730912, 4197255737412, 4197263010112, 4197263011912, 4197264126212, 4197264142112, true
get, 7433000, 26800, 7369400, 4197284763012, 4197284769812, 4197284796612, 4197284799012, 4197292168412, 4197292196012, true
get, 21352200, 18382400, 2944900, 4197273957812, 4197273964212, 4197292346612, 4197292349212, 4197295294112, 4197295310012, true
get, 666700, 28600, 613800, 4197304243612, 4197304250812, 4197304279412, 4197304281612, 4197304895412, 4197304910312, true
get, 495800, 49700, 424100, 4197337340812, 4197337347212, 4197337396912, 4197337399812, 4197337823912, 4197337836612, true
get, 521800, 26000, 473100, 4197357192412, 4197357198312, 4197357224312, 4197357226512, 4197357699612, 4197357714212, true
set, 809500, 11900, 570500, 4197357102312, 4197357110712, 4197357122612, 4197357125212, 4197357695712, 4197357911812, true
get, 4123000, 2746700, 1356200, 4197360518112, 4197360524412, 4197363271112, 4197363273312, 4197364629512, 4197364641112, true
get, 9107700, 7961800, 1126000, 4197372053012, 4197372059112, 4197380020912, 4197380023312, 4197381149312, 4197381160712, true
get, 8523400, 1639500, 6861400, 4197381715312, 4197381721812, 4197383361312, 4197383363312, 4197390224712, 4197390238712, true
get, 1084400, 528700, 536900, 4197391225612, 4197391231512, 4197391760212, 4197391762312, 4197392299212, 4197392310012, true
get, 3017800, 2534800, 453800, 4197400714412, 4197400720712, 4197403255512, 4197403257412, 4197403711212, 4197403732212, true
get, 651300, 40800, 585700, 4197418298112, 4197418307612, 4197418348412, 4197418351312, 4197418937012, 4197418949412, true
get, 617300, 30900, 554700, 4197445956512, 4197445962612, 4197445993512, 4197445995312, 4197446550012, 4197446573812, true
get, 819900, 33200, 764500, 4197455891412, 4197455899312, 4197455932512, 4197455934512, 4197456699012, 4197456711312, true
get, 7268800, 20700, 7230300, 4197465947712, 4197465953912, 4197465974612, 4197465976712, 4197473207012, 4197473216512, true
get, 1190300, 23100, 1149100, 4197485616112, 4197485622812, 4197485645912, 4197485647912, 4197486797012, 4197486806412, true
