Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
get, 24376300, 72200, 968000, 3898849928012, 3898849942312, 3898850014512, 3898851498112, 3898852466112, 3898874304312, true
set, 33065100, 640600, 31092000, 3898816870712, 3898816942412, 3898817583012, 3898817587012, 3898848679012, 3898849935812, true
set, 11555000, 937000, 10457200, 3898980921012, 3898980929512, 3898981866512, 3898981869212, 3898992326412, 3898992476012, true
get, 5764900, 29200, 5708200, 3898986411412, 3898986420612, 3898986449812, 3898986452412, 3898992160612, 3898992176312, true
get, 6674900, 6027100, 618500, 3899004356312, 3899004367612, 3899010394712, 3899010397212, 3899011015712, 3899011031212, true
get, 7268100, 6763500, 479800, 3899042246712, 3899042254212, 3899049017712, 3899049020512, 3899049500312, 3899049514812, true
get, 11297700, 7902300, 3368100, 3899038052112, 3899038062212, 3899045964512, 3899045967912, 3899049336012, 3899049349812, true
get, 6586800, 5578800, 976300, 3899052619112, 3899052626812, 3899058205612, 3899058207912, 3899059184212, 3899059205912, true
get, 5387700, 4780400, 582900, 3899072738412, 3899072746012, 3899077526412, 3899077529112, 3899078112012, 3899078126112, true
get, 5987300, 5628400, 327200, 3899091005012, 3899091012912, 3899096641312, 3899096643312, 3899096970512, 3899096992312, true
get, 12841900, 3831300, 8977300, 3899102193312, 3899102200512, 3899106031812, 3899106034012, 3899115011312, 3899115035212, true
get, 3429900, 2251300, 1156200, 3899112276912, 3899112283012, 3899114534312, 3899114537612, 3899115693812, 3899115706812, true
get, 2687900, 1979600, 687200, 3899122441212, 3899122447112, 3899124426712, 3899124428912, 3899125116112, 3899125129112, true
get, 12965500, 5565100, 7373600, 3899141129312, 3899141135312, 3899146700412, 3899146703512, 3899154077112, 3899154094812, true
get, 1737100, 74900, 1578500, 3899159476712, 3899159543412, 3899159618312, 3899159620712, 3899161199212, 3899161213812, true
get, 10888400, 3997700, 6860100, 3899177371512, 3899177377612, 3899181375312, 3899181379312, 3899188239412, 3899188259912, true
get, 8267700, 34200, 8213200, 3899194483112, 3899194489412, 3899194523612, 3899194526412, 3899202739612, 3899202750812, true
