Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
set, 11983000, 91900, 1904600, 1252036466422, 1252036519122, 1252036611022, 1252036625422, 1252038530022, 1252048449422, true, 0
get, 897100, 69900, 549900, 1252053934822, 1252053948622, 1252054018522, 1252054037422, 1252054587322, 1252054831922, true, 3
get, 622200, 41100, 550800, 1252118886422, 1252118897722, 1252118938822, 1252118942322, 1252119493122, 1252119508622, true, 1
get, 6658700, 3246200, 3382400, 1252154689222, 1252154699622, 1252157945822, 1252157949022, 1252161331422, 1252161347922, true, 8
get, 4362200, 80000, 4242900, 1252174620022, 1252174630522, 1252174710522, 1252174713822, 1252178956722, 1252178982222, true, 15
get, 763300, 158900, 576400, 1252193914722, 1252193924422, 1252194083322, 1252194086622, 1252194663022, 1252194678022, true, 10
get, 886700, 24400, 830300, 1252220377722, 1252220388722, 1252220413122, 1252220416422, 1252221246722, 1252221264422, true, 7
get, 1411200, 22200, 1336300, 1252238107522, 1252238124022, 1252238146222, 1252238148822, 1252239485122, 1252239518722, true, 7
set, 1311300, 9700, 1204600, 1252246178722, 1252246187222, 1252246196922, 1252246200222, 1252247404822, 1252247490022, true, 0
get, 4065600, 310200, 3662500, 1252263901522, 1252263909922, 1252264220122, 1252264222922, 1252267885422, 1252267967122, true, 4
get, 913800, 504600, 382400, 1252282364522, 1252282372822, 1252282877422, 1252282879922, 1252283262322, 1252283278322, true, 13
get, 3897700, 3210200, 659900, 1252303510322, 1252303518322, 1252306728522, 1252306731422, 1252307391322, 1252307408022, true, 10
get, 4141700, 2906000, 1213100, 1252318782222, 1252318789922, 1252321695922, 1252321699122, 1252322912222, 1252322923922, true, 14
get, 2561200, 264000, 2265100, 1252339820622, 1252339826822, 1252340090822, 1252340094122, 1252342359222, 1252342381822, true, 0
set, 751500, 8500, 642200, 1252359529222, 1252359537422, 1252359545922, 1252359548622, 1252360190822, 1252360280722, true, 0
get, 772200, 146200, 558600, 1252360474522, 1252360521422, 1252360667622, 1252360671822, 1252361230422, 1252361246722, true, 14
get, 7979200, 7185200, 769700, 1252380536122, 1252380542522, 1252387727722, 1252387730422, 1252388500122, 1252388515322, true, 16
get, 6237500, 5516900, 694300, 1252389708922, 1252389716022, 1252395232922, 1252395235622, 1252395929922, 1252395946422, true, 25
get, 6393700, 5585900, 784300, 1252400214022, 1252400220422, 1252405806322, 1252405809422, 1252406593722, 1252406607722, true, 27
get, 2826900, 1375400, 1430400, 1252408337922, 1252408344622, 1252409720022, 1252409722522, 1252411152922, 1252411164822, true, 28
get, 727300, 34400, 663800, 1252425119522, 1252425126622, 1252425161022, 1252425164122, 1252425827922, 1252425846822, true, 9
get, 1595300, 468500, 1101400, 1252446735022, 1252446741522, 1252447210022, 1252447213222, 1252448314622, 1252448330322, true, 24
get, 1436200, 865200, 549300, 1252465962022, 1252465968722, 1252466833922, 1252466836822, 1252467386122, 1252467398222, true, 18
get, 2133800, 369800, 1738700, 1252472880322, 1252472887522, 1252473257322, 1252473260622, 1252474999322, 1252475014122, true, 19
get, 493300, 117500, 348400, 1252487369722, 1252487376722, 1252487494222, 1252487498222, 1252487846622, 1252487863022, true, 12
set, 837700, 14200, 753200, 1252496232822, 1252496240222, 1252496254422, 1252496257522, 1252497010722, 1252497070522, true, 0
get, 4189200, 1860400, 2294600, 1252505878322, 1252505884722, 1252507745122, 1252507748322, 1252510042922, 1252510067522, true, 1
get, 1210200, 456600, 732800, 1252518213122, 1252518219622, 1252518676222, 1252518678322, 1252519411122, 1252519423322, true, 7
get, 1768200, 98800, 1637000, 1252535117022, 1252535125222, 1252535224022, 1252535228522, 1252536865522, 1252536885222, true, 16
get, 1829500, 464100, 1347600, 1252539427422, 1252539434122, 1252539898222, 1252539900322, 1252541247922, 1252541256922, true, 29
get, 1317000, 33800, 1262700, 1252557589022, 1252557595522, 1252557629322, 1252557631622, 1252558894322, 1252558906022, true, 3
get, 559500, 62600, 475300, 1252571109922, 1252571118022, 1252571180622, 1252571183422, 1252571658722, 1252571669422, true, 5
get, 1158100, 435100, 694500, 1252582190322, 1252582196722, 1252582631822, 1252582634422, 1252583328922, 1252583348422, true, 26
set, 4180100, 3165100, 944000, 1252600464822, 1252600471422, 1252603636522, 1252603638622, 1252604582622, 1252604644922, true, 0
get, 6332100, 5174900, 1131900, 1252598578322, 1252598589422, 1252603764322, 1252603767322, 1252604899222, 1252604910422, true, 28
get, 4777500, 3807200, 950300, 1252600751422, 1252600758122, 1252604565322, 1252604567522, 1252605517822, 1252605528922, true, 33
get, 8461500, 7731600, 712400, 1252613859922, 1252613866422, 1252621598022, 1252621600022, 1252622312422, 1252622321422, true, 41
get, 1036000, 551100, 467000, 1252622733022, 1252622739222, 1252623290322, 1252623292422, 1252623759422, 1252623769022, true, 36
get, 1440700, 24800, 1394900, 1252633271622, 1252633277922, 1252633302722, 1252633305422, 1252634700322, 1252634712322, true, 6
get, 11475200, 10098000, 1346800, 1252642521522, 1252642527922, 1252652625922, 1252652639022, 1252653985822, 1252653996722, true, 44
