Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 5022700, 204300, 469800, 1389303599522, 1389303616922, 1389303821222, 1389303850322, 1389304320122, 1389308622222, true, 1
set, 17016000, 91300, 16425700, 1389287314522, 1389287368222, 1389287459522, 1389287473822, 1389303899522, 1389304330522, true, 0
get, 1832200, 978300, 821300, 1389371407922, 1389371417322, 1389372395622, 1389372398822, 1389373220122, 1389373240122, true, 14
set, 14463400, 13400, 7403600, 1389378778722, 1389378790122, 1389378803522, 1389378806522, 1389386210122, 1389393242122, true, 0
get, 656600, 32400, 592800, 1389405537522, 1389405547522, 1389405579922, 1389405583422, 1389406176222, 1389406194122, true, 8
get, 7567100, 6874000, 665100, 1389418224422, 1389418234022, 1389425108022, 1389425111022, 1389425776122, 1389425791522, true, 6
get, 15768100, 569400, 15162800, 1389433518822, 1389433530422, 1389434099822, 1389434102822, 1389449265622, 1389449286922, true, 20
get, 471600, 20400, 408500, 1389451873422, 1389451895822, 1389451916222, 1389451919022, 1389452327522, 1389452345022, true, 13
get, 620400, 40000, 530300, 1389480753822, 1389480775622, 1389480815622, 1389480820722, 1389481351022, 1389481374222, true, 10
get, 7685000, 6569700, 1066800, 1389497975222, 1389497998222, 1389504567922, 1389504570722, 1389505637522, 1389505660222, true, 14
get, 522400, 24700, 454300, 1389516881522, 1389516906322, 1389516931022, 1389516934522, 1389517388822, 1389517403922, true, 3
get, 1072600, 388000, 638300, 1389536416422, 1389536438822, 1389536826822, 1389536830322, 1389537468622, 1389537489022, true, 6
get, 687600, 203900, 437700, 1389561617722, 1389561639622, 1389561843522, 1389561846722, 1389562284422, 1389562305322, true, 26
get, 777900, 435300, 301400, 1389583544622, 1389583565522, 1389584000822, 1389584003722, 1389584305122, 1389584322522, true, 7
get, 3463800, 2702800, 717000, 1389607468522, 1389607490122, 1389610192922, 1389610196522, 1389610913522, 1389610932322, true, 6
set, 8561700, 667800, 7679900, 1389613212722, 1389613237822, 1389613905622, 1389613908322, 1389621588222, 1389621774422, true, 0
