Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
set, 32256800, 97400, 8670500, 16291545842712, 16291545903212, 16291546000612, 16291546014612, 16291554685112, 16291578099512, true
get, 23538800, 75700, 1338200, 16291577812512, 16291577832112, 16291577907812, 16291577918212, 16291579256412, 16291601351312, true
set, 583600, 13100, 455400, 16291750839712, 16291750851212, 16291750864312, 16291750868512, 16291751323912, 16291751423312, true
get, 7628600, 531000, 7068800, 16291751037512, 16291751047912, 16291751578912, 16291751581412, 16291758650212, 16291758666112, true
get, 7459400, 6949800, 423900, 16291771990512, 16291772057812, 16291779007612, 16291779010012, 16291779433912, 16291779449912, true
get, 21996300, 2284500, 19675300, 16291788997012, 16291789005512, 16291791290012, 16291791292512, 16291810967812, 16291810993312, true
get, 5510400, 4804300, 675200, 16291808605012, 16291808614212, 16291813418512, 16291813422212, 16291814097412, 16291814115412, true
get, 13506100, 6376000, 7101600, 16291819862712, 16291819873712, 16291826249712, 16291826251912, 16291833353512, 16291833368812, true
get, 4340000, 53900, 4260900, 16291840991612, 16291840999312, 16291841053212, 16291841055712, 16291845316612, 16291845331612, true
get, 11679100, 5298700, 6337000, 16291852320812, 16291852328512, 16291857627212, 16291857629412, 16291863966412, 16291863999912, true
get, 2137500, 40600, 2067900, 16291870834812, 16291870843912, 16291870884512, 16291870887312, 16291872955212, 16291872972312, true
get, 7658300, 29300, 7604000, 16291895135412, 16291895142812, 16291895172112, 16291895174712, 16291902778712, 16291902793712, true
get, 8233000, 27600, 8179100, 16291906177112, 16291906185212, 16291906212812, 16291906215412, 16291914394512, 16291914410112, true
get, 536400, 207400, 307600, 16291925887312, 16291925893912, 16291926101312, 16291926103312, 16291926410912, 16291926423712, true
get, 2326100, 1930300, 370800, 16291945449512, 16291945455612, 16291947385912, 16291947388312, 16291947759112, 16291947775612, true
set, 53384300, 372000, 52723400, 16291954986812, 16291954993212, 16291955365212, 16291955367212, 16292008090612, 16292008371112, true
get, 57780300, 56854000, 875100, 16291960170312, 16291960176812, 16292017030812, 16292017033712, 16292017908812, 16292017950612, true
get, 20419000, 19949400, 447200, 16292023301012, 16292023307312, 16292043256712, 16292043258912, 16292043706112, 16292043720012, true
get, 463100, 26300, 412700, 16292113754812, 16292113761812, 16292113788112, 16292113790612, 16292114203312, 16292114217912, true
get, 6766000, 5625000, 1118800, 16292134893912, 16292134900712, 16292140525712, 16292140528012, 16292141646812, 16292141659912, true
get, 5049100, 4311300, 708800, 16292157383812, 16292157390212, 16292161701512, 16292161704212, 16292162413012, 16292162432912, true
set, 7362700, 3098000, 4067600, 16292177437212, 16292177443812, 16292180541812, 16292180543712, 16292184611312, 16292184799912, true
get, 3929000, 3398200, 510000, 16292209640612, 16292209646812, 16292213045012, 16292213047112, 16292213557112, 16292213569612, true
get, 16042900, 8875800, 6907300, 16292221338612, 16292221580812, 16292230456612, 16292230459412, 16292237366712, 16292237381512, true
get, 6354700, 5764400, 568400, 16292255041212, 16292255047112, 16292260811512, 16292260813812, 16292261382212, 16292261395912, true
get, 1205600, 750600, 432700, 16292310651212, 16292310657712, 16292311408312, 16292311410212, 16292311842912, 16292311856812, true
get, 8517800, 27000, 8469500, 16292331818912, 16292331825412, 16292331852412, 16292331854512, 16292340324012, 16292340336712, true
get, 36800200, 5513700, 31266100, 16292365387412, 16292365395812, 16292370909512, 16292370911512, 16292402177612, 16292402187612, true
get, 7893500, 1478400, 6349800, 16292394658812, 16292394664912, 16292396143312, 16292396145612, 16292402495412, 16292402552312, true
get, 302600, 25800, 257900, 16292431577712, 16292431583912, 16292431609712, 16292431611812, 16292431869712, 16292431880312, true
