Op, T_total, T_queue, T_server, Success
get, 8, 0, 8, true
set, 24, 0, 2, true
get, 4, 0, 4, true
get, 4, 3, 1, true
get, 4, 2, 1, true
get, 1, 0, 1, true
get, 5, 4, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 7, 7, 0, true
get, 4, 3, 1, true
get, 2, 0, 2, true
get, 8, 7, 0, true
get, 1, 0, 1, true
get, 6, 5, 1, true
set, 5, 4, 1, true
get, 15, 14, 1, true
get, 3, 1, 2, true
get, 9, 8, 1, true
get, 12, 3, 9, true
get, 8, 7, 1, true
get, 2, 1, 1, true
get, 10, 0, 10, true
get, 4, 4, 0, true
get, 8, 0, 8, true
get, 2, 1, 1, true
get, 7, 7, 0, true
get, 1, 0, 1, true
get, 1, 0, 0, true
set, 5, 4, 1, true
get, 9, 8, 1, true
get, 8, 8, 0, true
get, 2, 0, 2, true
get, 26, 4, 22, true
get, 22, 22, 0, true
get, 16, 15, 1, true
get, 8, 7, 1, true
get, 8, 8, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 2, 2, 0, true
set, 6, 6, 0, true
get, 1, 0, 1, true
get, 7, 6, 1, true
get, 9, 2, 7, true
get, 1, 0, 1, true
get, 4, 2, 2, true
get, 4, 3, 1, true
get, 5, 4, 1, true
get, 9, 9, 0, true
get, 7, 7, 0, true
get, 10, 9, 1, true
get, 25, 0, 25, true
get, 2, 1, 1, true
get, 2, 0, 2, true
get, 1, 0, 1, true
get, 4, 4, 0, true
get, 11, 9, 2, true
get, 13, 4, 9, true
get, 8, 7, 1, true
get, 1, 0, 1, true
set, 13, 4, 9, true
get, 2, 1, 1, true
get, 0, 0, 0, true
get, 8, 7, 1, true
get, 7, 4, 3, true
get, 12, 2, 10, true
get, 9, 8, 1, true
get, 12, 2, 10, true
get, 10, 9, 1, true
get, 10, 10, 0, true
get, 13, 3, 10, true
get, 8, 8, 0, true
get, 19, 18, 1, true
get, 9, 8, 1, true
get, 1, 1, 0, true
get, 19, 11, 8, true
get, 1, 0, 1, true
set, 8, 0, 8, true
get, 9, 8, 1, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 9, 1, 8, true
get, 9, 9, 0, true
get, 9, 8, 1, true
get, 9, 1, 8, true
get, 8, 0, 8, true
get, 10, 2, 8, true
get, 9, 8, 1, true
get, 11, 3, 8, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 12, 2, 10, true
get, 19, 2, 17, true
get, 64, 32, 32, true
get, 40, 39, 1, true
get, 12, 3, 9, true
get, 10, 10, 0, true
set, 31, 21, 10, true
get, 9, 2, 7, true
get, 18, 10, 8, true
get, 10, 10, 0, true
get, 18, 10, 8, true
get, 9, 2, 7, true
get, 3, 1, 1, true
get, 12, 11, 1, true
get, 12, 11, 1, true
get, 11, 11, 0, true
get, 11, 10, 1, true
get, 11, 7, 4, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 9, 2, 7, true
get, 9, 8, 1, true
get, 3, 2, 1, true
get, 13, 12, 1, true
get, 9, 8, 1, true
get, 9, 1, 8, true
get, 9, 8, 1, true
get, 8, 8, 0, true
get, 1, 0, 1, true
set, 14, 4, 10, true
get, 62, 61, 1, true
get, 64, 55, 9, true
get, 13, 11, 2, true
get, 11, 10, 1, true
get, 21, 12, 9, true
get, 19, 18, 1, true
get, 3, 2, 1, true
get, 29, 22, 7, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 11, 10, 1, true
get, 11, 9, 1, true
get, 10, 9, 1, true
get, 10, 2, 8, true
get, 4, 4, 0, true
get, 3, 2, 1, true
get, 11, 10, 1, true
set, 13, 3, 10, true
get, 4, 3, 1, true
get, 10, 10, 0, true
get, 10, 2, 8, true
get, 11, 10, 1, true
get, 11, 4, 7, true
get, 10, 10, 0, true
get, 10, 3, 7, true
get, 20, 11, 9, true
get, 13, 12, 1, true
get, 11, 11, 0, true
get, 20, 12, 8, true
get, 10, 10, 0, true
get, 13, 12, 1, true
get, 4, 3, 1, true
get, 12, 5, 7, true
get, 12, 11, 1, true
get, 9, 2, 7, true
get, 10, 3, 7, true
get, 18, 10, 8, true
get, 9, 2, 7, true
get, 10, 9, 1, true
set, 13, 3, 10, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 10, 3, 7, true
get, 3, 2, 1, true
get, 11, 10, 1, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 12, 10, 2, true
get, 11, 10, 1, true
get, 17, 10, 7, true
get, 7, 0, 7, true
get, 8, 8, 0, true
get, 6, 5, 1, true
get, 14, 7, 7, true
get, 11, 10, 1, true
set, 7, 0, 7, true
get, 9, 2, 7, true
get, 20, 18, 2, true
get, 12, 11, 1, true
get, 49, 20, 29, true
get, 48, 46, 2, true
get, 6, 5, 1, true
get, 4, 3, 1, true
get, 12, 11, 1, true
get, 9, 9, 0, true
get, 11, 3, 8, true
get, 9, 9, 0, true
get, 3, 2, 1, true
get, 10, 3, 7, true
get, 3, 2, 1, true
get, 17, 9, 8, true
get, 11, 10, 1, true
get, 3, 2, 1, true
get, 7, 4, 3, true
get, 13, 12, 1, true
get, 10, 9, 1, true
get, 4, 3, 1, true
set, 2, 0, 1, true
get, 10, 8, 2, true
get, 4, 3, 1, true
get, 10, 2, 8, true
get, 10, 10, 0, true
get, 10, 9, 0, true
get, 12, 11, 1, true
get, 4, 3, 1, true
get, 10, 3, 7, true
