Op, T_total, T_queue, T_server, Success
set, 77, 45, 31, true
set, 35, 23, 12, true
set, 35, 2, 32, true
set, 31, 6, 25, true
set, 34, 14, 11, true
set, 90, 6, 25, true
set, 32, 6, 25, true
set, 34, 3, 29, true
set, 86, 83, 3, true
get, 9, 8, 1, true
set, 93, 82, 11, true
set, 92, 83, 9, true
set, 95, 86, 8, true
set, 94, 85, 8, true
set, 101, 14, 87, true
set, 3, 0, 3, true
set, 8, 0, 8, true
set, 10, 1, 3, true
set, 10, 0, 10, true
set, 9, 0, 9, true
set, 11, 1, 10, true
set, 11, 1, 9, true
set, 12, 0, 11, true
get, 9, 0, 9, true
set, 32, 3, 29, true
set, 32, 7, 9, true
set, 46, 21, 25, true
set, 44, 19, 24, true
set, 73, 26, 47, true
get, 0, 0, 0, true
get, 63, 1, 62, true
get, 11, 4, 7, true
get, 11, 7, 4, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 8, 0, 8, true
get, 21, 2, 19, true
get, 18, 8, 10, true
get, 13, 4, 9, true
get, 3, 2, 1, true
get, 17, 9, 1, true
get, 10, 2, 8, true
set, 12, 1, 10, true
set, 4, 0, 4, true
get, 14, 4, 10, true
set, 21, 0, 21, true
set, 14, 3, 10, true
set, 26, 6, 20, true
set, 15, 4, 11, true
set, 13, 2, 11, true
set, 33, 22, 11, true
set, 13, 3, 10, true
set, 15, 5, 10, true
set, 16, 6, 10, true
set, 13, 3, 10, true
set, 22, 0, 10, true
get, 14, 3, 11, true
get, 12, 4, 8, true
set, 19, 5, 13, true
get, 14, 5, 9, true
get, 13, 12, 1, true
get, 8, 0, 8, true
set, 9, 0, 9, true
get, 13, 4, 9, true
set, 16, 6, 10, true
get, 10, 8, 2, true
set, 12, 2, 10, true
set, 13, 5, 8, true
get, 18, 9, 9, true
set, 14, 4, 10, true
get, 5, 4, 1, true
get, 4, 3, 1, true
get, 8, 8, 0, true
set, 45, 12, 33, true
set, 33, 14, 19, true
get, 8, 7, 1, true
set, 18, 8, 10, true
set, 27, 7, 19, true
get, 7, 0, 7, true
set, 19, 6, 13, true
get, 3, 1, 2, true
get, 23, 12, 10, true
set, 25, 6, 19, true
set, 20, 2, 18, true
set, 23, 1, 22, true
set, 22, 1, 21, true
get, 7, 0, 7, true
set, 7, 0, 7, true
get, 32, 23, 9, true
get, 8, 1, 7, true
set, 14, 4, 10, true
get, 10, 8, 2, true
set, 12, 3, 9, true
get, 2, 0, 2, true
get, 15, 5, 9, true
set, 18, 1, 17, true
get, 3, 1, 2, true
set, 14, 4, 2, true
get, 25, 15, 10, true
get, 6, 4, 2, true
set, 10, 2, 8, true
set, 29, 0, 29, true
get, 2, 2, 0, true
set, 15, 5, 10, true
set, 11, 0, 11, true
get, 16, 6, 10, true
get, 3, 2, 1, true
set, 10, 1, 9, true
get, 24, 15, 9, true
set, 7, 3, 4, true
get, 6, 6, 0, true
get, 10, 3, 1, true
get, 6, 6, 0, true
get, 7, 6, 1, true
set, 19, 15, 4, true
set, 15, 3, 12, true
set, 15, 1, 14, true
set, 17, 7, 10, true
get, 13, 6, 7, true
get, 17, 16, 1, true
set, 24, 4, 19, true
set, 22, 2, 19, true
set, 7, 5, 2, true
get, 7, 6, 1, true
set, 8, 0, 8, true
get, 9, 8, 1, true
set, 14, 4, 10, true
get, 16, 5, 10, true
set, 17, 6, 11, true
get, 7, 5, 2, true
get, 18, 8, 10, true
set, 23, 7, 16, true
get, 6, 5, 1, true
set, 13, 3, 10, true
set, 12, 2, 10, true
get, 6, 5, 1, true
get, 9, 7, 2, true
set, 10, 0, 9, true
get, 6, 4, 2, true
set, 16, 6, 3, true
set, 9, 0, 9, true
set, 28, 25, 3, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 8, 3, 5, true
set, 21, 10, 11, true
get, 0, 0, 0, true
set, 13, 3, 10, true
set, 31, 21, 10, true
get, 13, 4, 9, true
set, 11, 1, 10, true
set, 20, 0, 19, true
get, 7, 6, 1, true
get, 17, 8, 9, true
set, 17, 5, 12, true
set, 24, 5, 12, true
get, 9, 8, 1, true
get, 1, 0, 1, true
set, 19, 0, 19, true
get, 8, 0, 8, true
set, 15, 5, 10, true
set, 12, 2, 10, true
get, 1, 0, 1, true
set, 12, 0, 12, true
get, 13, 3, 10, true
set, 14, 4, 10, true
get, 13, 4, 9, true
set, 18, 7, 11, true
get, 17, 6, 11, true
set, 30, 16, 14, true
get, 1, 0, 1, true
set, 19, 5, 13, true
get, 8, 0, 8, true
get, 13, 3, 10, true
set, 19, 2, 17, true
get, 9, 8, 1, true
set, 34, 15, 18, true
set, 32, 4, 28, true
get, 24, 5, 19, true
set, 24, 3, 21, true
set, 53, 4, 49, true
set, 2, 0, 2, true
get, 6, 5, 1, true
get, 15, 7, 8, true
set, 15, 6, 9, true
get, 0, 0, 0, true
get, 2, 2, 0, true
set, 7, 5, 2, true
set, 8, 1, 7, true
get, 12, 2, 10, true
get, 25, 5, 20, true
set, 42, 16, 26, true
get, 25, 3, 22, true
set, 31, 0, 31, true
get, 13, 4, 9, true
set, 41, 4, 37, true
get, 14, 4, 10, true
set, 15, 5, 10, true
get, 7, 4, 3, true
