Op, T_total, T_queue, T_server, Success
set, 14, 2, 11, true
get, 10, 0, 1, true
get, 9, 8, 1, true
get, 0, 0, 0, true
get, 14, 13, 1, true
get, 12, 9, 3, true
get, 3, 2, 1, true
set, 8, 1, 7, true
get, 7, 6, 1, true
get, 3, 2, 1, true
get, 2, 1, 1, true
get, 2, 2, 0, true
get, 12, 3, 9, true
get, 3, 2, 1, true
get, 1, 1, 0, true
set, 4, 3, 0, true
get, 10, 2, 8, true
get, 14, 8, 6, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 5, 5, 0, true
get, 16, 15, 1, true
get, 9, 2, 7, true
get, 1, 0, 1, true
set, 21, 20, 1, true
get, 7, 0, 7, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
set, 7, 5, 2, true
get, 11, 4, 7, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 14, 5, 9, true
get, 1, 0, 1, true
get, 14, 14, 0, true
get, 1, 1, 0, true
get, 9, 2, 1, true
get, 9, 2, 7, true
get, 1, 0, 1, true
get, 19, 8, 11, true
get, 97, 22, 75, true
get, 97, 97, 0, true
set, 108, 6, 102, true
get, 8, 5, 3, true
get, 14, 13, 1, true
get, 20, 8, 12, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 5, 4, 1, true
get, 24, 23, 1, true
set, 24, 22, 2, true
get, 9, 1, 8, true
get, 5, 5, 0, true
get, 7, 7, 0, true
get, 8, 7, 1, true
get, 7, 6, 1, true
get, 2, 1, 1, true
get, 9, 7, 2, true
get, 2, 2, 0, true
get, 2, 2, 0, true
get, 10, 9, 1, true
set, 12, 1, 10, true
get, 13, 1, 12, true
get, 5, 4, 1, true
get, 7, 0, 7, true
get, 7, 6, 1, true
get, 18, 10, 8, true
get, 5, 4, 1, true
get, 35, 4, 31, true
get, 36, 28, 8, true
set, 7, 0, 7, true
get, 10, 9, 1, true
get, 1, 0, 1, true
get, 9, 2, 7, true
get, 7, 6, 1, true
get, 5, 4, 1, true
get, 14, 4, 10, true
get, 6, 5, 1, true
get, 10, 2, 8, true
get, 2, 1, 1, true
get, 14, 4, 10, true
get, 3, 2, 1, true
set, 18, 5, 13, true
get, 9, 2, 7, true
get, 13, 12, 1, true
get, 2, 1, 0, true
get, 5, 4, 1, true
get, 4, 3, 1, true
get, 1, 1, 0, true
get, 2, 1, 1, true
set, 17, 7, 10, true
get, 19, 10, 9, true
get, 9, 8, 1, true
get, 10, 9, 1, true
get, 2, 2, 0, true
get, 18, 9, 9, true
get, 10, 3, 7, true
get, 19, 10, 9, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 1, 1, 0, true
set, 2, 1, 1, true
get, 20, 19, 1, true
get, 9, 9, 0, true
get, 10, 2, 8, true
get, 19, 8, 11, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 2, 2, 0, true
get, 20, 19, 1, true
get, 10, 9, 1, true
set, 14, 1, 13, true
get, 8, 7, 1, true
get, 1, 1, 0, true
get, 12, 11, 1, true
get, 11, 11, 0, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 10, 10, 0, true
get, 23, 13, 10, true
get, 11, 10, 1, true
set, 16, 7, 9, true
get, 10, 3, 7, true
get, 10, 9, 1, true
get, 12, 11, 1, true
get, 9, 9, 0, true
get, 4, 3, 1, true
get, 10, 1, 9, true
get, 10, 10, 0, true
get, 9, 9, 0, true
set, 10, 0, 10, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 19, 11, 8, true
get, 11, 10, 1, true
get, 1, 0, 1, true
get, 8, 8, 0, true
get, 9, 1, 8, true
get, 10, 9, 1, true
set, 11, 1, 10, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 11, 9, 2, true
get, 3, 2, 1, true
get, 10, 9, 1, true
get, 11, 10, 1, true
get, 8, 8, 0, true
get, 8, 1, 7, true
get, 2, 1, 1, true
get, 9, 8, 1, true
set, 16, 4, 12, true
get, 8, 0, 8, true
get, 9, 1, 8, true
get, 9, 8, 1, true
get, 1, 0, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
set, 10, 1, 9, true
get, 9, 8, 1, true
get, 3, 2, 1, true
get, 11, 10, 1, true
get, 1, 1, 0, true
get, 2, 1, 1, true
get, 17, 10, 7, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 8, 1, 7, true
get, 4, 3, 1, true
get, 6, 5, 1, true
set, 9, 0, 9, true
get, 9, 2, 7, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 9, 5, 4, true
get, 3, 1, 2, true
get, 9, 8, 1, true
set, 10, 0, 10, true
get, 0, 0, 0, true
get, 13, 1, 12, true
get, 8, 1, 7, true
get, 2, 2, 0, true
get, 10, 9, 1, true
get, 9, 1, 8, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 2, 1, 1, true
get, 11, 11, 0, true
get, 0, 0, 0, true
set, 1, 0, 1, true
get, 8, 0, 0, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 32, 1, 31, true
get, 38, 37, 1, true
get, 1, 1, 0, true
get, 6, 1, 5, true
get, 2, 1, 1, true
get, 3, 2, 1, true
get, 3, 2, 1, true
set, 7, 5, 2, true
get, 4, 4, 0, true
get, 9, 7, 2, true
get, 15, 14, 1, true
get, 3, 3, 0, true
get, 1, 1, 0, true
get, 2, 2, 0, true
get, 6, 2, 4, true
get, 3, 3, 0, true
set, 8, 0, 8, true
get, 9, 9, 0, true
get, 8, 1, 7, true
get, 9, 7, 2, true
get, 8, 8, 0, true
get, 2, 1, 1, true
get, 7, 7, 0, true
get, 5, 5, 0, true
get, 4, 3, 1, true
get, 5, 5, 0, true
set, 7, 6, 1, true
get, 1, 0, 0, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 9, 2, 7, true
get, 10, 9, 1, true
get, 9, 8, 1, true
get, 11, 10, 1, true
get, 10, 2, 8, true
set, 10, 4, 6, true
get, 13, 9, 4, true
get, 12, 12, 0, true
get, 9, 8, 1, true
get, 9, 8, 1, true
get, 9, 8, 1, true
get, 9, 8, 1, true
get, 13, 12, 1, true
get, 10, 2, 8, true
get, 11, 10, 1, true
set, 16, 6, 10, true
get, 8, 1, 7, true
get, 10, 2, 8, true
get, 11, 3, 8, true
get, 6, 5, 1, true
get, 4, 2, 2, true
get, 12, 11, 1, true
get, 3, 1, 2, true
get, 9, 8, 1, true
get, 11, 2, 8, true
get, 9, 7, 2, true
get, 3, 2, 1, true
set, 16, 6, 10, true
get, 11, 9, 2, true
get, 4, 3, 1, true
get, 2, 1, 1, true
get, 11, 9, 2, true
get, 3, 2, 1, true
get, 10, 8, 2, true
get, 1, 0, 0, true
set, 10, 0, 10, true
get, 8, 7, 1, true
get, 4, 2, 2, true
get, 9, 8, 1, true
get, 2, 1, 1, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 9, 8, 1, true
get, 11, 10, 1, true
get, 18, 9, 9, true
get, 12, 11, 1, true
set, 13, 1, 12, true
get, 11, 10, 1, true
get, 9, 8, 1, true
get, 10, 3, 7, true
get, 9, 0, 9, true
get, 9, 8, 1, true
get, 9, 2, 7, true
set, 8, 6, 2, true
get, 2, 1, 1, true
get, 8, 1, 7, true
get, 2, 2, 0, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 12, 11, 1, true
get, 13, 12, 1, true
get, 10, 9, 1, true
get, 2, 2, 0, true
get, 8, 1, 7, true
get, 10, 5, 5, true
get, 8, 8, 0, true
set, 16, 6, 10, true
get, 10, 1, 2, true
get, 11, 2, 9, true
get, 9, 8, 1, true
get, 8, 0, 8, true
get, 2, 0, 2, true
get, 8, 7, 1, true
get, 9, 8, 1, true
get, 20, 19, 1, true
get, 1, 0, 1, true
set, 4, 3, 1, true
get, 3, 2, 1, true
get, 10, 2, 8, true
get, 2, 2, 0, true
get, 1, 1, 0, true
get, 11, 10, 1, true
get, 3, 2, 1, true
get, 10, 9, 1, true
get, 10, 2, 8, true
get, 9, 8, 1, true
set, 14, 4, 10, true
get, 2, 1, 1, true
get, 15, 9, 6, true
get, 9, 8, 1, true
get, 9, 8, 1, true
get, 3, 1, 2, true
get, 9, 9, 0, true
get, 9, 1, 8, true
get, 13, 11, 2, true
set, 8, 0, 8, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 2, 1, 1, true
get, 53, 3, 50, true
get, 57, 50, 7, true
get, 8, 7, 1, true
get, 3, 2, 1, true
get, 1, 0, 1, true
set, 10, 1, 9, true
get, 40, 10, 30, true
get, 1, 1, 0, true
get, 3, 2, 1, true
get, 9, 1, 8, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 3, 2, 1, true
get, 1, 1, 0, true
get, 10, 2, 8, true
get, 2, 1, 1, true
set, 7, 0, 7, true
get, 10, 9, 1, true
get, 2, 1, 1, true
get, 10, 2, 8, true
get, 3, 3, 0, true
get, 2, 1, 1, true
get, 9, 2, 7, true
get, 2, 1, 1, true
get, 2, 1, 1, true
get, 9, 1, 8, true
set, 11, 2, 9, true
get, 11, 10, 1, true
get, 9, 1, 8, true
get, 10, 9, 1, true
get, 4, 3, 1, true
get, 10, 8, 2, true
get, 9, 2, 7, true
get, 11, 10, 1, true
get, 10, 3, 7, true
get, 0, 0, 0, true
get, 1, 1, 0, true
set, 7, 0, 7, true
get, 3, 2, 1, true
get, 8, 1, 7, true
get, 3, 2, 1, true
get, 12, 3, 9, true
get, 10, 9, 1, true
get, 9, 1, 8, true
get, 3, 2, 1, true
get, 8, 1, 7, true
set, 8, 0, 8, true
get, 7, 0, 7, true
get, 9, 3, 6, true
get, 8, 2, 6, true
get, 3, 3, 0, true
get, 1, 0, 1, true
get, 10, 9, 1, true
get, 17, 10, 7, true
set, 1, 0, 1, true
get, 17, 9, 8, true
get, 1, 1, 0, true
get, 10, 9, 1, true
get, 1, 1, 0, true
get, 11, 11, 0, true
get, 10, 9, 1, true
get, 1, 0, 1, true
get, 11, 3, 8, true
get, 2, 1, 1, true
get, 10, 9, 1, true
get, 1, 0, 1, true
get, 8, 0, 8, true
set, 7, 0, 7, true
get, 11, 7, 4, true
get, 9, 9, 0, true
get, 2, 1, 1, true
get, 10, 9, 1, true
get, 2, 2, 0, true
get, 8, 0, 8, true
get, 8, 7, 1, true
get, 0, 0, 0, true
set, 2, 0, 2, true
get, 1, 0, 1, true
get, 12, 12, 0, true
get, 9, 1, 8, true
get, 2, 2, 0, true
get, 9, 1, 8, true
get, 11, 11, 0, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
set, 4, 1, 2, true
get, 3, 1, 2, true
get, 3, 2, 1, true
get, 2, 0, 2, true
get, 8, 1, 7, true
get, 11, 10, 1, true
get, 2, 0, 2, true
get, 2, 1, 1, true
set, 1, 0, 1, true
get, 11, 11, 0, true
get, 2, 1, 1, true
get, 13, 12, 1, true
get, 1, 0, 1, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 9, 9, 0, true
get, 9, 8, 1, true
get, 9, 1, 8, true
get, 16, 0, 16, true
get, 42, 39, 3, true
set, 7, 0, 7, true
get, 10, 2, 8, true
get, 3, 2, 1, true
get, 1, 1, 0, true
get, 8, 7, 1, true
