Op, T_total, T_queue, T_server, Success
set, 23, 1, 20, true
get, 22, 0, 1, true
set, 26, 24, 1, true
get, 1, 1, 0, true
get, 4, 2, 2, true
get, 9, 2, 7, true
get, 4, 2, 2, true
get, 4, 3, 1, true
get, 17, 9, 8, true
get, 0, 0, 0, true
get, 12, 4, 8, true
get, 8, 7, 1, true
get, 1, 0, 0, true
get, 42, 41, 1, true
get, 27, 27, 0, true
get, 5, 2, 2, true
get, 8, 0, 8, true
get, 1, 0, 1, true
get, 1, 0, 0, true
get, 14, 13, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 6, 6, 0, true
get, 2, 1, 1, true
get, 2, 1, 1, true
get, 13, 7, 6, true
get, 10, 3, 7, true
set, 1, 0, 1, true
get, 13, 4, 9, true
get, 3, 1, 2, true
get, 2, 1, 1, true
get, 5, 4, 1, true
get, 8, 2, 6, true
get, 8, 6, 2, true
get, 15, 14, 1, true
get, 8, 0, 8, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 6, 5, 1, true
get, 8, 3, 5, true
get, 17, 2, 15, true
get, 9, 5, 4, true
set, 11, 3, 8, true
get, 6, 6, 0, true
get, 8, 6, 1, true
get, 6, 4, 2, true
get, 8, 6, 2, true
get, 8, 1, 7, true
get, 2, 2, 0, true
get, 2, 1, 1, true
get, 1, 1, 0, true
get, 6, 6, 0, true
get, 12, 11, 1, true
get, 9, 8, 1, true
get, 1, 0, 1, true
get, 6, 5, 1, true
get, 13, 6, 7, true
get, 4, 2, 2, true
get, 1, 0, 1, true
set, 2, 1, 1, true
get, 6, 4, 2, true
get, 2, 0, 2, true
get, 14, 6, 8, true
get, 10, 2, 8, true
get, 5, 4, 1, true
get, 1, 0, 1, true
get, 3, 2, 1, true
get, 4, 3, 1, true
get, 4, 2, 2, true
get, 2, 0, 2, true
get, 5, 0, 5, true
get, 10, 7, 3, true
get, 6, 6, 0, true
get, 7, 6, 1, true
get, 10, 2, 8, true
get, 20, 3, 17, true
get, 15, 6, 9, true
get, 2, 1, 1, true
get, 31, 30, 1, true
get, 1, 0, 1, true
get, 5, 0, 5, true
get, 9, 6, 3, true
get, 5, 3, 2, true
get, 6, 0, 6, true
get, 6, 5, 1, true
get, 5, 5, 0, true
get, 7, 6, 1, true
set, 30, 10, 8, true
get, 5, 4, 1, true
get, 11, 3, 8, true
get, 11, 11, 0, true
get, 4, 0, 4, true
get, 10, 3, 7, true
get, 1, 1, 0, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 11, 8, 3, true
get, 4, 0, 4, true
get, 5, 2, 3, true
get, 1, 0, 1, true
set, 1, 0, 1, true
get, 8, 1, 7, true
get, 10, 9, 1, true
get, 8, 7, 1, true
get, 4, 2, 2, true
get, 1, 1, 0, true
get, 28, 2, 26, true
get, 29, 28, 1, true
get, 7, 6, 1, true
get, 8, 0, 8, true
get, 12, 11, 1, true
get, 1, 0, 1, true
get, 3, 2, 1, true
get, 15, 13, 2, true
get, 14, 5, 9, true
get, 13, 7, 6, true
get, 5, 4, 1, true
get, 4, 3, 1, true
get, 8, 5, 3, true
get, 9, 7, 2, true
get, 9, 6, 3, true
get, 7, 0, 7, true
set, 8, 0, 8, true
get, 0, 0, 0, true
get, 9, 9, 0, true
get, 17, 10, 7, true
get, 2, 0, 2, true
get, 12, 0, 12, true
