Op, T_total, T_queue, T_server, Success
get, 1, 0, 1, true
set, 23, 4, 8, true
get, 1, 0, 1, true
get, 1, 0, 1, true
set, 16, 5, 10, true
get, 4, 3, 1, true
get, 4, 0, 4, true
get, 5, 5, 0, true
get, 11, 1, 10, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 14, 4, 10, true
get, 15, 5, 10, true
get, 13, 4, 9, true
get, 0, 0, 0, true
get, 7, 6, 1, true
get, 15, 7, 8, true
get, 1, 0, 1, true
get, 5, 5, 0, true
get, 2, 0, 2, true
get, 7, 0, 7, true
get, 7, 6, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
set, 1, 0, 0, true
get, 6, 5, 1, true
get, 9, 3, 6, true
get, 9, 9, 0, true
get, 3, 2, 1, true
get, 1, 0, 0, true
get, 3, 2, 1, true
get, 6, 0, 6, true
get, 7, 6, 1, true
get, 5, 4, 1, true
get, 4, 4, 0, true
get, 17, 7, 10, true
get, 7, 6, 1, true
get, 7, 7, 0, true
get, 4, 0, 4, true
get, 14, 5, 9, true
set, 14, 4, 10, true
get, 9, 0, 9, true
get, 10, 1, 9, true
get, 7, 7, 0, true
get, 17, 7, 10, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 8, 1, 7, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 5, 5, 0, true
get, 32, 23, 9, true
get, 3, 1, 1, true
get, 1, 1, 0, true
get, 21, 11, 10, true
get, 2, 1, 1, true
get, 10, 2, 8, true
get, 13, 4, 9, true
get, 13, 3, 10, true
get, 1, 0, 1, true
get, 11, 10, 1, true
set, 3, 1, 2, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 8, 7, 1, true
get, 8, 7, 1, true
get, 8, 0, 8, true
get, 109, 4, 105, true
get, 10, 0, 10, true
get, 109, 99, 10, true
get, 0, 0, 0, true
get, 64, 15, 49, true
get, 12, 1, 11, true
get, 17, 9, 8, true
get, 0, 0, 0, true
get, 12, 3, 9, true
get, 2, 1, 1, true
get, 10, 1, 7, true
get, 2, 1, 1, true
set, 12, 3, 9, true
get, 7, 1, 6, true
get, 10, 4, 6, true
get, 8, 5, 3, true
get, 15, 8, 7, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 8, 6, 2, true
get, 1, 0, 1, true
get, 8, 4, 4, true
get, 19, 8, 11, true
get, 20, 11, 9, true
get, 2, 2, 0, true
get, 3, 2, 1, true
get, 2, 2, 0, true
get, 13, 3, 10, true
get, 18, 10, 8, true
get, 12, 2, 10, true
get, 5, 4, 1, true
set, 5, 4, 1, true
get, 12, 5, 7, true
get, 3, 3, 0, true
get, 10, 3, 7, true
get, 10, 1, 9, true
get, 13, 4, 9, true
get, 13, 5, 8, true
get, 16, 6, 10, true
get, 0, 0, 0, true
get, 16, 6, 10, true
get, 9, 1, 8, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 18, 1, 9, true
get, 4, 2, 2, true
get, 11, 4, 7, true
get, 5, 4, 1, true
get, 2, 1, 1, true
get, 9, 0, 9, true
get, 10, 9, 1, true
set, 9, 7, 2, true
get, 16, 6, 10, true
get, 7, 0, 7, true
get, 9, 1, 8, true
get, 8, 7, 1, true
get, 1, 0, 1, true
get, 8, 7, 1, true
get, 1, 0, 1, true
get, 9, 8, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 15, 5, 10, true
get, 10, 1, 9, true
get, 10, 0, 10, true
get, 1, 1, 0, true
get, 7, 0, 7, true
get, 10, 9, 1, true
set, 1, 0, 1, true
get, 14, 4, 10, true
get, 14, 0, 14, true
get, 5, 4, 1, true
get, 0, 0, 0, true
get, 10, 10, 0, true
get, 9, 2, 7, true
get, 2, 1, 1, true
get, 7, 6, 1, true
get, 9, 1, 8, true
get, 14, 4, 10, true
get, 9, 0, 9, true
get, 10, 1, 9, true
get, 9, 8, 1, true
get, 8, 0, 8, true
get, 8, 6, 2, true
get, 12, 2, 10, true
get, 10, 9, 1, true
get, 11, 9, 2, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 8, 0, 8, true
set, 11, 1, 9, true
get, 12, 2, 10, true
get, 7, 0, 7, true
get, 9, 9, 0, true
get, 2, 1, 1, true
