Op, T_total, T_queue, T_server, Success
set, 26, 2, 2, true
set, 12, 0, 12, true
set, 10, 0, 9, true
set, 12, 2, 9, true
set, 16, 8, 8, true
set, 7, 0, 7, true
set, 9, 7, 2, true
set, 14, 4, 10, true
set, 2, 1, 1, true
set, 4, 3, 1, true
set, 4, 2, 1, true
set, 9, 0, 8, true
set, 5, 4, 1, true
set, 13, 4, 8, true
set, 7, 6, 0, true
set, 8, 0, 8, true
set, 2, 1, 1, true
set, 10, 0, 10, true
set, 7, 6, 1, true
set, 9, 0, 9, true
set, 7, 7, 0, true
set, 14, 4, 9, true
set, 10, 8, 1, true
set, 14, 4, 10, true
set, 10, 0, 10, true
set, 8, 7, 1, true
set, 7, 2, 5, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 7, 0, 7, true
set, 28, 0, 28, true
set, 2, 0, 1, true
set, 1, 0, 1, true
set, 1, 0, 0, true
set, 13, 3, 10, true
set, 9, 1, 8, true
set, 9, 7, 2, true
set, 8, 6, 2, true
set, 8, 7, 1, true
set, 14, 5, 9, true
set, 7, 0, 7, true
set, 10, 0, 9, true
set, 11, 1, 9, true
set, 1, 1, 0, true
set, 12, 0, 12, true
set, 10, 2, 7, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 7, 0, 7, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 16, 6, 10, true
set, 25, 6, 19, true
set, 16, 6, 10, true
set, 14, 5, 9, true
set, 12, 4, 8, true
set, 16, 3, 13, true
set, 1, 0, 1, true
set, 11, 3, 8, true
set, 12, 2, 9, true
set, 9, 3, 6, true
set, 9, 1, 1, true
set, 16, 7, 9, true
set, 20, 1, 19, true
set, 10, 2, 8, true
set, 1, 0, 1, true
set, 13, 4, 9, true
set, 9, 0, 9, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 8, 0, 8, true
set, 15, 4, 11, true
set, 0, 0, 0, true
set, 2, 1, 1, true
set, 14, 4, 10, true
set, 83, 4, 79, true
set, 8, 5, 3, true
set, 14, 4, 10, true
set, 12, 3, 9, true
set, 10, 2, 8, true
set, 2, 1, 1, true
set, 15, 6, 9, true
set, 8, 0, 1, true
set, 16, 7, 9, true
set, 8, 7, 1, true
set, 7, 0, 7, true
set, 2, 1, 1, true
set, 7, 0, 7, true
set, 14, 5, 9, true
set, 8, 0, 8, true
set, 7, 0, 7, true
set, 9, 0, 8, true
set, 13, 3, 10, true
set, 19, 0, 18, true
set, 33, 4, 29, true
set, 26, 17, 9, true
set, 14, 5, 8, true
set, 8, 7, 1, true
set, 8, 6, 2, true
set, 10, 1, 9, true
set, 10, 1, 9, true
set, 10, 7, 3, true
set, 12, 10, 2, true
set, 16, 0, 16, true
set, 11, 9, 2, true
set, 9, 1, 8, true
set, 14, 6, 8, true
set, 9, 0, 9, true
set, 14, 5, 8, true
set, 14, 4, 10, true
set, 1, 0, 1, true
set, 2, 0, 1, true
set, 8, 6, 2, true
set, 25, 6, 19, true
set, 22, 2, 20, true
set, 26, 6, 20, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 14, 6, 8, true
set, 7, 0, 7, true
set, 2, 2, 0, true
set, 59, 4, 55, true
set, 7, 7, 0, true
set, 8, 0, 7, true
set, 9, 0, 9, true
set, 8, 7, 1, true
set, 19, 9, 9, true
set, 8, 0, 8, true
set, 8, 0, 8, true
set, 19, 1, 18, true
set, 9, 0, 9, true
set, 16, 7, 8, true
set, 4, 3, 1, true
set, 3, 2, 1, true
set, 12, 3, 9, true
set, 9, 0, 8, true
set, 11, 1, 9, true
set, 11, 2, 9, true
set, 25, 5, 19, true
set, 24, 4, 19, true
set, 25, 6, 19, true
set, 17, 1, 16, true
set, 13, 5, 8, true
set, 8, 0, 8, true
set, 11, 2, 9, true
set, 13, 2, 10, true
set, 12, 4, 7, true
set, 2, 0, 2, true
set, 12, 2, 10, true
set, 12, 2, 9, true
set, 9, 1, 8, true
set, 9, 8, 1, true
set, 3, 1, 2, true
set, 8, 1, 7, true
set, 9, 0, 9, true
set, 8, 7, 1, true
set, 2, 0, 1, true
set, 47, 0, 1, true
set, 46, 0, 46, true
set, 1, 0, 1, true
set, 60, 1, 59, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 10, 1, 9, true
set, 17, 7, 10, true
set, 1, 0, 1, true
set, 13, 3, 10, true
set, 13, 3, 10, true
set, 17, 7, 10, true
set, 8, 0, 0, true
set, 3, 2, 1, true
set, 2, 1, 1, true
set, 2, 0, 1, true
set, 14, 5, 9, true
set, 13, 3, 9, true
set, 9, 0, 9, true
set, 2, 0, 2, true
set, 10, 1, 9, true
set, 33, 5, 28, true
set, 33, 4, 28, true
set, 32, 3, 28, true
set, 1, 0, 1, true
set, 15, 6, 9, true
set, 14, 5, 9, true
set, 10, 2, 8, true
set, 1, 0, 1, true
set, 14, 5, 9, true
set, 25, 6, 19, true
set, 14, 4, 10, true
set, 14, 4, 10, true
set, 17, 6, 11, true
set, 10, 0, 10, true
set, 10, 0, 10, true
set, 16, 6, 10, true
set, 14, 4, 10, true
set, 2, 0, 2, true
set, 13, 4, 9, true
set, 13, 3, 9, true
set, 12, 1, 11, true
set, 11, 0, 11, true
set, 14, 4, 10, true
set, 14, 5, 9, true
set, 13, 4, 9, true
set, 37, 4, 33, true
set, 20, 0, 19, true
set, 30, 1, 29, true
set, 8, 6, 2, true
set, 20, 2, 18, true
set, 18, 0, 18, true
set, 12, 2, 10, true
set, 13, 2, 10, true
set, 16, 7, 9, true
set, 1, 0, 1, true
set, 12, 3, 9, true
set, 12, 2, 9, true
set, 16, 6, 10, true
set, 7, 0, 7, true
set, 7, 0, 7, true
set, 1, 1, 0, true
set, 1, 0, 1, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 2, 0, 2, true
