Op, T_total, T_queue, T_server, Success
get, 18, 10, 0, true
set, 34, 0, 20, true
get, 0, 0, 0, true
set, 4, 2, 2, true
get, 4, 3, 1, true
get, 14, 14, 0, true
get, 1, 0, 1, true
get, 7, 7, 0, true
get, 14, 5, 9, true
set, 15, 6, 9, true
get, 6, 6, 0, true
get, 1, 0, 1, true
get, 8, 0, 8, true
get, 0, 0, 0, true
get, 13, 3, 10, true
get, 25, 15, 10, true
get, 25, 15, 10, true
get, 14, 5, 9, true
get, 7, 6, 1, true
get, 1, 0, 1, true
get, 11, 4, 7, true
get, 11, 4, 6, true
get, 10, 2, 8, true
get, 3, 1, 1, true
get, 7, 6, 1, true
get, 13, 2, 11, true
get, 7, 6, 1, true
get, 1, 1, 0, true
get, 3, 3, 0, true
get, 3, 1, 2, true
get, 1, 1, 0, true
get, 5, 4, 1, true
get, 5, 2, 3, true
get, 12, 4, 8, true
get, 60, 58, 2, true
get, 29, 20, 9, true
get, 19, 0, 19, true
get, 32, 11, 21, true
get, 19, 11, 8, true
get, 4, 3, 1, true
get, 11, 10, 1, true
get, 10, 2, 8, true
get, 3, 2, 1, true
set, 12, 2, 9, true
get, 13, 3, 10, true
get, 0, 0, 0, true
get, 17, 16, 1, true
get, 10, 9, 1, true
get, 10, 0, 10, true
get, 1, 0, 1, true
get, 11, 2, 9, true
get, 13, 5, 8, true
get, 6, 6, 0, true
get, 10, 1, 9, true
get, 11, 2, 9, true
get, 2, 1, 1, true
set, 16, 7, 9, true
get, 13, 3, 10, true
get, 3, 2, 1, true
get, 12, 10, 2, true
get, 8, 8, 0, true
get, 10, 9, 1, true
get, 14, 6, 8, true
get, 0, 0, 0, true
get, 15, 5, 10, true
get, 16, 6, 10, true
get, 19, 11, 8, true
get, 21, 13, 8, true
get, 1, 0, 1, true
get, 20, 7, 13, true
get, 15, 6, 9, true
get, 17, 16, 1, true
get, 9, 2, 7, true
get, 12, 10, 2, true
get, 20, 19, 1, true
get, 3, 2, 1, true
get, 3, 2, 1, true
