Op, T_total, T_queue, T_server, Success
set, 29, 3, 13, true
get, 2, 1, 1, true
set, 3, 2, 1, true
get, 5, 4, 1, true
get, 15, 7, 8, true
get, 7, 6, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 5, 4, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 6, 1, 5, true
get, 8, 1, 7, true
get, 3, 2, 1, true
set, 10, 3, 1, true
get, 1, 0, 1, true
get, 7, 6, 1, true
get, 6, 6, 0, true
get, 4, 0, 4, true
get, 13, 3, 10, true
get, 8, 8, 0, true
get, 16, 7, 9, true
get, 7, 7, 0, true
get, 7, 6, 1, true
get, 5, 5, 0, true
get, 7, 0, 7, true
get, 6, 5, 1, true
get, 15, 7, 8, true
get, 9, 8, 1, true
get, 8, 7, 1, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 4, 3, 1, true
get, 15, 4, 10, true
get, 11, 10, 1, true
get, 2, 1, 1, true
set, 24, 4, 20, true
get, 31, 7, 24, true
get, 28, 28, 0, true
get, 21, 20, 1, true
get, 11, 1, 10, true
get, 2, 1, 1, true
get, 20, 2, 18, true
get, 10, 9, 1, true
get, 17, 9, 8, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 9, 8, 1, true
get, 1, 0, 1, true
get, 16, 14, 2, true
get, 18, 9, 9, true
get, 10, 9, 1, true
get, 2, 1, 1, true
get, 13, 8, 5, true
set, 13, 3, 10, true
get, 3, 3, 0, true
get, 4, 2, 2, true
get, 20, 12, 8, true
get, 12, 5, 7, true
get, 49, 48, 1, true
get, 77, 11, 66, true
get, 79, 71, 8, true
get, 34, 33, 1, true
get, 14, 10, 4, true
get, 13, 6, 7, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 8, 0, 8, true
get, 10, 0, 10, true
get, 8, 8, 0, true
get, 9, 8, 1, true
get, 1, 1, 0, true
get, 10, 9, 1, true
get, 1, 1, 0, true
set, 13, 4, 9, true
get, 7, 0, 7, true
get, 9, 8, 1, true
get, 0, 0, 0, true
get, 8, 0, 8, true
get, 1, 0, 1, true
get, 20, 12, 8, true
get, 13, 12, 1, true
get, 9, 1, 8, true
get, 9, 8, 1, true
get, 10, 10, 0, true
get, 1, 0, 1, true
get, 13, 10, 3, true
get, 22, 21, 1, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 18, 10, 8, true
get, 18, 11, 7, true
get, 11, 10, 1, true
get, 27, 18, 9, true
get, 19, 19, 0, true
get, 10, 2, 8, true
set, 15, 5, 10, true
get, 18, 17, 1, true
get, 9, 2, 7, true
get, 13, 11, 2, true
get, 14, 14, 0, true
get, 19, 11, 8, true
get, 10, 9, 1, true
get, 2, 1, 1, true
get, 18, 11, 7, true
get, 15, 5, 10, true
get, 10, 3, 7, true
get, 19, 11, 8, true
get, 10, 2, 8, true
get, 10, 2, 8, true
get, 38, 9, 29, true
get, 43, 42, 1, true
get, 10, 2, 8, true
get, 13, 9, 4, true
set, 10, 0, 10, true
get, 13, 12, 1, true
get, 4, 3, 1, true
get, 168, 3, 165, true
get, 176, 175, 1, true
get, 3, 2, 1, true
get, 12, 11, 1, true
get, 6, 5, 1, true
get, 14, 13, 1, true
get, 6, 5, 1, true
get, 11, 10, 1, true
get, 3, 2, 1, true
get, 11, 10, 1, true
get, 3, 3, 0, true
get, 11, 10, 1, true
get, 11, 3, 8, true
get, 10, 9, 1, true
get, 11, 2, 9, true
get, 10, 9, 1, true
get, 10, 2, 8, true
set, 9, 3, 6, true
get, 10, 9, 1, true
get, 28, 3, 25, true
get, 27, 26, 1, true
get, 2, 2, 0, true
get, 4, 4, 0, true
get, 10, 9, 1, true
get, 2, 1, 1, true
get, 11, 10, 1, true
get, 9, 1, 8, true
get, 9, 9, 0, true
get, 10, 3, 7, true
get, 3, 2, 1, true
get, 10, 10, 0, true
get, 11, 10, 1, true
get, 10, 8, 2, true
get, 12, 3, 9, true
get, 11, 10, 0, true
get, 2, 1, 1, true
get, 11, 4, 7, true
get, 11, 10, 1, true
get, 12, 4, 8, true
get, 10, 9, 1, true
set, 15, 5, 10, true
get, 10, 9, 1, true
get, 11, 3, 8, true
get, 11, 10, 1, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 11, 10, 1, true
get, 10, 9, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 4, 3, 1, true
get, 15, 14, 1, true
get, 11, 10, 1, true
get, 2, 1, 1, true
get, 10, 9, 1, true
set, 12, 3, 9, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 8, 0, 8, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 2, 1, 1, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 11, 11, 0, true
get, 12, 7, 5, true
get, 10, 9, 1, true
get, 11, 3, 8, true
get, 19, 11, 8, true
get, 10, 2, 8, true
get, 11, 9, 2, true
get, 11, 3, 8, true
get, 12, 11, 1, true
get, 10, 8, 2, true
get, 2, 1, 1, true
get, 11, 10, 1, true
get, 10, 9, 1, true
get, 12, 10, 2, true
get, 3, 3, 0, true
set, 13, 3, 10, true
get, 10, 8, 1, true
get, 10, 2, 8, true
get, 10, 10, 0, true
get, 11, 3, 8, true
get, 10, 10, 0, true
get, 11, 4, 7, true
get, 10, 9, 1, true
get, 17, 3, 14, true
get, 18, 16, 2, true
get, 10, 8, 2, true
get, 17, 10, 7, true
get, 18, 9, 9, true
get, 14, 12, 2, true
get, 5, 4, 1, true
get, 10, 9, 1, true
get, 10, 2, 8, true
get, 10, 9, 1, true
set, 6, 0, 6, true
get, 12, 3, 9, true
get, 11, 10, 1, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 3, 2, 1, true
get, 11, 9, 2, true
get, 9, 2, 7, true
get, 10, 9, 1, true
get, 9, 2, 7, true
get, 12, 9, 3, true
get, 11, 10, 1, true
get, 10, 9, 1, true
get, 10, 3, 7, true
get, 10, 9, 0, true
get, 12, 10, 2, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 9, 8, 1, true
get, 4, 3, 1, true
get, 10, 9, 1, true
set, 12, 3, 9, true
get, 9, 9, 0, true
get, 10, 2, 8, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 38, 37, 1, true
get, 4, 3, 1, true
get, 13, 10, 3, true
get, 13, 12, 1, true
get, 11, 2, 9, true
get, 12, 11, 1, true
get, 11, 3, 8, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 11, 10, 1, true
get, 12, 11, 1, true
get, 10, 3, 7, true
get, 9, 9, 0, true
get, 12, 11, 1, true
set, 16, 6, 10, true
get, 10, 10, 0, true
get, 9, 8, 1, true
get, 9, 2, 7, true
get, 3, 2, 1, true
get, 10, 10, 0, true
get, 11, 10, 1, true
get, 4, 3, 1, true
get, 10, 8, 2, true
get, 28, 5, 23, true
get, 49, 38, 10, true
get, 9, 2, 7, true
get, 9, 8, 1, true
get, 10, 9, 1, true
get, 17, 9, 8, true
get, 11, 9, 2, true
get, 3, 2, 1, true
set, 11, 1, 10, true
get, 10, 9, 1, true
get, 9, 2, 7, true
get, 10, 9, 1, true
get, 11, 9, 2, true
get, 3, 2, 1, true
get, 28, 6, 22, true
get, 28, 25, 3, true
get, 30, 29, 1, true
get, 12, 5, 7, true
get, 10, 2, 8, true
get, 3, 2, 1, true
get, 9, 0, 9, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 9, 8, 1, true
get, 3, 2, 1, true
get, 10, 10, 0, true
get, 11, 3, 8, true
get, 9, 2, 7, true
get, 2, 1, 1, true
set, 2, 2, 0, true
get, 11, 10, 1, true
get, 10, 9, 1, true
get, 3, 2, 1, true
get, 10, 9, 1, true
get, 13, 12, 1, true
get, 11, 10, 1, true
get, 11, 10, 1, true
get, 12, 11, 1, true
get, 12, 11, 1, true
get, 10, 9, 1, true
get, 9, 8, 1, true
get, 10, 9, 1, true
get, 11, 11, 0, true
get, 12, 10, 2, true
get, 11, 11, 0, true
get, 12, 10, 2, true
get, 10, 2, 8, true
set, 2, 0, 2, true
get, 11, 10, 1, true
get, 11, 10, 1, true
get, 10, 2, 8, true
get, 21, 18, 3, true
get, 10, 9, 1, true
get, 4, 3, 1, true
get, 12, 11, 1, true
get, 9, 8, 1, true
get, 3, 3, 0, true
get, 12, 11, 1, true
get, 14, 13, 1, true
get, 12, 11, 1, true
get, 8, 7, 1, true
get, 1, 1, 0, true
get, 10, 9, 1, true
get, 8, 0, 8, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 11, 9, 2, true
get, 10, 9, 1, true
get, 10, 9, 1, true
get, 9, 0, 9, true
get, 9, 9, 0, true
set, 10, 1, 9, true
get, 10, 10, 0, true
get, 9, 1, 8, true
get, 8, 1, 7, true
get, 17, 8, 9, true
get, 10, 9, 1, true
get, 11, 10, 1, true
get, 11, 11, 0, true
get, 18, 10, 8, true
get, 11, 10, 1, true
get, 1, 0, 1, true
get, 12, 3, 9, true
get, 11, 2, 9, true
get, 19, 12, 7, true
get, 11, 10, 1, true
get, 8, 8, 0, true
set, 8, 0, 8, true
get, 10, 2, 8, true
get, 11, 9, 2, true
get, 10, 9, 1, true
get, 12, 11, 1, true
get, 10, 9, 1, true
get, 17, 9, 8, true
get, 10, 9, 1, true
get, 8, 0, 8, true
get, 4, 4, 0, true
get, 10, 10, 0, true
get, 10, 2, 8, true
get, 11, 10, 1, true
get, 9, 1, 8, true
get, 9, 9, 0, true
get, 9, 8, 1, true
get, 5, 4, 1, true
get, 10, 3, 7, true
get, 11, 5, 6, true
get, 11, 10, 1, true
