Op, T_total, T_queue, T_server, Success
set, 32, 4, 27, true
get, 1, 0, 1, true
get, 7, 7, 0, true
set, 12, 0, 11, true
get, 19, 0, 10, true
get, 19, 10, 9, true
get, 9, 0, 9, true
get, 9, 0, 9, true
get, 6, 0, 6, true
set, 49, 0, 48, true
get, 0, 0, 0, true
get, 9, 0, 9, true
get, 6, 5, 1, true
get, 5, 4, 1, true
get, 8, 0, 7, true
get, 11, 3, 8, true
get, 5, 5, 0, true
get, 3, 2, 1, true
get, 3, 2, 1, true
get, 3, 2, 1, true
get, 2, 0, 2, true
get, 14, 4, 10, true
get, 10, 0, 10, true
get, 7, 7, 0, true
get, 7, 6, 1, true
get, 12, 1, 10, true
get, 0, 0, 0, true
get, 13, 4, 9, true
get, 7, 2, 5, true
get, 1, 0, 1, true
get, 9, 7, 2, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 8, 7, 1, true
get, 10, 0, 10, true
get, 8, 5, 2, true
get, 6, 5, 1, true
get, 6, 5, 1, true
get, 1, 0, 1, true
get, 4, 3, 1, true
set, 8, 0, 8, true
get, 18, 11, 7, true
get, 3, 2, 1, true
get, 18, 8, 10, true
get, 2, 0, 2, true
get, 1, 0, 1, true
get, 16, 6, 10, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 12, 2, 10, true
get, 8, 1, 7, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
set, 1, 0, 1, true
get, 14, 1, 13, true
get, 0, 0, 0, true
get, 17, 7, 10, true
get, 12, 10, 2, true
get, 1, 0, 1, true
get, 12, 2, 10, true
get, 2, 2, 0, true
get, 14, 5, 9, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 17, 7, 10, true
get, 5, 3, 2, true
get, 17, 15, 2, true
get, 4, 3, 1, true
get, 3, 2, 1, true
get, 16, 6, 10, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 11, 10, 1, true
get, 10, 10, 0, true
get, 8, 6, 2, true
get, 16, 15, 1, true
set, 8, 0, 8, true
get, 16, 7, 9, true
get, 9, 7, 2, true
get, 8, 0, 8, true
get, 16, 8, 8, true
get, 14, 3, 11, true
get, 17, 8, 9, true
get, 45, 44, 1, true
get, 40, 1, 39, true
get, 9, 9, 0, true
get, 19, 10, 9, true
get, 9, 8, 1, true
get, 10, 0, 10, true
get, 11, 1, 10, true
get, 19, 11, 8, true
get, 10, 9, 1, true
get, 20, 10, 10, true
get, 9, 0, 8, true
get, 2, 1, 1, true
get, 11, 2, 9, true
get, 10, 9, 1, true
set, 11, 1, 10, true
get, 9, 0, 9, true
get, 3, 2, 1, true
get, 1, 0, 1, true
get, 16, 16, 0, true
get, 11, 10, 1, true
get, 22, 21, 1, true
get, 9, 0, 9, true
get, 17, 9, 8, true
get, 10, 1, 9, true
get, 1, 1, 0, true
get, 8, 5, 3, true
get, 11, 1, 9, true
get, 1, 0, 1, true
get, 15, 3, 12, true
get, 9, 9, 0, true
get, 8, 0, 8, true
get, 2, 2, 0, true
get, 14, 4, 10, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 14, 4, 10, true
set, 22, 12, 10, true
get, 0, 0, 0, true
get, 14, 5, 9, true
get, 10, 0, 10, true
get, 9, 8, 1, true
get, 14, 5, 9, true
get, 11, 1, 10, true
get, 10, 2, 8, true
get, 9, 0, 9, true
get, 9, 0, 9, true
get, 7, 5, 2, true
get, 10, 1, 9, true
get, 4, 2, 2, true
get, 14, 5, 9, true
get, 2, 1, 1, true
get, 3, 3, 0, true
get, 7, 0, 7, true
set, 1, 0, 1, true
get, 1, 0, 1, true
get, 14, 5, 9, true
get, 7, 5, 2, true
get, 8, 0, 8, true
get, 13, 4, 9, true
get, 3, 2, 1, true
get, 10, 2, 8, true
get, 10, 1, 9, true
get, 2, 1, 1, true
get, 20, 8, 12, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 8, 0, 8, true
get, 4, 1, 3, true
get, 13, 4, 9, true
get, 13, 3, 10, true
get, 8, 0, 8, true
get, 11, 2, 9, true
get, 1, 0, 1, true
set, 17, 0, 17, true
get, 12, 9, 3, true
get, 1, 0, 1, true
get, 16, 6, 10, true
get, 14, 4, 10, true
get, 11, 8, 3, true
get, 3, 1, 2, true
get, 11, 2, 9, true
get, 8, 7, 1, true
get, 1, 0, 1, true
