Op, T_total, T_queue, T_server, Success
set, 29, 2, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 6, 1, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 7, 0, 7, true
get, 0, 0, 0, true
get, 7, 0, 7, true
get, 0, 0, 0, true
get, 8, 1, 7, true
get, 8, 1, 7, true
get, 1, 0, 0, true
get, 0, 0, 0, true
set, 0, 0, 0, true
get, 7, 3, 4, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 2, 0, 2, true
get, 0, 0, 0, true
get, 11, 9, 2, true
get, 1, 0, 1, true
get, 7, 6, 1, true
get, 1, 1, 0, true
get, 0, 0, 0, true
get, 3, 2, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 2, 0, 2, true
get, 2, 2, 0, true
get, 8, 0, 8, true
get, 1, 0, 1, true
set, 6, 3, 2, true
get, 15, 8, 7, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 12, 2, 10, true
get, 0, 0, 0, true
get, 1, 1, 0, true
get, 3, 2, 1, true
get, 0, 0, 0, true
get, 6, 0, 6, true
get, 11, 10, 1, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 4, 3, 1, true
get, 12, 0, 12, true
get, 4, 2, 2, true
get, 4, 3, 1, true
get, 13, 0, 13, true
set, 12, 2, 10, true
get, 7, 6, 1, true
get, 0, 0, 0, true
get, 1, 1, 0, true
get, 1, 1, 0, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 3, 3, 0, true
get, 0, 0, 0, true
get, 1, 1, 0, true
get, 1, 1, 0, true
get, 8, 0, 8, true
get, 2, 2, 0, true
get, 14, 4, 10, true
get, 8, 8, 0, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 2, 1, 1, true
get, 14, 4, 10, true
get, 7, 0, 7, true
get, 1, 0, 1, true
set, 4, 0, 4, true
get, 0, 0, 0, true
get, 10, 9, 1, true
get, 2, 2, 0, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 8, 7, 1, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 7, 0, 7, true
get, 7, 7, 0, true
