Op, T_total, T_queue, T_server, Success
get, 9, 0, 0, true
set, 15, 3, 10, true
set, 14, 1, 11, true
set, 14, 1, 12, true
set, 39, 3, 10, true
set, 40, 1, 12, true
set, 40, 2, 11, true
set, 39, 3, 36, true
set, 39, 1, 11, true
set, 39, 0, 12, true
set, 39, 0, 11, true
set, 41, 39, 2, true
set, 40, 39, 1, true
set, 55, 40, 14, true
set, 56, 40, 14, true
set, 0, 0, 0, true
set, 10, 0, 9, true
set, 2, 0, 2, true
set, 10, 0, 2, true
set, 9, 0, 1, true
set, 11, 1, 9, true
set, 10, 0, 9, true
set, 11, 1, 10, true
set, 11, 1, 10, true
set, 11, 0, 10, true
get, 7, 6, 1, true
set, 17, 0, 17, true
set, 18, 0, 18, true
set, 18, 0, 18, true
get, 7, 0, 7, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 3, 2, 1, true
get, 1, 0, 1, true
get, 2, 2, 0, true
get, 1, 0, 0, true
get, 7, 0, 7, true
get, 1, 0, 1, true
get, 16, 14, 2, true
get, 4, 3, 1, true
get, 5, 5, 0, true
get, 7, 6, 0, true
get, 4, 3, 1, true
get, 2, 0, 2, true
get, 1, 0, 1, true
get, 14, 4, 10, true
get, 2, 1, 1, true
set, 16, 5, 11, true
get, 5, 5, 0, true
set, 6, 5, 1, true
set, 7, 0, 7, true
set, 7, 5, 1, true
set, 8, 5, 1, true
set, 9, 0, 9, true
get, 6, 6, 0, true
set, 8, 0, 8, true
get, 8, 8, 0, true
get, 9, 0, 9, true
set, 10, 0, 10, true
set, 20, 0, 9, true
set, 8, 0, 8, true
set, 20, 10, 10, true
set, 3, 2, 1, true
set, 3, 1, 2, true
set, 3, 1, 2, true
set, 2, 0, 2, true
set, 9, 0, 9, true
set, 2, 0, 2, true
set, 3, 2, 1, true
set, 3, 1, 1, true
set, 4, 3, 0, true
set, 3, 2, 0, true
set, 9, 0, 9, true
get, 3, 3, 0, true
set, 2, 1, 1, true
get, 8, 7, 1, true
set, 10, 1, 9, true
set, 13, 3, 10, true
set, 13, 3, 10, true
get, 2, 1, 1, true
get, 1, 0, 1, true
set, 65, 54, 11, true
set, 83, 34, 49, true
set, 76, 26, 49, true
get, 74, 70, 4, true
get, 11, 10, 1, true
set, 12, 2, 10, true
get, 9, 8, 1, true
set, 9, 2, 7, true
get, 1, 0, 1, true
set, 2, 1, 1, true
get, 3, 2, 1, true
set, 7, 5, 2, true
get, 7, 5, 2, true
set, 0, 0, 0, true
get, 1, 1, 0, true
get, 4, 4, 0, true
set, 3, 2, 1, true
set, 2, 0, 2, true
set, 3, 2, 1, true
get, 6, 6, 0, true
get, 8, 0, 8, true
set, 6, 5, 1, true
get, 6, 5, 1, true
get, 6, 5, 1, true
get, 1, 1, 0, true
set, 8, 0, 8, true
get, 7, 0, 7, true
get, 0, 0, 0, true
get, 1, 1, 0, true
set, 12, 2, 9, true
get, 2, 1, 1, true
get, 1, 0, 1, true
set, 14, 4, 10, true
get, 15, 8, 7, true
get, 17, 9, 8, true
get, 8, 8, 0, true
set, 11, 2, 9, true
set, 15, 5, 10, true
get, 9, 2, 7, true
get, 8, 7, 1, true
set, 11, 2, 9, true
get, 6, 0, 6, true
set, 10, 0, 10, true
set, 8, 0, 8, true
get, 15, 8, 7, true
set, 10, 7, 3, true
set, 15, 4, 10, true
get, 4, 3, 1, true
set, 10, 1, 9, true
set, 2, 0, 1, true
get, 9, 1, 8, true
set, 9, 0, 9, true
set, 18, 8, 10, true
get, 14, 9, 5, true
get, 5, 3, 2, true
set, 2, 0, 1, true
get, 11, 10, 1, true
get, 10, 10, 0, true
set, 14, 4, 10, true
get, 10, 2, 8, true
set, 14, 4, 10, true
get, 10, 2, 8, true
set, 9, 0, 9, true
get, 10, 9, 1, true
set, 13, 3, 10, true
set, 11, 1, 10, true
get, 15, 8, 7, true
set, 12, 1, 10, true
get, 16, 8, 8, true
get, 1, 1, 0, true
set, 10, 0, 10, true
get, 2, 1, 1, true
get, 0, 0, 0, true
set, 10, 1, 9, true
set, 12, 2, 10, true
set, 12, 2, 10, true
get, 9, 3, 6, true
get, 1, 1, 0, true
set, 12, 2, 10, true
set, 19, 18, 1, true
get, 7, 7, 0, true
set, 17, 7, 10, true
get, 16, 15, 1, true
set, 16, 5, 10, true
set, 3, 2, 1, true
get, 4, 3, 1, true
set, 1, 1, 0, true
set, 51, 1, 50, true
get, 60, 50, 10, true
get, 1, 0, 1, true
get, 4, 3, 1, true
set, 9, 2, 7, true
set, 2, 1, 1, true
get, 9, 2, 7, true
set, 9, 0, 9, true
set, 10, 0, 10, true
get, 14, 7, 7, true
get, 11, 9, 2, true
set, 2, 0, 2, true
set, 13, 3, 9, true
get, 3, 2, 1, true
get, 3, 2, 1, true
set, 8, 0, 1, true
set, 9, 0, 9, true
get, 9, 1, 8, true
set, 8, 0, 8, true
get, 2, 0, 2, true
get, 8, 1, 7, true
set, 16, 6, 10, true
set, 16, 7, 9, true
set, 14, 4, 9, true
get, 8, 0, 8, true
set, 14, 5, 9, true
get, 2, 0, 2, true
set, 9, 0, 9, true
get, 10, 9, 1, true
get, 1, 0, 1, true
set, 8, 0, 8, true
set, 8, 0, 7, true
set, 15, 5, 10, true
get, 10, 9, 1, true
set, 0, 0, 0, true
get, 5, 4, 1, true
set, 9, 0, 9, true
get, 9, 8, 1, true
get, 14, 13, 1, true
get, 5, 4, 1, true
set, 17, 5, 12, true
get, 10, 9, 1, true
set, 11, 2, 9, true
set, 11, 1, 10, true
get, 2, 1, 1, true
get, 6, 5, 1, true
set, 10, 0, 10, true
get, 2, 1, 1, true
set, 7, 0, 7, true
get, 12, 11, 1, true
set, 6, 0, 6, true
get, 7, 1, 6, true
get, 8, 8, 0, true
set, 10, 3, 7, true
get, 10, 2, 8, true
set, 12, 3, 9, true
get, 17, 9, 8, true
get, 7, 7, 0, true
get, 2, 2, 0, true
set, 13, 4, 9, true
set, 20, 6, 14, true
set, 15, 1, 14, true
get, 9, 2, 7, true
get, 21, 11, 10, true
set, 21, 0, 21, true
get, 2, 1, 1, true
get, 12, 11, 1, true
set, 21, 2, 18, true
set, 13, 3, 9, true
set, 6, 5, 1, true
get, 8, 8, 0, true
set, 14, 4, 10, true
set, 8, 0, 8, true
set, 12, 2, 10, true
get, 12, 10, 2, true
set, 7, 0, 7, true
get, 10, 3, 7, true
set, 8, 6, 2, true
set, 8, 0, 8, true
set, 7, 0, 7, true
get, 9, 2, 7, true
set, 8, 6, 2, true
get, 19, 11, 8, true
get, 9, 9, 0, true
set, 173, 15, 148, true
get, 174, 172, 2, true
set, 77, 0, 77, true
get, 3, 3, 0, true
get, 0, 0, 0, true
get, 8, 7, 1, true
set, 14, 4, 3, true
set, 13, 3, 10, true
set, 13, 3, 10, true
get, 11, 3, 8, true
get, 9, 8, 1, true
set, 1, 0, 1, true
get, 3, 2, 1, true
set, 13, 5, 8, true
get, 17, 9, 8, true
get, 10, 9, 1, true
set, 11, 4, 7, true
get, 4, 3, 1, true
set, 15, 5, 10, true
set, 13, 3, 10, true
get, 3, 2, 1, true
get, 10, 9, 1, true
set, 13, 3, 10, true
get, 3, 1, 2, true
set, 2, 1, 1, true
set, 13, 3, 9, true
get, 4, 3, 1, true
set, 5, 3, 2, true
set, 2, 0, 2, true
set, 1, 0, 1, true
set, 7, 0, 7, true
get, 11, 2, 9, true
get, 9, 6, 3, true
get, 2, 1, 1, true
set, 9, 0, 9, true
get, 4, 3, 1, true
get, 2, 1, 1, true
set, 19, 6, 13, true
set, 12, 0, 11, true
get, 1, 0, 1, true
get, 9, 8, 1, true
set, 16, 6, 10, true
get, 2, 1, 1, true
set, 11, 10, 1, true
set, 13, 3, 10, true
set, 11, 1, 10, true
get, 8, 7, 1, true
get, 4, 3, 1, true
get, 9, 7, 2, true
set, 12, 2, 10, true
get, 3, 1, 2, true
set, 28, 20, 8, true
set, 23, 15, 8, true
get, 10, 9, 1, true
get, 9, 1, 8, true
set, 21, 13, 8, true
get, 9, 9, 0, true
set, 29, 4, 24, true
set, 19, 18, 1, true
get, 10, 9, 1, true
set, 26, 2, 24, true
get, 8, 0, 8, true
set, 13, 3, 10, true
get, 17, 7, 10, true
get, 8, 0, 8, true
get, 1, 0, 1, true
set, 12, 2, 10, true
get, 16, 7, 9, true
get, 1, 1, 0, true
set, 39, 38, 1, true
set, 30, 29, 1, true
get, 7, 0, 7, true
set, 29, 28, 1, true
set, 0, 0, 0, true
set, 12, 2, 10, true
set, 11, 1, 10, true
get, 8, 0, 7, true
get, 9, 1, 7, true
get, 1, 0, 1, true
set, 30, 10, 20, true
set, 30, 10, 20, true
get, 23, 22, 1, true
get, 1, 1, 0, true
set, 1, 0, 1, true
set, 2, 0, 2, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 11, 10, 1, true
set, 15, 0, 15, true
set, 9, 0, 9, true
get, 9, 8, 1, true
set, 51, 40, 11, true
set, 29, 18, 11, true
set, 25, 14, 11, true
set, 8, 0, 8, true
set, 6, 6, 0, true
