Op, T_total, T_queue, T_server, Success
set, 7, 6, 0, true
set, 6, 4, 2, true
set, 30, 26, 4, true
set, 27, 0, 26, true
set, 29, 6, 22, true
set, 39, 7, 32, true
set, 38, 6, 21, true
get, 1, 1, 0, true
set, 21, 17, 4, true
set, 13, 4, 9, true
set, 42, 39, 3, true
set, 14, 4, 10, true
set, 43, 39, 3, true
set, 40, 29, 3, true
set, 20, 11, 8, true
set, 43, 28, 14, true
set, 43, 28, 13, true
set, 32, 10, 13, true
set, 33, 10, 13, true
set, 34, 10, 24, true
set, 34, 9, 24, true
set, 50, 32, 10, true
set, 51, 29, 11, true
set, 53, 28, 11, true
set, 23, 22, 0, true
set, 23, 22, 1, true
get, 0, 0, 0, true
set, 56, 35, 21, true
get, 3, 3, 0, true
set, 53, 43, 9, true
get, 4, 4, 0, true
get, 1, 1, 0, true
get, 8, 6, 2, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 10, 1, 9, true
set, 13, 3, 10, true
set, 14, 4, 10, true
set, 8, 6, 2, true
set, 18, 9, 9, true
set, 8, 0, 8, true
get, 0, 0, 0, true
set, 13, 3, 10, true
set, 14, 5, 8, true
set, 9, 0, 9, true
set, 15, 5, 10, true
get, 8, 0, 8, true
set, 9, 7, 2, true
set, 12, 3, 9, true
set, 15, 5, 10, true
set, 13, 3, 10, true
get, 8, 0, 7, true
get, 11, 11, 0, true
get, 2, 1, 1, true
get, 8, 1, 7, true
get, 2, 1, 1, true
get, 0, 0, 0, true
get, 5, 3, 2, true
get, 8, 1, 7, true
get, 3, 2, 1, true
get, 10, 9, 1, true
get, 9, 9, 0, true
set, 7, 6, 1, true
get, 8, 8, 0, true
get, 6, 6, 0, true
set, 7, 6, 0, true
get, 22, 12, 10, true
set, 3, 1, 1, true
get, 22, 12, 10, true
get, 60, 0, 60, true
set, 1, 0, 1, true
get, 7, 5, 2, true
set, 7, 5, 1, true
set, 8, 0, 8, true
get, 7, 6, 1, true
get, 18, 8, 10, true
set, 2, 1, 1, true
get, 4, 3, 1, true
set, 15, 5, 10, true
set, 2, 1, 1, true
get, 10, 0, 10, true
set, 12, 2, 10, true
