Op, T_total, T_queue, T_server, Success
set, 49, 2, 37, true
get, 10, 1, 0, true
get, 16, 10, 6, true
get, 1, 1, 0, true
get, 8, 0, 8, true
get, 0, 0, 0, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 1, 1, 0, true
get, 1, 0, 1, true
get, 9, 9, 0, true
get, 2, 1, 1, true
get, 10, 3, 7, true
set, 11, 1, 10, true
get, 17, 8, 9, true
get, 1, 0, 1, true
get, 6, 5, 1, true
get, 9, 8, 1, true
get, 1, 1, 0, true
get, 9, 8, 1, true
get, 0, 0, 0, true
set, 4, 3, 1, true
get, 5, 5, 0, true
get, 6, 5, 1, true
get, 1, 0, 1, true
get, 2, 2, 0, true
get, 3, 2, 1, true
get, 1, 0, 1, true
get, 2, 2, 0, true
get, 4, 3, 1, true
get, 7, 6, 1, true
get, 6, 5, 1, true
get, 1, 0, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 6, 5, 1, true
get, 7, 0, 7, true
get, 11, 10, 1, true
get, 3, 2, 1, true
get, 9, 0, 9, true
get, 0, 0, 0, true
get, 2, 0, 2, true
set, 4, 3, 1, true
get, 0, 0, 0, true
get, 5, 4, 1, true
get, 25, 3, 22, true
get, 19, 18, 1, true
get, 2, 1, 1, true
get, 2, 1, 1, true
get, 15, 7, 8, true
get, 3, 3, 0, true
get, 15, 14, 1, true
get, 2, 2, 0, true
get, 12, 11, 1, true
get, 17, 5, 12, true
get, 16, 6, 10, true
get, 14, 4, 9, true
get, 13, 4, 9, true
get, 7, 6, 1, true
get, 6, 5, 1, true
get, 10, 4, 6, true
set, 15, 5, 10, true
get, 15, 6, 9, true
get, 1, 1, 0, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 1, 0, 1, true
get, 2, 0, 2, true
get, 0, 0, 0, true
get, 9, 9, 0, true
get, 1, 0, 1, true
get, 0, 0, 0, true
get, 0, 0, 0, true
get, 14, 4, 10, true
get, 9, 8, 1, true
get, 8, 8, 0, true
get, 1, 0, 1, true
get, 16, 8, 8, true
set, 10, 1, 9, true
get, 1, 0, 1, true
get, 11, 10, 1, true
