Op, T_total, T_queue, T_server, Success
get, 1, 0, 0, true
set, 24, 7, 2, true
get, 1, 0, 1, true
get, 3, 2, 1, true
get, 0, 0, 0, true
get, 1, 0, 1, true
get, 1, 0, 1, true
set, 1, 0, 1, true
get, 5, 4, 1, true
get, 2, 1, 1, true
get, 9, 2, 7, true
get, 1, 1, 0, true
get, 10, 0, 10, true
get, 10, 0, 10, true
get, 12, 3, 9, true
get, 10, 9, 1, true
get, 3, 3, 0, true
get, 6, 5, 1, true
get, 9, 8, 1, true
get, 10, 0, 10, true
get, 31, 2, 29, true
get, 4, 3, 1, true
get, 12, 2, 10, true
get, 10, 7, 3, true
get, 12, 3, 9, true
get, 34, 33, 1, true
get, 2, 1, 1, true
get, 8, 1, 7, true
get, 8, 7, 1, true
set, 17, 16, 0, true
get, 7, 6, 1, true
get, 6, 0, 6, true
get, 8, 7, 1, true
get, 1, 0, 1, true
get, 7, 7, 0, true
get, 11, 10, 1, true
set, 14, 5, 9, true
get, 0, 0, 0, true
get, 20, 10, 10, true
get, 10, 1, 9, true
get, 14, 4, 10, true
get, 1, 0, 1, true
get, 8, 7, 1, true
get, 7, 0, 7, true
get, 9, 8, 1, true
get, 10, 2, 8, true
get, 2, 1, 1, true
get, 8, 1, 7, true
get, 8, 6, 1, true
get, 1, 1, 0, true
get, 8, 3, 5, true
get, 8, 0, 1, true
get, 11, 4, 7, true
get, 9, 2, 7, true
get, 4, 3, 1, true
get, 17, 16, 1, true
get, 9, 8, 1, true
get, 8, 7, 1, true
get, 17, 7, 10, true
get, 1, 1, 0, true
get, 1, 1, 0, true
get, 36, 0, 36, true
get, 0, 0, 0, true
set, 1, 0, 1, true
get, 11, 2, 9, true
get, 2, 1, 1, true
get, 11, 0, 11, true
get, 8, 8, 0, true
get, 28, 18, 10, true
get, 13, 5, 8, true
get, 7, 6, 1, true
get, 6, 5, 1, true
get, 6, 5, 1, true
get, 14, 6, 8, true
get, 10, 0, 10, true
get, 6, 5, 1, true
get, 9, 0, 9, true
get, 5, 3, 2, true
get, 6, 5, 1, true
get, 19, 9, 10, true
get, 24, 19, 5, true
set, 21, 1, 19, true
get, 8, 1, 7, true
get, 1, 0, 1, true
get, 10, 6, 4, true
get, 2, 1, 0, true
get, 9, 1, 8, true
get, 8, 7, 1, true
get, 14, 7, 7, true
get, 4, 0, 4, true
get, 9, 6, 3, true
get, 5, 4, 1, true
get, 1, 0, 1, true
get, 7, 3, 4, true
get, 9, 8, 0, true
get, 15, 5, 10, true
get, 9, 6, 3, true
get, 20, 8, 12, true
get, 8, 0, 8, true
get, 10, 2, 8, true
get, 1, 0, 1, true
get, 1, 1, 0, true
set, 8, 0, 8, true
get, 8, 6, 2, true
get, 0, 0, 0, true
get, 11, 1, 10, true
get, 14, 4, 10, true
get, 1, 0, 1, true
get, 15, 5, 10, true
get, 24, 4, 20, true
get, 10, 10, 0, true
get, 15, 6, 9, true
get, 10, 3, 7, true
get, 10, 1, 9, true
get, 13, 3, 10, true
get, 10, 0, 10, true
get, 1, 0, 1, true
get, 15, 5, 10, true
get, 8, 0, 8, true
get, 31, 30, 1, true
set, 1, 0, 1, true
get, 2, 1, 1, true
get, 12, 1, 11, true
get, 2, 0, 2, true
get, 1, 0, 1, true
get, 15, 5, 10, true
get, 2, 1, 1, true
get, 2, 1, 1, true
get, 1, 0, 1, true
get, 9, 1, 8, true
get, 1, 0, 1, true
get, 9, 8, 1, true
get, 7, 0, 7, true
get, 11, 1, 10, true
get, 1, 1, 0, true
get, 8, 0, 8, true
get, 9, 5, 4, true
get, 3, 2, 1, true
get, 10, 0, 10, true
get, 1, 0, 1, true
get, 7, 0, 7, true
get, 8, 2, 6, true
get, 14, 9, 5, true
get, 7, 6, 1, true
set, 42, 12, 30, true
get, 1, 0, 1, true
get, 8, 6, 2, true
get, 16, 7, 9, true
get, 9, 7, 2, true
get, 8, 5, 3, true
get, 10, 1, 9, true
get, 0, 0, 0, true
get, 7, 0, 7, true
get, 32, 23, 9, true
get, 1, 1, 0, true
get, 9, 0, 9, true
get, 12, 10, 2, true
