Op, T_total, T_queue, T_server, Success
set, 37, 5, 1, true
set, 2, 0, 2, true
set, 3, 2, 1, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 8, 6, 2, true
set, 8, 6, 2, true
set, 5, 4, 1, true
set, 5, 4, 1, true
set, 5, 3, 2, true
set, 6, 4, 2, true
set, 5, 4, 1, true
set, 17, 8, 8, true
set, 7, 5, 2, true
set, 8, 5, 2, true
set, 9, 7, 2, true
set, 6, 4, 2, true
set, 3, 3, 0, true
set, 2, 0, 2, true
set, 2, 0, 1, true
set, 2, 1, 1, true
set, 6, 4, 1, true
set, 17, 7, 10, true
set, 75, 65, 9, true
set, 14, 5, 9, true
set, 8, 6, 2, true
set, 13, 4, 8, true
set, 9, 0, 9, true
set, 9, 7, 2, true
set, 8, 7, 1, true
set, 9, 8, 1, true
set, 18, 12, 6, true
set, 14, 2, 11, true
set, 10, 2, 7, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 2, 1, 0, true
set, 12, 4, 8, true
set, 8, 0, 7, true
set, 1, 0, 1, true
set, 0, 0, 0, true
set, 8, 7, 1, true
set, 16, 6, 9, true
set, 8, 7, 1, true
set, 9, 7, 2, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 8, 0, 7, true
set, 1, 0, 1, true
set, 9, 7, 2, true
set, 8, 0, 8, true
set, 9, 1, 7, true
set, 9, 0, 8, true
set, 1, 0, 1, true
set, 11, 6, 5, true
set, 8, 0, 8, true
set, 24, 5, 19, true
set, 1, 0, 1, true
set, 14, 0, 13, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 2, 0, 2, true
set, 14, 5, 9, true
set, 1, 0, 1, true
set, 23, 4, 19, true
set, 15, 5, 10, true
set, 1, 0, 1, true
set, 14, 2, 12, true
set, 9, 3, 6, true
set, 9, 7, 2, true
set, 25, 0, 25, true
set, 37, 7, 19, true
set, 2, 0, 1, true
set, 37, 36, 1, true
set, 10, 0, 10, true
set, 7, 0, 0, true
set, 1, 0, 0, true
set, 23, 2, 21, true
set, 1, 0, 1, true
set, 2, 1, 1, true
set, 7, 0, 7, true
set, 12, 2, 10, true
set, 11, 2, 9, true
set, 2, 1, 0, true
set, 8, 6, 1, true
set, 0, 0, 0, true
set, 19, 18, 1, true
set, 40, 32, 8, true
set, 15, 5, 10, true
set, 2, 0, 2, true
set, 9, 7, 2, true
set, 12, 2, 10, true
set, 11, 2, 9, true
set, 11, 2, 9, true
set, 12, 2, 10, true
set, 10, 0, 9, true
set, 11, 2, 9, true
set, 9, 0, 9, true
set, 12, 3, 9, true
set, 11, 1, 10, true
set, 9, 0, 9, true
set, 13, 3, 10, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 12, 2, 10, true
set, 11, 0, 10, true
set, 1, 0, 1, true
set, 16, 7, 2, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 9, 4, 4, true
set, 2, 0, 2, true
set, 24, 5, 18, true
set, 16, 6, 9, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 9, 0, 9, true
set, 2, 1, 1, true
set, 19, 3, 16, true
set, 12, 2, 10, true
set, 16, 6, 10, true
set, 15, 5, 9, true
set, 8, 0, 8, true
set, 15, 7, 8, true
set, 9, 0, 2, true
set, 16, 1, 15, true
set, 9, 6, 3, true
set, 8, 7, 1, true
set, 1, 0, 1, true
set, 8, 6, 2, true
set, 2, 1, 1, true
set, 11, 3, 8, true
set, 8, 7, 1, true
set, 10, 2, 8, true
set, 9, 7, 2, true
set, 1, 0, 1, true
set, 16, 6, 9, true
set, 192, 2, 190, true
set, 24, 6, 17, true
set, 223, 5, 218, true
set, 4, 2, 2, true
set, 9, 0, 9, true
set, 11, 0, 11, true
set, 1, 0, 1, true
set, 1, 0, 0, true
set, 1, 0, 1, true
set, 10, 0, 10, true
set, 3, 1, 2, true
set, 3, 1, 2, true
set, 2, 0, 1, true
set, 4, 3, 1, true
set, 2, 2, 0, true
set, 3, 1, 2, true
set, 0, 0, 0, true
set, 8, 7, 1, true
set, 2, 1, 1, true
set, 2, 0, 2, true
set, 1, 0, 1, true
set, 6, 4, 1, true
set, 6, 5, 1, true
set, 11, 4, 7, true
set, 8, 1, 7, true
set, 7, 0, 7, true
set, 2, 0, 2, true
set, 5, 3, 2, true
set, 4, 3, 1, true
set, 3, 1, 2, true
set, 5, 5, 0, true
set, 1, 0, 1, true
set, 4, 2, 2, true
set, 3, 0, 2, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 5, 4, 1, true
set, 1, 0, 1, true
set, 4, 3, 1, true
set, 9, 0, 9, true
set, 4, 3, 1, true
set, 4, 2, 2, true
set, 4, 2, 2, true
set, 8, 0, 8, true
set, 4, 4, 0, true
set, 17, 7, 10, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 5, 0, 5, true
set, 32, 0, 31, true
set, 8, 1, 7, true
set, 8, 0, 8, true
set, 9, 0, 8, true
set, 8, 0, 8, true
set, 2, 1, 1, true
set, 2, 2, 0, true
set, 2, 1, 0, true
set, 5, 3, 2, true
set, 7, 0, 7, true
set, 18, 8, 10, true
set, 2, 0, 2, true
set, 1, 0, 1, true
set, 3, 2, 1, true
set, 3, 2, 1, true
set, 7, 6, 1, true
set, 7, 0, 7, true
set, 7, 0, 7, true
set, 7, 0, 7, true
set, 6, 5, 1, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 16, 6, 10, true
set, 6, 4, 2, true
set, 2, 0, 1, true
set, 25, 1, 23, true
set, 7, 6, 1, true
set, 3, 1, 2, true
set, 8, 0, 8, true
set, 6, 5, 1, true
set, 5, 4, 1, true
set, 2, 1, 1, true
set, 6, 5, 1, true
set, 4, 3, 1, true
set, 13, 4, 9, true
set, 8, 0, 8, true
set, 6, 5, 1, true
set, 3, 2, 1, true
set, 9, 0, 8, true
set, 2, 1, 1, true
set, 4, 2, 2, true
set, 4, 3, 1, true
set, 4, 3, 0, true
set, 4, 3, 1, true
set, 2, 1, 1, true
set, 5, 3, 2, true
set, 3, 1, 2, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 8, 0, 8, true
set, 8, 7, 1, true
set, 6, 5, 1, true
set, 0, 0, 0, true
set, 7, 5, 2, true
set, 7, 5, 2, true
set, 6, 6, 0, true
set, 9, 0, 9, true
set, 6, 6, 0, true
set, 1, 0, 1, true
set, 8, 7, 1, true
set, 13, 4, 9, true
set, 7, 6, 1, true
set, 3, 2, 0, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 7, 6, 1, true
set, 1, 0, 1, true
set, 2, 0, 2, true
set, 2, 1, 1, true
set, 2, 0, 2, true
set, 8, 0, 8, true
set, 17, 7, 10, true
set, 14, 4, 10, true
set, 4, 2, 2, true
set, 10, 7, 3, true
set, 12, 3, 9, true
set, 4, 3, 1, true
set, 3, 2, 1, true
set, 2, 1, 1, true
set, 13, 3, 10, true
set, 0, 0, 0, true
set, 12, 0, 12, true
set, 5, 4, 1, true
set, 14, 4, 10, true
