Op, T_total, T_queue, T_server, Success
set, 39, 26, 13, true
set, 1, 0, 1, true
set, 9, 0, 8, true
set, 10, 1, 9, true
set, 1, 0, 1, true
set, 1, 0, 0, true
set, 14, 5, 9, true
set, 1, 0, 1, true
set, 8, 1, 7, true
set, 14, 3, 11, true
set, 14, 4, 10, true
set, 11, 2, 9, true
set, 11, 1, 9, true
set, 9, 7, 2, true
set, 11, 1, 9, true
set, 15, 5, 10, true
set, 14, 5, 9, true
set, 7, 0, 7, true
set, 6, 4, 1, true
set, 20, 6, 14, true
set, 16, 3, 13, true
set, 15, 5, 9, true
set, 8, 1, 7, true
set, 1, 0, 0, true
set, 0, 0, 0, true
set, 11, 2, 9, true
set, 13, 3, 9, true
set, 13, 4, 9, true
set, 1, 0, 1, true
set, 5, 4, 0, true
set, 32, 24, 7, true
set, 9, 0, 9, true
set, 2, 1, 0, true
set, 1, 0, 1, true
set, 12, 2, 9, true
set, 10, 1, 9, true
set, 9, 0, 9, true
set, 21, 2, 19, true
set, 15, 5, 10, true
set, 2, 1, 0, true
set, 14, 4, 9, true
set, 12, 3, 9, true
set, 13, 3, 10, true
set, 14, 5, 9, true
set, 9, 7, 2, true
set, 8, 7, 1, true
set, 15, 3, 11, true
set, 2, 1, 1, true
set, 16, 6, 9, true
set, 0, 0, 0, true
set, 15, 6, 9, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 2, 0, 2, true
set, 2, 1, 1, true
set, 13, 3, 9, true
set, 3, 2, 1, true
set, 14, 5, 9, true
set, 1, 0, 0, true
set, 1, 0, 0, true
set, 1, 0, 1, true
set, 11, 1, 7, true
set, 0, 0, 0, true
set, 8, 7, 0, true
set, 1, 0, 1, true
set, 6, 2, 3, true
set, 2, 0, 2, true
set, 1, 0, 1, true
set, 10, 1, 9, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 3, 0, 3, true
set, 5, 4, 1, true
set, 7, 0, 7, true
set, 10, 0, 10, true
set, 8, 0, 1, true
set, 4, 4, 0, true
set, 7, 0, 7, true
set, 3, 1, 2, true
set, 0, 0, 0, true
set, 8, 0, 8, true
set, 56, 7, 49, true
set, 2, 1, 1, true
set, 4, 3, 1, true
set, 7, 5, 2, true
set, 7, 5, 2, true
set, 7, 5, 2, true
set, 9, 0, 9, true
set, 1, 0, 1, true
set, 15, 6, 9, true
set, 23, 3, 20, true
set, 15, 6, 9, true
set, 15, 5, 10, true
set, 12, 3, 9, true
set, 15, 5, 10, true
set, 83, 5, 78, true
set, 2, 1, 1, true
set, 4, 3, 1, true
set, 2, 1, 1, true
set, 11, 1, 10, true
set, 12, 3, 9, true
set, 20, 1, 19, true
set, 21, 2, 19, true
set, 1, 0, 1, true
set, 11, 3, 8, true
set, 1, 0, 1, true
set, 15, 6, 9, true
set, 24, 5, 19, true
set, 10, 6, 4, true
set, 1, 0, 1, true
set, 1, 0, 1, true
set, 15, 6, 9, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 8, 0, 8, true
set, 7, 0, 7, true
set, 15, 1, 14, true
set, 3, 2, 1, true
set, 1, 0, 1, true
set, 16, 7, 9, true
set, 9, 0, 9, true
set, 8, 0, 8, true
set, 2, 1, 1, true
set, 8, 0, 7, true
set, 1, 0, 1, true
set, 12, 0, 12, true
set, 16, 0, 16, true
set, 8, 0, 1, true
set, 22, 4, 18, true
set, 15, 6, 8, true
set, 8, 0, 8, true
set, 1, 0, 1, true
set, 14, 6, 8, true
set, 1, 0, 1, true
set, 14, 6, 8, true
set, 11, 1, 10, true
set, 1, 0, 1, true
set, 14, 2, 12, true
set, 21, 4, 17, true
set, 8, 0, 8, true
set, 0, 0, 0, true
set, 13, 0, 12, true
set, 9, 1, 8, true
set, 1, 0, 1, true
set, 3, 1, 2, true
set, 1, 1, 0, true
set, 2, 1, 1, true
set, 1, 0, 1, true
set, 14, 4, 10, true
set, 15, 0, 15, true
set, 30, 6, 8, true
set, 59, 4, 46, true
set, 218, 0, 208, true
set, 98, 88, 10, true
set, 50, 39, 10, true
set, 14, 3, 11, true
set, 14, 5, 9, true
set, 13, 3, 10, true
set, 6, 4, 2, true
set, 16, 6, 10, true
set, 3, 2, 1, true
set, 9, 0, 9, true
set, 1, 0, 1, true
set, 2, 0, 1, true
set, 1, 0, 1, true
set, 3, 1, 2, true
set, 9, 0, 9, true
set, 2, 0, 2, true
set, 17, 0, 17, true
set, 17, 7, 10, true
set, 21, 7, 14, true
set, 1, 0, 1, true
set, 2, 0, 2, true
set, 17, 1, 16, true
set, 14, 0, 14, true
set, 10, 1, 2, true
set, 7, 0, 7, true
set, 2, 1, 1, true
set, 8, 0, 8, true
set, 10, 0, 10, true
set, 17, 6, 11, true
set, 6, 0, 6, true
set, 10, 1, 9, true
set, 1, 0, 1, true
set, 23, 5, 18, true
set, 16, 6, 9, true
set, 12, 3, 8, true
set, 6, 4, 2, true
set, 7, 0, 7, true
set, 6, 4, 2, true
set, 1, 0, 1, true
set, 84, 4, 80, true
set, 7, 6, 1, true
set, 12, 3, 9, true
set, 7, 5, 2, true
set, 2, 0, 2, true
set, 8, 6, 2, true
set, 8, 0, 8, true
set, 1, 0, 1, true
