Time (sec), Avg. Resp. Time (us), StDev (us)
20,10754.333333333334,17862.27666666667
40,12582.0,15833.01
60,12484.333333333334,17674.92
80,12325.333333333334,13382.826666666666
100,12135.666666666666,9851.843333333332
120,12716.0,10282.656666666668
140,12942.0,12701.019999999999
160,14436.333333333334,34463.82
180,13098.333333333334,13250.07
200,12391.333333333334,12881.520000000002
220,13276.0,14079.776666666667
240,12337.0,19547.05
260,12634.0,20855.713333333333
280,12459.333333333334,16855.946666666667
300,12698.666666666666,14136.846666666666
320,12468.666666666666,11408.513333333334
340,12369.0,9578.693333333333
360,12707.0,12971.356666666667
380,13367.0,13366.286666666667
400,12831.666666666666,10079.256666666666
420,12860.333333333334,13770.206666666665
440,12673.0,14569.643333333333
460,12830.666666666666,16169.539999999999
480,12525.0,12375.966666666667
500,13196.0,11190.376666666665
520,13051.666666666666,10991.043333333335
540,12565.0,12300.676666666666
560,12496.0,11075.893333333333
580,12800.0,9264.933333333334
600,12062.0,10109.083333333334
620,12060.333333333334,12124.29
640,12109.333333333334,11956.936666666666
660,12195.333333333334,11598.089999999998
680,12937.333333333334,20436.726666666666
700,12953.333333333334,16226.510000000002
720,12555.0,10798.19
740,12680.333333333334,14140.156666666668
760,12566.333333333334,14512.483333333332
780,12427.333333333334,10955.633333333333
800,12433.333333333334,12125.206666666665
820,12555.333333333334,15022.126666666669
840,12959.666666666666,15280.453333333333
860,12370.333333333334,13906.993333333332
880,12155.333333333334,11901.54
900,12674.0,14216.19
920,12638.333333333334,12014.146666666667
940,12668.666666666666,12789.586666666668
960,12356.666666666666,9407.826666666666
980,12424.0,10110.97
1000,12174.333333333334,11633.01
1020,12657.0,11074.4
1040,12531.0,10991.273333333333
1060,12485.333333333334,10867.300000000001
1080,12708.0,15512.903333333334
1100,12773.0,39222.450000000004
1120,12684.0,12247.736666666666
1140,12870.333333333334,12912.99
1160,12681.0,13068.14
1180,12339.333333333334,11813.336666666668
1200,12726.333333333334,16262.4
1220,12484.333333333334,14018.5
1240,12743.0,14615.546666666667
1260,12248.0,10381.053333333333
1280,12844.0,20173.31
1300,12204.333333333334,15303.753333333334
1320,13072.0,24117.543333333335
1340,12462.666666666666,18560.846666666668
1360,12888.666666666666,14551.383333333333
1380,12221.0,11863.583333333334
1400,13088.0,14492.663333333332
1420,13698.666666666666,21878.686666666665
1440,13282.0,15519.26333333333
1460,13018.666666666666,30232.12
1480,12830.0,16483.53
1500,12361.0,13099.503333333332
1520,12024.0,9130.916666666666
1540,12372.0,11012.486666666666
1560,12500.0,10412.533333333335
1580,12845.333333333334,12571.046666666667
1600,12700.333333333334,12387.92
1620,12326.333333333334,11517.75
1640,12688.666666666666,11920.57
1660,13031.666666666666,13919.203333333333
1680,12866.333333333334,12977.043333333335
1700,13070.333333333334,15144.696666666669
1720,12397.333333333334,12092.51
1740,11994.666666666666,8974.026666666667
1760,12843.333333333334,22661.416666666668
1780,11911.333333333334,13089.253333333334
1800,11853.333333333334,11657.583333333334
1820,13171.666666666666,32021.64333333333
1840,12223.333333333334,19391.346666666668
1860,13353.333333333334,23429.49666666667
1880,13623.333333333334,27203.12
1900,12946.333333333334,15670.296666666667
1920,12859.0,16017.0
1940,13419.0,19840.899999999998
1960,13101.0,17036.556666666667
1980,14054.666666666666,38488.83666666666
2000,13407.333333333334,18432.17
2020,12947.0,13353.029999999999
2040,14688.666666666666,40742.74333333334
2060,13383.666666666666,43800.78333333333
2080,12505.666666666666,22971.353333333333
2100,13032.666666666666,15384.75
2120,12497.0,12089.019999999999
2140,12871.333333333334,14046.803333333335
2160,13245.666666666666,15995.956666666667
2180,12837.666666666666,12595.666666666666
2200,13199.333333333334,16926.75333333333
2220,13554.666666666666,18383.47333333333
2240,12925.0,15868.966666666667
2260,13038.666666666666,13675.88
2280,12813.666666666666,15751.186666666666
2300,12964.666666666666,24639.666666666668
2320,12717.0,13175.093333333332
2340,13052.0,15970.68
2360,13152.333333333334,19591.11
2380,13365.666666666666,32116.926666666666
2400,13053.333333333334,20154.84
2420,14013.666666666666,27454.273333333334
2440,13921.0,26257.39333333333
2460,12632.0,11729.576666666668
2480,12632.333333333334,14261.949999999999
