Time (sec), TPS (ops/sec)
20,18949.0
40,15325.0
60,15443.0
80,15643.0
100,15882.0
120,15135.0
140,14928.0
160,13354.0
180,14724.0
200,15570.0
220,14511.0
240,15634.0
260,15227.0
280,15494.0
300,15184.0
320,15450.0
340,15588.0
360,15160.0
380,14429.0
400,15025.0
420,14940.0
440,15268.0
460,15034.0
480,15404.0
500,14630.0
520,14769.0
540,15376.0
560,15429.0
580,15061.0
600,15980.0
620,15974.0
640,15929.0
660,15785.0
680,14931.0
700,14881.0
720,15359.0
740,15205.0
760,15337.0
780,15511.0
800,15501.0
820,15352.0
840,14871.0
860,15596.0
880,15856.0
900,15206.0
920,15264.0
940,15221.0
960,15597.0
980,15515.0
1000,15842.0
1020,15243.0
1040,15414.0
1060,15451.0
1080,15186.0
1100,15105.0
1120,15214.0
1140,14975.0
1160,15200.0
1180,15617.0
1200,15152.0
1220,15442.0
1240,15122.0
1260,15744.0
1280,15011.0
1300,15790.0
1320,14745.0
1340,15482.0
1360,14955.0
1380,15767.0
1400,14728.0
1420,14081.0
1440,14536.0
1460,14803.0
1480,15031.0
1500,15604.0
1520,16030.0
1540,15569.0
1560,15423.0
1580,15008.0
1600,15177.0
1620,15644.0
1640,15186.0
1660,14801.0
1680,14978.0
1700,14752.0
1720,15592.0
1740,16092.0
1760,15025.0
1780,16198.0
1800,16278.0
1820,14644.0
1840,15773.0
1860,14407.0
1880,14190.0
1900,14908.0
1920,14951.0
1940,14401.0
1960,14709.0
1980,13716.0
2000,14377.0
2020,14889.0
2040,13158.0
2060,14419.0
2080,15418.0
2100,14801.0
2120,15426.0
2140,14983.0
2160,14558.0
2180,15034.0
2200,14626.0
2220,14204.0
2240,14995.0
2260,14822.0
2280,14696.0
2300,15252.0
2320,15176.0
2340,14769.0
2360,14649.0
2380,14287.0
2400,14909.0
2420,13765.0
2440,13870.0
2460,15248.0
2480,15264.0
2500,15629.0
2520,15471.0
2540,15633.0
2560,15251.0
2580,14745.0
2600,14559.0
2620,15095.0
2640,15313.0
2660,15728.0
2680,15484.0
2700,14681.0
2720,15194.0
2740,15532.0
2760,14302.0
2780,15892.0
2800,15241.0
2820,14221.0
2840,14665.0
2860,13941.0
2880,14862.0
2900,15020.0
2920,15646.0
2940,15643.0
2960,16066.0
2980,15835.0
3000,14737.0
3020,15225.0
3040,14495.0
3060,15486.0
3080,14863.0
3100,15030.0
3120,14982.0
3140,14440.0
3160,14662.0
3180,15329.0
3200,14950.0
3220,14164.0
3240,12753.0
3260,14873.0
3280,15059.0
3300,15825.0
3320,15673.0
3340,12491.0
3360,14282.0
3380,15676.0
3400,15025.0
3420,14520.0
3440,13913.0
3460,14950.0
3480,15143.0
3500,15425.0
3520,15847.0
3540,15639.0
3560,15584.0
3580,14659.0
3600,14552.0
