Time (sec), TPS(ops/sec)
1,15062.0
2,15618.0
3,17312.0
4,16908.0
5,16747.0
6,16332.0
7,16734.0
8,17467.0
9,17157.0
10,19244.0
11,18090.0
12,17152.0
13,17215.0
14,17880.0
15,16868.0
16,17628.0
17,17489.0
18,17178.0
19,16239.0
20,16709.0
21,17563.0
22,18342.0
23,18612.0
24,17098.0
25,17311.0
26,16721.0
27,16206.0
28,16708.0
29,17552.0
30,18629.0
31,17797.0
32,17752.0
33,17084.0
34,16937.0
35,14917.0
36,16027.0
37,16038.0
38,16395.0
39,17003.0
40,17102.0
41,17540.0
42,17069.0
43,17712.0
44,16900.0
45,17287.0
46,17668.0
47,17847.0
48,17327.0
49,17397.0
50,17205.0
51,15563.0
52,14308.0
53,15001.0
54,16979.0
55,17173.0
56,18307.0
57,18516.0
58,18033.0
59,17473.0
60,18377.0
61,17397.0
62,16165.0
63,16435.0
64,16434.0
65,14800.0
66,15755.0
67,17079.0
68,17600.0
69,16861.0
70,16714.0
71,15714.0
72,16515.0
73,16855.0
74,17920.0
75,15807.0
76,15981.0
77,17398.0
78,17578.0
79,17161.0
80,17986.0
81,18220.0
82,19479.0
83,17398.0
84,17459.0
85,17230.0
86,17395.0
87,17506.0
88,16897.0
89,16387.0
90,16790.0
91,18280.0
92,18274.0
93,18379.0
94,17034.0
95,17295.0
96,17733.0
97,18131.0
98,18203.0
99,16790.0
100,16487.0
101,16600.0
102,17917.0
103,17347.0
104,16820.0
105,16828.0
106,18005.0
107,19645.0
108,19033.0
109,17567.0
110,17466.0
111,17894.0
112,18168.0
113,17613.0
114,17317.0
115,17190.0
116,17123.0
117,17194.0
118,17089.0
119,17092.0
120,17035.0
121,17016.0
122,16430.0
123,16915.0
124,16691.0
125,16035.0
126,15815.0
127,16259.0
128,16366.0
129,17451.0
130,17506.0
131,17354.0
132,16653.0
133,16836.0
134,16718.0
135,17320.0
136,17016.0
137,16235.0
138,16740.0
139,16502.0
140,17956.0
141,17603.0
142,17848.0
143,17429.0
144,16998.0
145,16079.0
146,15962.0
147,14411.0
148,15280.0
149,15713.0
150,16070.0
151,16217.0
152,15612.0
153,16796.0
154,16932.0
155,16650.0
156,16617.0
157,16326.0
158,17845.0
159,16600.0
160,16946.0
161,16318.0
162,17252.0
163,17517.0
164,17002.0
165,17469.0
166,17300.0
167,16949.0
168,15789.0
169,14751.0
170,15842.0
171,16556.0
172,17630.0
173,17026.0
174,17042.0
175,17030.0
176,17319.0
177,16624.0
178,14778.0
179,14510.0
180,14357.0
181,15068.0
182,15438.0
183,16394.0
184,16814.0
185,16770.0
186,16127.0
187,16435.0
188,16745.0
189,15564.0
190,15651.0
191,16017.0
192,17388.0
193,17027.0
194,16900.0
195,16686.0
196,16080.0
197,16578.0
198,16524.0
199,16398.0
200,16638.0
201,16554.0
202,17634.0
203,17355.0
204,17370.0
205,16829.0
206,16684.0
207,15528.0
208,16636.0
209,14833.0
210,15462.0
211,15328.0
212,16830.0
213,16700.0
214,16246.0
215,16818.0
216,17016.0
217,16424.0
218,16085.0
219,15216.0
220,15913.0
221,16521.0
222,15810.0
223,16039.0
224,15906.0
225,17082.0
226,16710.0
227,16507.0
228,16266.0
229,15838.0
230,14911.0
231,13984.0
