nr. clients,Avg. Response Time (us),Standard deviation (us)
4,478.6,405.558
8,529.8,429.526
12,606.9,593.4150000000001
16,741.1,1010.824
20,913.6,1373.726
24,1053.1,1609.2440000000001
28,1166.3,1791.7369999999999
32,1275.3,1939.1719999999998
36,1373.8,2021.3110000000001
40,1450.1,2135.82
44,1552.0,2238.311
48,1630.8,2269.0190000000002
52,1726.8,2383.74
56,1817.3,2406.095
60,1914.4,2526.3689999999997
64,2004.5,2628.3460000000005
68,2145.7,2700.8650000000002
72,2210.0,2728.011
76,2316.7,2820.984
80,2402.3,2839.7340000000004
84,2531.9,3035.849
88,2608.0,2898.2619999999997
92,2739.0,3009.9610000000002
96,2834.9,3084.0699999999997
100,2924.3,3113.2960000000003
104,3045.2,3264.822
108,3141.6,3294.4900000000002
112,3254.7,3340.809
116,3357.6,3369.869
120,3461.5,3438.0389999999998
124,3567.7,3579.7049999999995
128,3667.5,3514.9100000000008
