nr. clients,Avg. Response Time (us),Standard deviation (us)
4,483.5,409.845
8,529.0,428.51
12,604.5,589.095
16,739.5,984.3599999999999
20,922.5,1430.505
24,1046.0,1618.08
28,1160.5,1784.76
32,1284.0,1923.5
36,1374.0,2048.56
40,1462.5,2143.1850000000004
44,1574.0,2326.08
48,1600.5,2201.24
52,1723.0,2323.065
56,1856.5,2483.02
60,1900.0,2500.115
64,1977.0,2586.085
68,2153.5,2732.02
72,2202.0,2626.755
76,2284.0,2717.0550000000003
80,2373.0,2743.925
84,2550.0,3034.3
88,2593.5,2874.4049999999997
92,2836.5,3076.3900000000003
96,2792.5,3087.125
100,2838.0,2972.535
104,2993.0,3119.63
108,3118.5,3442.85
112,3213.0,3292.12
116,3453.0,3576.9049999999997
120,3491.5,3556.2749999999996
124,3540.5,3648.065
128,3695.5,3548.0150000000003
