nr. clients,Standard deviation (us)
4,405.558
8,429.526
12,593.4150000000001
16,1010.824
20,1373.726
24,1609.2440000000001
28,1791.7369999999999
32,1939.1719999999998
36,2021.3110000000001
40,2135.82
44,2238.311
48,2269.0190000000002
52,2383.74
56,2406.095
60,2526.3689999999997
64,2628.3460000000005
68,2700.8650000000002
72,2728.011
76,2820.984
80,2839.7340000000004
84,3035.849
88,2898.2619999999997
92,3009.9610000000002
96,3084.0699999999997
100,3113.2960000000003
104,3264.822
108,3294.4900000000002
112,3340.809
116,3369.869
120,3438.0389999999998
124,3579.7049999999995
128,3514.9100000000008
