nr. clients,Standard deviation (us)
4,394.78499999999997
8,414.46500000000003
12,575.28
16,1006.6099999999999
20,1354.935
24,1595.0700000000002
28,1820.215
32,1930.7849999999999
36,2019.1950000000002
40,2143.125
44,2230.67
48,2290.19
52,2395.68
56,2420.7
60,2552.4300000000003
64,2657.8450000000003
68,2696.0299999999997
72,2788.7799999999997
76,2850.6
80,2965.02
84,2925.105
88,2928.61
92,2830.9
96,3073.87
100,2985.51
104,3596.51
108,3138.5550000000003
112,3338.7349999999997
116,3425.7200000000003
120,3410.005
124,3463.865
128,3563.54
