Time (sec), Avg. Response Time (us)
1,2839
2,3820
3,2823
4,2889
5,2930
6,2847
7,2958
8,2862
9,2990
10,2852
11,3117
12,3047
13,2894
14,3051
15,3045
16,3025
17,2983
18,2889
19,2888
20,2846
21,2898
22,2854
23,2897
24,2849
25,3077
26,2917
27,2931
28,3149
29,3222
30,3108
31,2965
32,2992
33,2914
34,3005
35,2955
36,3007
37,3036
38,2943
39,3445
40,2966
41,2874
42,2790
43,2960
44,2888
45,2931
46,2810
47,2968
48,2929
49,2889
50,3006
51,2907
52,2948
53,2816
54,2923
55,2877
56,2905
57,3273
58,2889
59,3098
60,3020
61,2945
62,2858
63,3047
64,2989
65,2908
66,2842
67,2921
68,2881
69,2838
70,2959
71,2867
72,3061
73,2940
74,2926
75,2906
76,2982
77,2896
78,2875
79,2838
80,2935
81,2893
82,2888
83,2859
84,2809
85,2904
86,3030
87,2827
88,3058
89,3094
90,2861
91,2892
92,2972
93,3092
94,3100
95,2907
96,2914
97,2964
98,2794
99,2992
100,3392
101,2979
102,2880
103,2915
104,2983
105,2921
106,2941
107,2931
108,2891
109,2904
110,3080
111,2856
112,3018
113,2942
114,2964
115,2902
116,3072
117,2989
118,2997
119,2944
120,3422
121,2899
122,2932
123,2939
124,2854
125,2827
126,2964
127,2889
128,2889
129,2910
130,2912
131,3127
132,3213
133,2947
134,3037
135,3014
136,3107
137,3148
138,2894
139,2957
140,2940
141,2997
142,3106
143,2877
144,2855
145,2974
146,2976
147,2851
148,2875
149,2903
150,3023
151,3051
152,2908
153,2980
154,2962
155,2915
156,2992
157,2968
158,2963
159,3017
160,3150
161,2973
162,2881
163,2890
164,3022
165,2917
166,2936
167,2998
168,2940
169,2932
170,2939
171,2935
172,2979
173,2949
174,2826
175,2944
176,3042
177,3049
178,3421
179,3058
180,2982
181,2952
182,2915
183,3017
184,2833
185,3309
186,3063
187,2940
188,2962
189,2913
190,2997
191,3094
192,3093
193,3020
194,3014
195,2982
196,2986
197,2927
198,2776
199,2884
200,2965
201,2910
202,2905
203,3770
204,2912
205,3388
206,3020
207,3127
208,3014
209,3010
210,3268
211,2950
212,2942
213,2975
214,2957
215,2929
216,3017
217,3150
218,2979
219,2960
220,3078
221,2920
222,2938
223,2981
224,3152
225,3010
226,3181
227,3091
228,3217
229,3038
230,3094
231,3041
232,2972
233,2955
234,2894
235,2904
236,2870
237,2977
238,2959
239,2964
240,2912
241,2928
242,2989
243,2950
244,2957
245,2908
246,2892
247,2887
248,2836
249,2834
250,2906
251,2941
252,2941
253,2948
254,2972
255,3047
256,2816
257,2971
258,2836
259,2960
260,3460
261,3075
262,3016
263,2854
264,2885
265,3165
266,2902
267,3102
268,3076
269,2897
270,2945
271,2952
272,3114
273,2951
274,2861
275,3229
276,3150
277,3056
278,2877
279,2880
280,3034
281,3008
282,2991
283,3374
284,3068
285,3089
286,3090
287,2976
288,3022
289,2934
290,3035
291,2964
292,3127
293,3361
294,3108
295,3007
296,3083
297,2990
298,3007
299,3114
300,2996
301,3017
302,2944
303,3020
304,3006
305,3010
306,3042
307,2851
308,3112
309,3002
310,2881
311,3025
312,2979
313,3123
314,3103
315,2964
316,3099
317,3017
318,2985
319,2947
320,3011
321,3134
322,2913
323,2958
324,3056
325,3066
326,3098
327,3304
328,3097
329,3150
330,2968
331,3015
332,3258
333,3033
334,3049
335,3187
336,2992
337,2828
338,3062
339,2869
340,2917
341,2889
342,2890
343,2964
344,2879
345,2836
346,2909
347,2936
348,2915
349,3004
350,3018
351,2876
352,2804
353,2907
354,2948
355,3089
356,2902
357,2907
358,2966
359,2921
360,3063
361,2977
362,3187
363,2876
364,2954
365,2860
366,2871
367,2819
368,2891
369,3024
370,2970
371,2957
372,3033
373,2984
374,3014
375,2876
376,2964
377,3038
378,2876
379,3013
380,3051
381,2902
382,2930
383,2934
384,2847
385,2932
386,2918
387,2940
388,2972
389,3086
390,2907
391,3027
392,3325
393,2962
394,2953
395,2858
396,2900
397,2924
398,2893
399,2927
400,2915
401,2970
402,2978
403,2998
404,2909
405,2942
406,2874
407,2851
408,2982
409,3001
410,2917
411,2893
412,2986
413,2879
414,2897
415,2976
416,3008
417,2977
418,3000
419,3100
420,2990
421,2984
422,2864
423,3061
424,3061
425,2889
426,2825
427,2902
428,2796
429,2879
430,2872
431,2925
432,3111
433,2894
434,3066
435,2966
436,2901
437,2857
438,2896
439,2955
440,3043
441,2796
442,2847
443,2947
444,3302
445,2878
446,2896
447,2782
448,2969
449,2767
450,2876
451,2788
452,2899
453,2838
454,2875
455,2935
456,2856
457,2964
458,2914
459,2909
460,3017
461,2927
462,2933
463,2859
464,3098
465,2838
466,2957
467,2786
468,2847
469,2872
470,2954
471,2820
472,2804
