Time (sec), Avg. Response Time (us), Standard deviation (us)
1,2839.0,3024.94
2,3820.0,3175.29
3,2823.0,3253.05
4,2889.0,3051.74
5,2930.0,3058.27
6,2847.0,3111.05
7,2958.0,3215.34
8,2862.0,3177.09
9,2990.0,3161.95
10,2852.0,3134.86
11,3117.0,3117.38
12,3047.0,3008.3
13,2894.0,3245.58
14,3051.0,3090.42
15,3045.0,3159.79
16,3025.0,3048.19
17,2983.0,3352.11
18,2889.0,3006.99
19,2888.0,4677.99
20,2846.0,10577.15
21,2898.0,3830.77
22,2854.0,3151.49
23,2897.0,3174.0
24,2849.0,3233.45
25,3077.0,3103.87
26,2917.0,3096.27
27,2931.0,3177.77
28,3149.0,3218.18
29,3222.0,3150.65
30,3108.0,3101.32
31,2965.0,3105.84
32,2992.0,3698.15
33,2914.0,3091.74
34,3005.0,3029.24
35,2955.0,3286.74
36,3007.0,3044.45
37,3036.0,3128.8
38,2943.0,3141.08
39,3445.0,3143.75
40,2966.0,3156.96
41,2874.0,3013.86
42,2790.0,3142.54
43,2960.0,5558.57
44,2888.0,4173.35
45,2931.0,5064.04
46,2810.0,3132.81
47,2968.0,3054.99
48,2929.0,3027.53
49,2889.0,3425.22
50,3006.0,3101.45
51,2907.0,3184.65
52,2948.0,3166.85
53,2816.0,3239.99
54,2923.0,3161.11
55,2877.0,3168.13
56,2905.0,3727.17
57,3273.0,3113.08
58,2889.0,3187.94
59,3098.0,3015.85
60,3020.0,3089.68
61,2945.0,3114.2
62,2858.0,3123.16
63,3047.0,3616.75
64,2989.0,3302.71
65,2908.0,3108.59
66,2842.0,3145.38
67,2921.0,3187.78
68,2881.0,3274.02
69,2838.0,3167.65
70,2959.0,3177.06
71,2867.0,3049.24
72,3061.0,3301.53
73,2940.0,3096.32
74,2926.0,3166.07
75,2906.0,3088.18
76,2982.0,3147.92
77,2896.0,3388.12
78,2875.0,3111.74
79,2838.0,3206.24
80,2935.0,3129.54
81,2893.0,3269.31
82,2888.0,3300.6
83,2859.0,3890.99
84,2809.0,3192.31
85,2904.0,3632.83
86,3030.0,3140.97
87,2827.0,3186.61
88,3058.0,3121.91
89,3094.0,3181.17
90,2861.0,3300.71
91,2892.0,3036.23
92,2972.0,3229.49
93,3092.0,2990.26
94,3100.0,3082.88
95,2907.0,3051.35
96,2914.0,3191.73
97,2964.0,3143.48
98,2794.0,3181.48
99,2992.0,3124.7
100,3392.0,3301.31
101,2979.0,3066.65
102,2880.0,3116.49
103,2915.0,3163.4
104,2983.0,3190.77
105,2921.0,3136.7
106,2941.0,3053.17
107,2931.0,3037.33
108,2891.0,3041.59
109,2904.0,4281.62
110,3080.0,3074.62
111,2856.0,3211.58
112,3018.0,3109.82
113,2942.0,3252.34
114,2964.0,3148.12
115,2902.0,3146.01
116,3072.0,3186.77
117,2989.0,3037.47
118,2997.0,3073.78
119,2944.0,3099.94
120,3422.0,3152.09
121,2899.0,3088.27
122,2932.0,3071.38
123,2939.0,3213.51
124,2854.0,3249.25
125,2827.0,3103.84
126,2964.0,3093.47
127,2889.0,3264.75
128,2889.0,3256.0
129,2910.0,3188.13
130,2912.0,3149.34
131,3127.0,3065.33
132,3213.0,3112.49
133,2947.0,3202.57
134,3037.0,3083.59
135,3014.0,3458.76
136,3107.0,3117.05
137,3148.0,3282.6
138,2894.0,3239.23
139,2957.0,3222.74
140,2940.0,3300.17
141,2997.0,3253.63
142,3106.0,3188.83
143,2877.0,3237.41
144,2855.0,3915.8
145,2974.0,3123.14
146,2976.0,3409.83
147,2851.0,6971.05
148,2875.0,3027.43
149,2903.0,3164.21
150,3023.0,3383.1
151,3051.0,3279.58
152,2908.0,4821.88
153,2980.0,3369.63
154,2962.0,3100.85
155,2915.0,3123.13
156,2992.0,3302.77
157,2968.0,3241.3
158,2963.0,3077.81
159,3017.0,3249.82
160,3150.0,3093.0
161,2973.0,3170.09
162,2881.0,3141.69
163,2890.0,3068.66
164,3022.0,3361.86
165,2917.0,3219.91
166,2936.0,3140.86
167,2998.0,3069.17
168,2940.0,3136.34
169,2932.0,3053.89
170,2939.0,3201.03
171,2935.0,3172.6
172,2979.0,3257.54
173,2949.0,5225.81
174,2826.0,3373.13
175,2944.0,3176.09
176,3042.0,3172.89
177,3049.0,3331.63
178,3421.0,3175.58
179,3058.0,3617.35
180,2982.0,3218.77
181,2952.0,3126.86
182,2915.0,3172.27
183,3017.0,3207.84
184,2833.0,3131.1
185,3309.0,3330.18
186,3063.0,3222.04
187,2940.0,3195.63
188,2962.0,3427.29
189,2913.0,3170.82
190,2997.0,3179.74
191,3094.0,3213.11
192,3093.0,3156.72
193,3020.0,3505.27
194,3014.0,3520.24
195,2982.0,3215.2
196,2986.0,3164.2
197,2927.0,3188.25
198,2776.0,3141.71
199,2884.0,3245.49
200,2965.0,3274.31
201,2910.0,3376.22
202,2905.0,3252.15
203,3770.0,3409.4
204,2912.0,3444.99
205,3388.0,3174.51
206,3020.0,3722.59
207,3127.0,3275.44
208,3014.0,3169.11
209,3010.0,3315.83
210,3268.0,3244.82
211,2950.0,3279.45
212,2942.0,3182.85
213,2975.0,3105.5
214,2957.0,3187.03
215,2929.0,3203.02
216,3017.0,3210.88
217,3150.0,6631.18
218,2979.0,3169.68
219,2960.0,3139.83
220,3078.0,3177.54
221,2920.0,3218.82
222,2938.0,3170.92
223,2981.0,3153.21
224,3152.0,3243.76
225,3010.0,3923.96
226,3181.0,3024.13
227,3091.0,3098.41
228,3217.0,3162.31
229,3038.0,3283.07
230,3094.0,3242.43
231,3041.0,4711.77
232,2972.0,3201.65
233,2955.0,3539.75
234,2894.0,3200.33
235,2904.0,3097.59
236,2870.0,3096.12
237,2977.0,3465.93
238,2959.0,3064.18
239,2964.0,3433.79
240,2912.0,3007.03
241,2928.0,3056.1
242,2989.0,3087.94
243,2950.0,3078.62
244,2957.0,3230.74
245,2908.0,3253.29
246,2892.0,3190.62
247,2887.0,3148.63
248,2836.0,3070.3
249,2834.0,3204.54
250,2906.0,3223.81
251,2941.0,3091.65
252,2941.0,3583.43
253,2948.0,3094.27
254,2972.0,3185.54
255,3047.0,3161.04
256,2816.0,3091.66
257,2971.0,3159.0
