Time (sec), TPS (ops/sec)
1,22531
2,16683
3,22630
4,22205
5,21989
6,22626
7,21684
8,22178
9,21382
10,22517
11,20456
12,21086
13,22038
14,21106
15,20991
16,21146
17,21483
18,22118
19,22041
20,22625
21,22030
22,22311
23,21954
24,22590
25,20801
26,21928
27,21896
28,20377
29,19869
30,20525
31,21555
32,21445
33,21837
34,21419
35,21638
36,21436
37,21093
38,21586
39,18584
40,21476
41,22307
42,23027
43,21673
44,22286
45,21871
46,22686
47,21842
48,21870
49,21902
50,21573
51,21890
52,21823
53,22676
54,21772
55,22334
56,22032
57,19681
58,22313
59,20762
60,21356
61,21772
62,22256
63,21129
64,21391
65,22227
66,22619
67,21874
68,22215
69,22677
70,21770
71,22235
72,21010
73,21832
74,22098
75,21950
76,21432
77,22244
78,22396
79,22511
80,21821
81,22023
82,22074
83,22407
84,22575
85,22027
86,21174
87,22585
88,20977
89,20745
90,22417
91,22031
92,21617
93,20592
94,20638
95,21968
96,22074
97,21623
98,22811
99,21354
100,18860
101,21469
102,22083
103,22110
104,21425
105,21875
106,21952
107,21848
108,22170
109,21973
110,20880
111,22383
112,21350
113,21695
114,21671
115,22107
116,20663
117,21572
118,21266
119,21837
120,18752
121,21982
122,21947
123,21740
124,22370
125,22699
126,21594
127,22103
128,22180
129,21863
130,22010
131,20588
132,19883
133,21693
134,21024
135,21344
136,20596
137,20310
138,21989
139,21757
140,21680
141,21305
142,20663
143,22182
144,22512
145,21494
146,21481
147,22410
148,22193
149,22148
150,21100
151,21012
152,21801
153,21438
154,21412
155,21971
156,21516
157,21538
158,21687
159,21189
160,20314
161,21211
162,22337
163,21823
164,21357
165,22136
166,21724
167,21349
168,21813
169,21802
170,21755
171,21691
172,21435
173,21707
174,22712
175,21793
176,21109
177,20903
178,18678
179,21048
180,21486
181,21622
182,21948
183,21225
184,22540
185,19375
186,20957
187,21736
188,21647
189,21991
190,21290
191,20737
192,20727
193,21140
194,21442
195,21495
196,21269
197,21827
198,23201
199,22195
200,21454
201,22135
202,22025
203,17002
204,21934
205,18907
206,21281
207,20417
208,21315
209,21382
210,19511
211,21663
212,21860
213,21269
214,21734
215,21809
216,21264
217,20342
218,21347
219,21524
220,20918
221,22017
222,21785
223,21487
224,20245
225,21372
226,19979
227,20695
228,19946
229,21030
230,20652
231,21096
232,21465
233,21602
234,22153
235,21828
236,22399
237,21472
238,21644
239,21462
240,21952
241,21880
242,21568
243,21583
244,21640
245,22164
246,21975
247,22176
248,22719
249,22470
250,22073
251,21897
252,21796
253,21674
254,21543
255,20983
256,22634
257,21645
258,22558
259,21601
260,18429
261,20852
262,21255
263,22429
264,21999
265,20317
266,22176
267,20596
268,20883
269,22030
270,21679
271,21696
272,20602
273,21714
274,22390
275,19962
276,20273
277,20995
278,22232
279,22290
280,21112
281,21195
282,21384
283,18842
284,20847
285,20809
286,20790
287,21435
288,21271
289,21769
290,21193
291,21460
292,20367
293,19077
294,20648
295,21414
296,20766
297,21464
298,21049
299,20654
300,21343
301,21301
302,21742
303,21047
304,21436
305,21198
306,21135
307,22297
308,20663
309,21348
310,22127
311,21182
312,21594
313,20417
314,20725
315,21583
316,20571
317,21268
318,21373
319,21795
320,21299
321,20465
322,21890
323,21472
324,20920
325,20893
326,20690
327,19299
328,20699
329,20276
330,21600
331,21084
332,19648
333,21044
334,21126
335,19997
336,21298
337,22595
338,20833
339,22463
340,21877
341,22223
342,22157
343,21715
344,22245
345,22714
346,21817
347,21913
348,21984
349,21420
350,21125
351,22270
352,22812
353,22111
354,21653
355,20834
356,21939
357,22083
358,21615
359,21851
360,20767
361,21603
362,20007
363,22253
364,21752
365,22303
366,22208
367,22684
368,22118
369,21251
370,21578
371,21594
372,21057
373,21553
374,21085
375,22327
376,21614
377,21234
378,22136
379,21189
380,21023
381,21864
382,21910
383,21824
384,22547
385,21832
386,21722
387,22019
388,21491
389,20673
390,22017
391,21321
392,19294
393,21533
394,21814
395,22214
396,22251
397,21794
398,22131
399,21874
400,22093
401,21590
402,21447
403,21486
404,21908
405,21873
406,22185
407,22375
408,21416
409,21389
410,22002
411,22104
412,21442
413,22233
414,22128
415,21512
416,21288
417,21384
418,21390
419,20650
420,21335
421,21420
422,22417
423,20891
424,20910
425,22201
426,22653
427,21930
428,22960
429,22333
430,22326
431,21860
432,20632
433,22058
434,20877
435,21679
436,22035
437,22446
438,22161
439,21564
440,21133
441,22804
442,22223
443,21402
444,19893
445,22216
446,22167
447,22929
448,21707
449,23092
450,22213
451,22935
452,22097
453,22615
454,22250
455,21752
456,22329
457,21578
458,22049
459,21948
460,21173
461,21899
462,21865
463,22458
464,20688
465,22375
466,21683
467,22959
468,22371
469,22161
470,21796
471,22691
472,22864
473,21777
474,22440
475,21031
476,21121
477,22005
478,21545
479,21409
480,21963
481,21829
482,21706
483,22883
484,22601
485,21043
486,22423
487,22005
488,21708
489,20843
490,20697
491,21210
492,20989
493,20481
494,20777
495,21015
496,20252
497,21923
498,16216
499,20882
500,21052
501,22812
502,21689
503,22517
504,21953
505,22199
506,21122
507,21742
508,19308
509,21874
510,21761
511,21828
512,21785
513,21977
514,17491
515,21844
516,22080
517,21989
518,21507
519,20739
520,22657
521,21750
522,21826
523,21595
524,21595
525,22063
526,22216
527,22800
528,21766
529,21905
530,21262
531,22610
532,22061
533,22006
534,22254
535,21316
536,22780
537,21850
538,21347
539,20312
540,20092
