Time (sec), Avg. Response Time (us), Standard deviation (us)
1,6628.0,1016.9266666666666
2,6653.0,1154.69
3,6667.333333333333,1148.01
4,6740.666666666667,1502.9866666666667
5,6644.333333333333,1191.1466666666665
6,6685.333333333333,1847.91
7,6693.0,1796.1899999999998
8,6701.333333333333,2074.46
9,6720.0,1895.37
10,6739.0,1702.42
11,6666.333333333333,1255.7933333333333
12,6689.666666666667,1180.3266666666666
13,6640.333333333333,1440.4599999999998
14,6700.666666666667,1638.2099999999998
15,6676.333333333333,1490.14
16,6613.0,1153.2666666666667
17,6626.333333333333,1309.6200000000001
18,6646.666666666667,1444.3133333333335
19,6654.666666666667,1487.8
20,6637.0,1218.35
21,6610.666666666667,859.7066666666666
22,6604.0,1241.7466666666667
23,6622.0,1817.1566666666668
24,6627.333333333333,1780.993333333333
25,6690.0,1825.9033333333334
26,6660.666666666667,1226.7699999999998
27,6673.666666666667,1269.2633333333333
28,6668.333333333333,1317.5433333333333
29,6674.0,1462.4833333333336
30,6640.333333333333,1582.3533333333332
31,6621.333333333333,1389.0966666666666
32,6678.0,1651.0633333333333
33,6630.0,1548.1033333333332
34,6648.0,1907.2266666666667
35,6658.333333333333,1901.5566666666666
36,6664.666666666667,1590.5366666666669
37,6659.0,1063.17
38,6617.666666666667,835.3633333333333
39,6606.0,873.3733333333333
40,6584.666666666667,882.98
41,6597.666666666667,928.61
42,6607.333333333333,1109.3966666666665
43,6636.333333333333,1358.9933333333336
44,6642.0,1330.8533333333335
45,6617.666666666667,1105.783333333333
46,6597.666666666667,835.4366666666666
47,6617.666666666667,917.3933333333334
48,6676.333333333333,1271.0333333333333
49,6704.666666666667,1340.91
50,6723.0,1720.75
51,6594.333333333333,1203.05
52,6595.0,1526.0633333333335
53,6592.0,1139.2333333333333
54,6587.666666666667,1309.0366666666666
55,6607.0,1559.2466666666667
56,6616.333333333333,1995.63
57,6668.0,2485.8566666666666
58,6662.666666666667,2471.853333333333
59,6666.0,2122.38
60,6666.0,1863.8766666666668
61,6647.333333333333,1317.1066666666668
62,6640.333333333333,1280.4033333333334
63,6616.333333333333,1104.8066666666666
64,6607.333333333333,1122.7133333333334
65,6581.333333333333,880.84
66,6584.666666666667,875.43
67,6580.666666666667,855.5433333333334
68,6617.666666666667,906.5333333333333
69,6605.666666666667,1040.6266666666668
70,6615.333333333333,988.2566666666668
71,6614.666666666667,1190.7766666666666
72,6622.666666666667,1232.3033333333333
73,6625.666666666667,1179.5333333333335
74,6626.333333333333,1026.36
75,6594.666666666667,887.44
76,6578.333333333333,1165.8733333333332
77,6578.333333333333,1590.21
78,6624.333333333333,2015.58
79,6711.666666666667,2354.443333333333
80,6720.0,2193.7166666666667
81,6695.666666666667,1711.9133333333332
82,6655.333333333333,1402.42
83,6611.666666666667,1144.6966666666667
84,6591.0,1097.8066666666666
85,6552.0,1129.2666666666667
86,6541.666666666667,851.2866666666667
87,6546.333333333333,850.5300000000001
88,6608.666666666667,1107.2300000000002
89,6624.333333333333,1097.45
90,6612.333333333333,1133.2466666666667
91,6551.333333333333,1150.6966666666667
92,6636.666666666667,1471.8066666666666
93,6643.666666666667,1930.6266666666663
94,6689.666666666667,2199.48
95,6721.333333333333,2542.9500000000003
96,6672.333333333333,2478.9066666666663
97,6678.666666666667,2356.036666666667
98,6752.666666666667,2286.5699999999997
99,6737.0,1777.8533333333332
100,6753.0,1561.83
101,6656.333333333333,1073.8366666666666
102,6660.333333333333,1330.5233333333333
103,6631.0,1754.6066666666666
104,6676.0,1824.93
