Time (sec), Avg. Response Time (us), Standard deviation (us)
1,6650.0,879.22
2,6768.0,1661.38
3,6649.0,875.14
4,6789.0,1878.17
5,6651.0,1297.57
6,6605.0,2282.3
7,6696.0,1440.59
8,6753.0,2277.61
9,6699.0,1876.52
10,6661.0,810.17
11,6602.0,815.77
12,6825.0,1963.94
13,6608.0,1850.55
14,6655.0,1053.87
15,6619.0,1185.55
16,6578.0,1180.3
17,6711.0,1741.28
18,6662.0,1668.39
19,6578.0,866.79
20,6629.0,869.6
21,6638.0,858.89
22,6582.0,1974.87
23,6647.0,2886.05
24,6676.0,1033.47
25,6624.0,910.54
26,6620.0,923.28
27,6807.0,2011.41
28,6616.0,1200.12
29,6574.0,1021.12
30,6681.0,2478.68
31,6623.0,828.57
32,6660.0,1242.35
33,6640.0,2148.73
34,6610.0,2396.06
35,6610.0,1122.54
36,6636.0,800.69
37,6671.0,885.11
38,6591.0,890.48
39,6595.0,852.7
40,6578.0,899.2
41,6625.0,1014.1
42,6671.0,1473.6
43,6667.0,1597.49
44,6618.0,880.12
45,6580.0,878.22
46,6593.0,804.07
47,6684.0,1056.35
48,6837.0,2154.51
49,6608.0,889.81
50,6617.0,1929.78
51,6616.0,971.36
52,6553.0,1601.18
53,6632.0,855.44
54,6570.0,1402.23
55,6626.0,2370.88
56,6623.0,2416.72
57,6587.0,2426.77
58,6639.0,2436.48
59,6664.0,1329.95
60,6615.0,1402.25
61,6617.0,853.3
62,6657.0,1552.6
63,6598.0,935.71
64,6594.0,883.39
65,6590.0,836.48
66,6587.0,907.87
67,6602.0,843.4
68,6690.0,957.63
69,6565.0,1346.47
70,6614.0,926.24
71,6639.0,1237.55
72,6626.0,1284.14
73,6628.0,995.12
74,6618.0,881.14
75,6549.0,815.52
76,6580.0,1614.74
77,6615.0,2448.11
78,6662.0,2147.22
79,6759.0,2125.72
80,6635.0,2138.74
81,6635.0,836.6
82,6610.0,828.61
83,6568.0,1579.88
84,6567.0,872.0
85,6529.0,880.84
86,6571.0,849.49
87,6555.0,847.8
88,6696.0,1554.68
89,6597.0,852.12
90,6512.0,903.6
91,6577.0,1689.12
92,6811.0,1796.68
93,6632.0,2548.97
94,6615.0,2431.39
95,6653.0,2441.11
96,6647.0,2448.14
97,6637.0,2065.32
98,6873.0,2230.37
99,6639.0,925.84
100,6666.0,1060.52
101,6660.0,877.86
102,6669.0,2119.43
103,6615.0,2471.46
104,6745.0,1003.96
105,6694.0,825.56
106,6607.0,832.91
107,6690.0,1667.83
108,6643.0,860.72
109,6564.0,868.72
110,6629.0,816.64
111,6680.0,838.81
112,6637.0,894.99
113,6707.0,1502.26
114,6637.0,813.14
115,6615.0,862.97
116,6636.0,2211.74
117,6676.0,905.33
118,6701.0,881.57
119,6702.0,890.21
120,6676.0,846.06
121,6721.0,852.01
122,6712.0,846.48
123,6700.0,905.76
124,6687.0,862.55
125,6667.0,843.85
126,6712.0,851.62
127,6600.0,2281.61
128,6846.0,2440.79
129,6573.0,2635.63
130,6712.0,1594.05
131,6666.0,921.11
132,6659.0,1604.69
133,6840.0,2663.08
134,6602.0,2454.42
135,6642.0,2328.26
136,6699.0,1120.65
137,6673.0,1835.37
138,6894.0,1383.37
139,6712.0,871.14
140,6670.0,837.2
141,6696.0,863.86
142,6777.0,1287.86
143,6587.0,2566.58
144,6603.0,2512.95
145,6672.0,1980.42
146,6706.0,886.8
147,6747.0,876.28
148,6657.0,776.66
149,6643.0,1788.64
150,6590.0,2519.18
151,6689.0,1326.99
152,6761.0,1459.48
