Time (sec), TPS (ops/sec)
1,28988
2,28900
3,28799
4,28473
5,28891
6,28763
7,28765
8,28647
9,28640
10,28594
11,28912
12,28808
13,28998
14,28688
15,28756
16,29024
17,28987
18,28888
19,28864
20,28979
21,29102
22,29065
23,28981
24,28982
25,28729
26,28856
27,28811
28,28831
29,28769
30,28937
31,29056
32,28815
33,28993
34,28889
35,28908
36,28853
37,28845
38,29021
39,29106
40,29181
41,29117
42,29092
43,28936
44,28908
45,29048
46,29122
47,28991
48,28779
49,28720
50,28666
51,29246
52,29197
53,29158
54,29137
55,29083
56,29087
57,28851
58,28904
59,28852
60,28864
61,28934
62,28946
63,29103
64,29137
65,29208
66,29213
67,29235
68,29046
69,29095
70,29027
71,29056
72,29055
73,29056
74,29073
75,29164
76,29264
77,29238
78,29049
79,28650
80,28590
81,28690
82,28915
83,29122
84,29214
85,29422
86,29473
87,29393
88,29140
89,29017
90,29089
91,29338
92,28934
93,28907
94,28692
95,28609
96,28769
97,28758
98,28464
99,28523
100,28487
101,28925
102,28876
103,29021
104,28826
105,28660
106,28785
107,28901
108,28942
109,29084
110,29068
111,29077
112,28950
113,28778
114,28844
115,28957
116,29068
117,28974
118,28776
119,28805
120,28814
121,28723
122,28733
123,28711
124,28770
125,28790
126,28766
127,28930
128,28698
129,28805
130,28570
131,28791
132,28808
133,28637
134,28622
135,28533
136,28788
137,28792
138,28539
139,28476
140,28519
141,28706
142,28646
143,28852
144,28843
145,28875
146,28834
147,28611
148,28718
149,28827
150,28970
151,28964
152,28632
153,28693
154,28662
155,28563
156,28599
157,28646
158,28745
159,28922
160,28961
161,28793
162,28405
163,28694
164,28398
165,28557
166,28339
167,28204
168,28311
169,28384
170,28882
171,28914
172,28803
173,28644
174,28358
175,28158
176,28499
177,28589
178,28541
179,28506
180,28348
181,28480
182,28419
183,28681
184,28763
185,29086
186,29105
187,28939
188,28685
189,28534
190,28660
191,29064
192,28831
193,28945
194,28674
195,28946
196,28856
197,29061
198,28915
199,28657
200,28629
201,28814
202,28993
203,28873
204,28866
205,29242
206,29238
207,29149
208,28943
209,28958
210,29060
211,29201
212,29254
213,29147
214,28902
215,28899
216,29075
217,28970
218,28645
219,28740
220,29180
221,29259
222,29061
223,28994
224,29003
225,29076
226,29098
227,29035
228,28961
229,28917
230,29200
231,29059
232,28807
233,28898
234,29111
235,29067
236,28970
237,29031
238,28832
239,28484
240,28641
241,28583
242,29008
243,29111
244,29224
245,29272
246,29246
247,29178
248,29124
249,29085
250,28925
251,28800
252,28728
253,28825
254,29046
255,29266
256,29212
257,29054
258,28948
259,28864
260,29110
261,29129
262,28918
263,28808
264,28782
265,28469
266,28527
267,28408
268,28362
269,28607
270,28721
271,28918
272,28803
273,28867
274,28740
275,28795
276,28480
277,28526
278,28709
279,28866
280,29070
281,29030
282,29093
283,29018
284,28743
285,28832
286,28869
287,28982
288,28929
289,29028
290,29043
291,29289
292,29368
293,29169
294,29160
295,28966
296,28967
297,28928
298,29182
299,28997
300,29007
301,29234
302,28815
303,28906
304,28894
305,29221
306,29213
307,29206
308,29013
309,28771
310,28749
311,28864
312,29274
313,29084
314,28944
315,29041
316,28993
317,28882
318,28532
319,28528
320,28706
321,29050
322,28608
323,28400
324,28646
325,29171
326,29372
327,29157
328,29129
329,29151
330,29101
331,29056
332,28790
333,28799
334,28785
335,28897
336,28990
337,28796
338,28569
339,28617
340,28798
341,29020
342,29119
343,29139
344,28950
345,29027
346,28915
347,28780
348,28979
349,29108
350,29000
351,29232
352,29079
353,28574
354,28241
355,28207
356,28518
357,28443
358,28975
359,28855
360,29202
361,29375
362,29254
363,29097
364,28897
365,28741
366,29099
367,29096
368,28915
369,28747
370,28799
371,28808
372,28884
373,28824
374,28941
375,28972
376,28969
377,28761
378,28757
379,28638
380,28847
381,28396
382,28638
383,28733
384,29012
385,28883
386,28958
387,29011
388,28968
389,28819
390,28874
391,28899
392,28689
393,28563
394,28718
395,29041
396,29225
397,29299
398,29279
399,29377
400,29346
401,28994
402,28709
403,28527
404,28625
405,29236
406,29048
407,29010
408,28807
409,28893
410,28844
411,29017
412,28627
413,28501
414,28633
415,28833
416,28903
417,28735
418,28637
419,28458
420,28524
421,28940
422,29549
423,29666
424,29767
425,29872
426,29966
427,29635
428,29662
429,29109
430,28968
431,28860
432,29007
433,29469
434,29405
435,29730
436,29637
437,29440
438,29546
439,29472
440,29520
441,29538
442,29396
443,29448
444,29354
445,29330
446,28885
447,28531
448,28615
449,28847
450,28444
451,28524
452,28926
453,29494
454,29278
455,28885
456,28063
457,27881
458,27968
459,28316
460,28573
461,29054
462,29374
463,29256
464,29562
465,29572
466,29595
467,29461
468,29257
469,29065
470,29280
471,29563
472,29442
473,29354
474,29485
475,29230
476,29274
477,29227
478,29321
479,28985
480,28438
481,28249
482,28364
483,28827
484,28826
485,28836
486,28666
487,28234
488,28403
489,28437
490,28761
491,28347
492,28387
493,28472
494,28721
495,28543
496,28611
497,28888
498,29129
499,29244
500,29314
501,29272
502,29347
503,29117
504,28797
505,28703
506,28339
507,28488
508,28629
509,29327
510,29797
511,29406
512,29255
513,29094
514,29425
515,29826
516,29586
517,29057
518,28434
519,27887
520,27362
521,27792
522,27943
523,28602
524,29215
525,29443
526,29321
527,29232
528,29522
529,29330
530,28881
531,28754
532,28668
533,29247
534,29438
535,29693
536,29515
537,29159
538,29141
539,28865
540,29489
541,29091
542,29155
543,29207
544,29122
545,29494
546,29404
547,29486
548,29268
549,29077
550,29026
551,29276
552,29200
553,28939
554,29041
555,29384
556,29694
557,29021
558,28317
559,27581
560,27498
561,28183
562,28660
563,29418
564,29605
565,29808
566,29666
567,29073
568,28635
569,27976
570,28179
571,28706
572,29194
573,29511
574,29569
575,29223
576,29103
577,28996
578,29251
579,29001
580,28862
581,28808
582,28958
583,28897
584,28441
585,28640
586,29081
587,29194
588,28487
589,27916
590,27561
591,28109
592,28232
593,29025
594,29135
595,28751
596,28992
597,28295
598,28427
599,28791
600,28934
601,29330
602,29350
603,29088
604,29274
605,29564
606,29362
607,29191
608,28762
609,28642
610,29214
611,29053
612,29121
613,29028
614,29129
615,29060
616,29013
617,28759
618,28771
619,28630
620,29234
621,29048
622,28992
623,28781
624,28813
625,28973
626,29077
627,29179
628,29108
629,29111
630,29131
631,29115
632,29142
633,29224
634,29181
635,29217
636,28995
637,29122
638,29101
639,29290
640,29200
641,28756
642,28722
643,28313
644,28503
645,28502
646,28693
647,28632
648,28585
649,28608
650,28613
651,28684
652,28591
653,28677
654,28806
655,29178
