Time (sec), TPS (ops/sec)
1,9771
2,9662
3,9528
4,9618
5,9598
6,9518
7,9734
8,9593
9,9514
10,9592
11,9678
12,9721
13,9551
14,9577
15,9629
16,9694
17,9772
18,9551
19,9659
20,9762
21,9702
22,9670
23,9706
24,9785
25,9511
26,9696
27,9744
28,9430
29,9664
30,9751
31,9665
32,9664
33,9666
34,9593
35,9707
36,9671
37,9622
38,9665
39,9742
40,9703
41,9762
42,9734
43,9649
44,9678
45,9694
46,9710
47,9728
48,9673
49,9323
50,9750
51,9785
52,9742
53,9807
54,9679
55,9758
56,9682
57,9662
58,9713
59,9752
60,9635
61,9698
62,9689
63,9692
64,9759
65,9755
66,9785
67,9778
68,9716
69,9615
70,9763
71,9681
72,9735
73,9720
74,9696
75,9707
76,9823
77,9781
78,9695
79,9679
80,9444
81,9657
82,9703
83,9657
84,9788
85,9842
86,9847
87,9797
88,9765
89,9567
90,9718
91,9861
92,9713
93,9622
94,9465
95,9661
96,9679
97,9651
98,9658
99,9346
100,9628
101,9704
102,9616
103,9711
104,9740
105,9548
106,9591
107,9735
108,9549
109,9712
110,9728
111,9700
112,9610
113,9645
114,9593
115,9731
116,9713
117,9702
118,9626
119,9643
120,9596
121,9592
122,9574
123,9568
124,9634
125,9579
126,9626
127,9573
128,9798
129,9426
130,9764
131,9634
132,9674
133,9631
134,9411
135,9679
136,9742
137,9562
138,9674
139,9348
140,9562
141,9582
142,9609
143,9517
144,9668
145,9757
146,9687
147,9548
148,9560
149,9612
150,9667
151,9790
152,9592
153,9561
154,9605
155,9512
156,9642
157,9554
158,9546
159,9655
160,9781
161,9622
162,9550
163,9404
164,9754
165,9428
166,9641
167,9501
168,9200
169,9706
170,9597
171,9823
172,9572
173,9627
174,9493
175,9352
176,9592
177,9414
178,9764
179,9600
180,9415
181,9543
182,9644
183,9412
184,9728
185,9697
186,9709
187,9726
188,9593
189,9475
190,9639
191,9705
192,9789
193,9488
194,9749
195,9569
196,9703
197,9726
198,9744
199,9422
200,9647
201,9714
202,9681
203,9553
204,9751
205,9689
206,9820
207,9769
208,9529
209,9716
210,9766
211,9746
212,9790
213,9789
214,9576
215,9675
216,9894
217,9595
218,9482
219,9676
220,9782
221,9770
222,9748
223,9653
224,9632
225,9724
226,9771
227,9738
228,9487
229,9805
230,9742
231,9717
232,9635
233,9708
234,9748
235,9600
236,9772
237,9734
238,9538
239,9732
240,9398
241,9670
242,9664
243,9710
244,9713
245,9817
246,9725
247,9758
248,9778
249,9712
250,9689
251,9610
252,9646
253,9563
254,9793
255,9741
256,9776
257,9727
258,9575
259,9654
260,9765
261,9712
262,9689
263,9604
264,9613
265,9605
266,9524
267,9376
268,9697
269,9477
270,9673
271,9725
272,9635
273,9577
274,9681
275,9557
276,9582
277,9569
278,9560
279,9663
280,9698
281,9700
282,9712
283,9611
284,9723
285,9685
286,9693
287,9595
288,9759
289,9629
290,9720
291,9889
292,9784
293,9756
294,9702
295,9722
296,9650
297,9798
298,9684
299,9713
300,9750
301,9662
302,9786
303,9423
304,9765
305,9759
306,9805
307,9754
308,9673
309,9780
310,9476
311,9827
312,9787
313,9665
314,9718
315,9793
316,9637
317,9685
318,9572
319,9383
320,9709
321,9738
322,9646
323,9294
324,9698
325,9800
326,9773
327,9791
328,9681
329,9767
330,9742
331,9681
332,9725
333,9501
334,9590
335,9730
336,9680
337,9679
338,9570
339,9576
340,9603
341,9726
342,9828
343,9576
344,9788
345,9691
346,9621
347,9640
348,9716
349,9669
350,9789
351,9802
352,9714
353,9612
354,9261
355,9577
356,9501
357,9555
358,9696
359,9651
360,9814
361,9852
362,9815
363,9725
364,9605
365,9677
366,9766
367,9744
368,9685
369,9609
370,9610
371,9643
372,9707
373,9574
374,9697
375,9688
376,9707
377,9633
378,9634
379,9736
380,9648
381,9496
382,9433
383,9793
384,9631
385,9630
386,9715
387,9678
388,9719
389,9721
390,9645
391,9726
392,9594
393,9490
394,9682
395,9753
396,9782
397,9791
398,9711
399,9899
400,9804
401,9774
402,9619
403,9271
404,9798
405,9760
406,9733
407,9606
408,9671
409,9574
410,9702
411,9709
412,9577
413,9484
414,9589
415,9744
416,9639
417,9613
418,9705
419,9562
420,9343
421,9825
422,9897
423,9911
424,9854
425,10050
426,9972
427,10019
428,9742
429,9919
430,9509
431,9622
432,9813
433,9671
434,9975
435,9889
436,9877
437,9921
438,9759
439,9828
440,9916
441,9845
442,9864
443,9727
444,9924
445,9896
446,9602
447,9348
448,9699
449,9807
450,9419
451,9348
452,9831
453,9840
454,9941
455,9631
456,9222
457,9287
458,9508
459,9294
460,9551
461,9979
462,9658
463,9770
464,9905
465,9894
466,9797
467,10037
468,9672
469,9583
470,9948
471,9866
472,9836
473,9840
474,9722
475,9926
476,9628
477,9817
478,9856
479,9671
480,9549
481,9233
482,9614
483,9652
484,9632
485,9637
486,9594
487,9587
488,9234
489,9719
490,9486
491,9590
492,9377
493,9644
494,9546
495,9619
496,9520
497,9721
498,9676
499,9742
500,9861
501,9741
502,9811
503,9782
504,9672
505,9407
506,9660
507,9327
508,9510
509,9926
510,9910
511,9955
512,9637
513,9594
514,9977
515,9998
516,9867
517,9807
518,9431
519,9289
520,9218
521,9143
522,9407
523,9417
524,9952
525,9898
526,9630
527,9834
528,9815
529,9908
530,9680
531,9371
532,9707
533,9711
534,9916
535,9902
536,9910
537,9777
538,9443
539,9936
540,9742
541,9682
542,9796
543,9678
544,9817
545,9816
546,9766
547,9911
548,9809
549,9620
550,9660
551,9895
552,9769
553,9610
554,9580
555,9948
556,9912
557,9902
558,9267
559,9107
560,9282
561,9224
562,9723
563,9814
564,9935
565,10006
566,9862
567,9880
568,9421
569,9275
570,9371
571,9609
572,9899
573,9690
574,9991
575,9841
576,9393
577,9933
578,9708
579,9794
580,9519
581,9578
582,9849
583,9569
584,9497
585,9370
586,9928
587,9884
588,9483
589,9151
590,9233
591,9301
592,9610
593,9554
594,9894
595,9853
596,9359
597,9430
598,9611
599,9385
600,9768
601,9903
602,9810
603,9621
604,9772
605,9998
606,9839
607,9780
608,9352
609,9664
610,9715
611,9797
612,9661
613,9711
614,9766
615,9685
616,9605
