Time (10 x sec), Avg. Response Time (us)
1,11897.333333333334
2,11444.0
3,11518.333333333334
4,11285.333333333334
5,11956.0
6,11401.666666666666
7,11541.333333333334
8,11427.0
9,11460.0
10,11307.0
11,11800.666666666666
12,12392.333333333334
13,11369.0
14,11996.0
15,12176.333333333334
16,12600.333333333334
17,12068.666666666666
18,12095.333333333334
19,12549.0
20,11237.333333333334
21,11413.333333333334
22,10894.666666666666
23,11991.0
24,11502.0
25,11066.666666666666
26,12894.666666666666
27,12378.666666666666
28,11166.666666666666
29,11953.0
30,12430.0
31,11797.0
32,10945.333333333334
33,11625.0
34,11760.666666666666
35,11681.666666666666
36,10752.666666666666
37,11636.0
38,13448.0
39,11319.666666666666
40,11730.333333333334
41,11293.333333333334
42,10826.666666666666
43,11542.0
44,11720.666666666666
45,11646.333333333334
46,11453.0
47,11239.0
48,11648.333333333334
49,11614.333333333334
50,11746.666666666666
51,11348.0
52,11763.333333333334
53,11862.0
54,11502.0
55,11024.0
56,11517.666666666666
57,11280.0
58,11807.0
59,11359.0
60,11458.666666666666
61,11902.333333333334
62,11457.333333333334
63,11559.666666666666
64,12094.0
65,11954.333333333334
66,12056.333333333334
67,11432.333333333334
68,11554.333333333334
69,12015.0
70,11937.666666666666
71,10990.0
72,11854.0
73,11721.0
74,11057.0
75,10972.0
76,11970.333333333334
77,11579.666666666666
78,11512.666666666666
79,12207.0
80,11596.666666666666
81,12159.333333333334
82,12093.333333333334
83,11063.0
84,11733.666666666666
85,11987.333333333334
86,11188.666666666666
87,11938.666666666666
88,11586.666666666666
89,11610.0
90,11311.333333333334
91,11607.666666666666
92,11095.333333333334
93,11518.0
94,11929.666666666666
95,12123.333333333334
96,11908.666666666666
97,11693.333333333334
98,13887.333333333334
99,11252.666666666666
100,11449.0
101,11173.0
102,11853.666666666666
103,12210.333333333334
104,11852.0
105,11798.333333333334
106,11641.666666666666
107,11282.333333333334
108,11483.666666666666
109,12036.0
110,11022.666666666666
111,11443.333333333334
112,12297.666666666666
113,11745.666666666666
114,11875.666666666666
115,12477.0
116,11803.0
117,12508.0
118,12134.333333333334
119,11961.666666666666
120,11908.0
121,11267.0
122,11865.333333333334
123,11458.333333333334
124,11508.333333333334
125,12529.333333333334
126,12334.666666666666
127,12342.333333333334
128,12232.0
129,12804.0
130,11750.666666666666
131,12354.666666666666
132,11728.333333333334
133,11608.666666666666
134,13104.0
135,11770.333333333334
136,12192.333333333334
137,11934.0
138,11283.666666666666
139,11910.666666666666
140,12009.333333333334
141,12519.333333333334
142,12459.666666666666
143,12335.333333333334
144,11929.333333333334
145,12025.0
146,11244.666666666666
147,11458.666666666666
148,11459.0
149,11875.0
150,11577.666666666666
151,12491.0
152,11372.0
153,12124.666666666666
154,11905.666666666666
155,12315.666666666666
156,12833.666666666666
157,11807.666666666666
158,11490.333333333334
159,12485.666666666666
160,12193.333333333334
161,12103.666666666666
162,12134.666666666666
163,11755.666666666666
164,11060.333333333334
165,11603.0
166,12449.666666666666
167,11801.333333333334
168,12448.666666666666
169,12766.0
170,11970.666666666666
171,12016.333333333334
172,12456.333333333334
173,11654.333333333334
174,11519.0
175,12236.666666666666
176,11948.666666666666
177,12256.333333333334
178,12099.333333333334
179,12156.666666666666
180,12500.333333333334
181,12418.0
182,11331.333333333334
183,11587.0
184,12347.666666666666
185,11563.0
186,10933.666666666666
187,12131.333333333334
188,11897.0
189,11884.0
190,11311.666666666666
191,11741.333333333334
192,12192.333333333334
193,12459.333333333334
194,12510.333333333334
195,12792.0
196,11958.666666666666
197,12205.666666666666
198,12288.666666666666
199,11924.666666666666
200,11404.666666666666
201,11679.666666666666
202,12028.333333333334
203,13898.0
204,11998.0
205,11857.0
206,13358.0
207,12359.0
208,11298.666666666666
209,11946.333333333334
210,11445.0
211,11162.333333333334
212,12622.0
213,11984.333333333334
214,11776.0
215,12802.333333333334
216,11844.333333333334
217,11968.666666666666
218,11813.333333333334
219,11834.666666666666
220,11958.666666666666
221,12800.0
222,11952.333333333334
223,12826.333333333334
224,12252.333333333334
225,11661.333333333334
226,12178.333333333334
227,11334.666666666666
228,11992.333333333334
229,11732.666666666666
230,11995.0
231,12083.333333333334
232,11777.0
233,12669.333333333334
234,12641.333333333334
235,11756.666666666666
236,12703.0
237,12403.666666666666
238,12044.666666666666
239,12426.666666666666
240,11767.333333333334
241,11320.333333333334
242,12536.0
243,11354.333333333334
244,12151.666666666666
245,11283.333333333334
