Time (10 x sec), Avg. Response Time (us)
1,11811
2,11401
3,11309
4,11201
5,11750
6,11381
7,11403
8,11450
9,11318
10,11044
11,11823
12,12429
13,11226
14,12075
15,11968
16,12676
17,11831
18,11991
19,12431
20,11174
21,11212
22,10875
23,12171
24,11274
25,10899
26,13047
27,12065
28,10974
29,11716
30,12687
31,11266
32,10989
33,11525
34,11696
35,11398
36,10692
37,11649
38,13340
39,11162
40,11666
41,11148
42,10864
43,11504
44,11424
45,11682
46,11558
47,11075
48,11823
49,11609
50,11569
51,11447
52,11886
53,11621
54,11530
55,10923
56,11627
57,11339
58,11630
59,11379
60,11456
61,11873
62,11598
63,11489
64,12263
65,11939
66,11955
67,11347
68,11518
69,12000
70,11981
71,10929
72,12092
73,11429
74,11000
75,11085
76,12062
77,11345
78,11544
79,12584
80,11297
81,12237
82,12090
83,11005
84,11874
85,11938
86,11245
87,11948
88,11612
89,11507
90,11352
91,11558
92,11078
93,11611
94,11912
95,12137
96,12121
97,11570
98,13533
99,11197
100,11443
101,11212
102,11848
103,12309
104,11680
105,11879
106,11462
107,11289
108,11226
109,12017
110,11234
111,11190
112,12418
113,11783
114,12162
115,12262
116,12089
117,12125
118,12161
119,11791
120,12101
121,11135
122,11743
123,11541
124,11800
125,12110
126,12550
127,11974
128,12688
129,12595
130,11520
131,12409
132,11474
133,11978
134,12913
135,11695
136,12029
137,11756
138,11277
139,11910
140,11999
141,12725
142,12334
143,12094
144,11915
145,12070
146,11040
147,11512
148,11554
149,11767
150,11559
151,12368
152,11267
153,12683
154,11475
155,12179
156,12877
157,11700
158,11414
159,12693
160,11784
161,12461
162,11644
163,11617
164,11036
165,11940
166,12020
167,11875
168,12174
169,12756
170,12115
171,11806
172,12208
173,11663
174,11580
175,12278
176,11938
177,12245
178,11845
179,12283
180,12462
181,12431
182,11186
183,11668
184,12110
185,11409
186,11016
187,12335
188,11819
189,11956
190,11284
191,11597
192,12049
193,12645
194,12255
195,13163
196,11559
197,12433
198,12055
199,11665
200,11346
201,11721
202,11851
203,14296
204,11754
205,11860
206,13070
207,12361
208,11513
209,11649
210,11695
211,11001
212,13061
213,11587
214,11726
215,12920
216,11645
217,11858
218,12139
219,11586
220,11828
221,12892
222,11916
223,12897
224,12265
225,11579
226,12070
227,11177
228,12367
229,11434
230,12169
231,12072
232,11600
233,12622
234,12523
235,12047
236,12365
237,12765
238,12042
239,12146
240,11546
241,11345
242,12569
243,11305
244,12093
245,11317
246,12854
247,11728
248,11292
249,12063
250,13184
251,11875
252,11835
253,12154
254,11318
255,12950
256,12094
257,12421
258,12599
259,12100
260,12192
261,10987
262,11241
263,11610
264,11421
265,12056
266,11690
267,11877
268,12515
269,12193
270,12736
271,11886
272,12438
273,13061
274,11882
275,11766
276,12082
277,11485
278,11112
279,11203
280,12494
281,11983
282,11701
283,12049
284,11636
285,11224
286,11894
287,11674
288,11178
289,12573
290,12331
291,11784
292,11323
293,11535
294,11137
295,11839
296,12244
297,13006
298,12504
299,12916
300,11615
301,11532
302,11835
303,12697
304,11627
305,11683
306,12164
307,12545
308,11862
309,11727
310,12220
311,12434
312,11848
313,11674
314,12230
315,11295
316,11775
317,12078
318,11832
319,12142
320,12987
321,12790
322,12168
323,12787
324,12156
325,13016
326,11948
327,12367
328,12278
329,12886
330,11468
331,12408
332,11133
333,12208
334,12277
335,13188
336,12862
337,11765
338,12361
339,12058
340,11643
341,12586
342,11500
343,12646
344,13202
345,12348
346,12069
347,12043
348,11756
349,12124
350,12046
351,12185
352,12207
353,12308
354,11560
355,11744
356,12256
357,11780
358,11723
359,11226
360,11802
