Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
1,11951.0,13652.42
2,11319.0,10683.31
3,11536.0,12826.31
4,11380.0,10189.12
5,12042.0,11256.31
6,11375.0,8468.49
7,11591.0,9309.87
8,11444.0,13207.36
9,11471.0,9700.66
10,11405.0,10883.81
11,11647.0,11242.84
12,12237.0,14455.61
13,11513.0,9903.84
14,11849.0,12489.02
15,12318.0,14901.15
16,12592.0,16389.79
17,12167.0,13931.33
18,12124.0,12858.44
19,12625.0,15687.36
20,11272.0,11388.93
21,11526.0,9613.45
22,10868.0,7137.78
23,11882.0,12702.99
24,11587.0,10580.76
25,11145.0,8064.89
26,12677.0,24261.62
27,12611.0,15952.91
28,11166.0,9696.93
29,12172.0,11582.56
30,12227.0,15673.46
31,12128.0,14027.23
32,10870.0,9074.95
33,11697.0,11349.62
34,11765.0,10280.06
35,11793.0,10844.94
36,10754.0,7688.94
37,11613.0,11934.67
38,13568.0,21296.97
39,11499.0,12211.43
40,11726.0,19263.47
41,11436.0,11017.59
42,10794.0,7486.52
43,11520.0,11952.45
44,11790.0,13712.82
45,11578.0,12677.2
46,11355.0,11777.06
47,11257.0,9227.41
48,11350.0,11876.89
49,11669.0,15575.19
50,11806.0,12774.89
51,11208.0,8703.46
52,11630.0,9470.66
53,11900.0,13463.48
54,11510.0,10970.24
55,11037.0,8674.33
56,11466.0,10178.25
57,11305.0,9773.76
58,11795.0,13248.85
59,11378.0,8835.2
60,11398.0,12063.59
61,11850.0,17950.64
62,11187.0,10540.39
63,11755.0,12526.62
64,12045.0,13346.47
65,11874.0,11478.26
66,12106.0,12696.13
67,11418.0,8479.94
68,11481.0,11121.11
69,12021.0,14143.99
70,11877.0,10610.37
71,11006.0,9216.93
72,11703.0,14844.67
73,11768.0,14272.98
74,11081.0,10191.61
75,10976.0,8249.05
76,11774.0,17682.93
77,11670.0,12803.69
78,11480.0,11514.06
79,11839.0,14193.23
80,11746.0,13625.44
81,12046.0,17324.07
82,12060.0,14482.67
83,11074.0,7471.54
84,11589.0,12946.6
85,11970.0,15307.95
86,11127.0,9776.17
87,12017.0,20083.9
88,11516.0,11637.29
89,11613.0,11399.16
90,11265.0,11214.09
91,11540.0,16750.97
92,11120.0,8854.31
93,11398.0,9816.35
94,11858.0,18024.26
95,12123.0,13702.57
96,11658.0,14892.04
97,11842.0,13636.84
98,13919.0,43308.07
99,11261.0,13329.83
100,11392.0,14478.2
101,11044.0,10979.09
102,11870.0,13977.65
103,11954.0,18075.05
104,12027.0,13300.55
105,11679.0,14037.7
106,11581.0,9722.42
107,11399.0,13656.8
108,11578.0,11922.64
109,11998.0,13697.78
