Time (10 x sec), TPS (ops/sec)
1,16197
2,16889
3,16748
4,17070
5,16123
6,16905
7,16715
8,16895
9,16818
10,17089
11,16275
12,15580
13,16958
14,16087
15,15783
16,15350
17,15968
18,15940
19,15324
20,17201
21,16892
22,17680
23,16075
24,16755
25,17412
26,14951
27,15571
28,17244
29,16143
30,15500
31,16362
32,17585
33,16592
34,16379
35,16517
36,17868
37,16609
38,14330
39,16933
40,16529
41,17061
42,17794
43,16717
44,16455
45,16547
46,16822
47,17151
48,16476
49,16664
50,16407
51,16978
52,16387
53,16248
54,16751
55,17471
56,16744
57,17228
58,16372
59,16959
60,16819
61,16188
62,16811
63,16697
64,15949
65,16124
66,15979
67,16843
68,16700
69,16039
70,16139
71,17495
72,16243
73,16529
74,17426
75,17557
76,16098
77,16639
78,16729
79,15801
80,16630
81,15857
82,15918
83,17433
84,16434
85,16066
86,17227
87,16144
88,16629
89,16587
90,17049
91,16594
92,17372
93,16737
94,16156
95,15895
96,16144
97,16547
98,13878
99,17119
100,16841
101,17244
102,16207
103,15844
104,16306
105,16363
106,16553
107,17071
108,16840
109,16054
110,17505
111,16855
112,15699
113,16404
114,16260
115,15453
116,16285
117,15474
118,15886
119,16101
120,16199
121,17088
122,16254
123,16822
124,16761
125,15390
126,15635
127,15601
128,15765
129,15076
130,16409
131,15598
132,16434
133,16614
134,14636
135,16423
136,15835
137,16135
138,17094
139,16174
140,16053
141,15393
142,15470
143,15623
144,16157
145,15963
146,17194
147,16830
148,16821
149,16234
150,16594
151,15481
152,16957
153,15873
154,16236
155,15645
156,15021
157,16329
158,16691
159,15555
160,15839
161,15910
162,15916
163,16400
164,17411
165,16630
166,15492
167,16337
168,15454
169,15125
170,16098
171,16055
172,15477
173,16543
174,16753
175,15771
176,16144
177,15748
178,15959
179,15833
180,15425
181,15486
182,17032
183,16638
184,15622
185,16667
186,17627
187,15889
188,16201
189,16215
190,17030
191,16417
192,15798
193,15477
194,15421
195,15080
196,16124
197,15782
198,15699
199,16181
200,16997
201,16525
202,16024
203,13896
204,16119
205,16282
206,14451
207,15617
208,17076
209,16152
210,16877
211,17289
212,15295
213,16117
214,16382
215,15070
216,16296
217,16112
218,16334
219,16323
220,16140
221,15069
222,16167
223,15021
224,15770
225,16540
226,15842
227,17014
228,16108
229,16459
230,16090
231,15964
232,16366
233,15209
234,15250
235,16379
236,15193
237,15518
238,16032
239,15514
240,16378
241,17025
242,15373
243,16948
244,15887
245,17059
246,15771
247,15549
248,17034
249,15855
250,14684
251,16000
252,16770
253,15579
254,16984
255,15089
256,15657
257,15692
258,15151
259,15944
260,15412
261,17669
262,17241
263,16446
264,17222
265,15647
266,16664
267,15994
268,15320
269,15930
270,15004
271,16241
272,15345
273,14833
274,15952
275,16757
276,15559
277,16679
278,17026
279,17445
280,15450
281,15913
282,16460
283,15885
284,16482
285,16868
286,16176
287,16295
288,17212
289,15207
290,15673
291,16197
292,16569
293,16727
294,17084
295,16547
296,15350
297,15071
298,15426
299,15009
300,16092
301,16950
302,16398
303,14912
304,16343
305,16468
306,15791
307,15502
308,16022
309,16347
310,15833
311,15306
312,16166
313,16609
314,15809
315,16572
316,16310
317,16032
318,16682
319,15389
320,15071
321,15076
322,15586
323,15521
324,15260
325,15363
326,15457
327,15967
328,15332
329,15039
330,16958
331,15425
332,16893
333,15860
334,15736
335,14755
336,14761
337,16039
338,15830
339,15789
340,16227
341,15735
342,16304
343,15491
344,14534
345,15343
346,15736
347,15819
348,16314
349,15819
350,16082
351,15964
352,15421
353,15656
354,16562
355,16374
356,15690
357,16127
358,16640
359,16846
360,16829
