Time (10 x sec), TPS (ops/sec)
1,5435
2,5681
3,5692
4,5732
5,5466
6,5652
7,5649
8,5640
9,5681
10,5856
11,5443
12,5174
13,5722
14,5308
15,5330
16,5113
17,5429
18,5359
19,5164
20,5749
21,5732
22,5905
23,5278
24,5696
25,5891
26,4925
27,5325
28,5854
29,5483
30,5060
31,5706
32,5845
33,5576
34,5490
35,5636
36,5960
37,5557
38,4814
39,5660
40,5604
41,5762
42,5910
43,5585
44,5623
45,5496
46,5558
47,5801
48,5429
49,5540
50,5551
51,5613
52,5402
53,5524
54,5573
55,5880
56,5527
57,5613
58,5573
59,5643
60,5604
61,5410
62,5543
63,5592
64,5255
65,5383
66,5375
67,5641
68,5595
69,5354
70,5358
71,5823
72,5366
73,5618
74,5839
75,5796
76,5314
77,5674
78,5541
79,5126
80,5686
81,5247
82,5293
83,5861
84,5410
85,5377
86,5715
87,5374
88,5530
89,5583
90,5660
91,5551
92,5802
93,5534
94,5393
95,5292
96,5300
97,5550
98,4745
99,5735
100,5618
101,5729
102,5372
103,5304
104,5521
105,5431
106,5625
107,5713
108,5743
109,5367
110,5738
111,5747
112,5203
113,5477
114,5284
115,5244
116,5314
117,5309
118,5285
119,5449
120,5307
121,5756
122,5481
123,5564
124,5443
125,5293
126,5131
127,5363
128,5040
129,5123
130,5576
131,5177
132,5599
133,5361
134,4976
135,5490
136,5340
137,5463
138,5697
139,5393
140,5355
141,5046
142,5207
143,5311
144,5394
145,5313
146,5824
147,5580
148,5558
149,5461
150,5497
151,5244
152,5709
153,5065
154,5597
155,5274
156,4990
157,5490
158,5626
159,5059
160,5453
161,5157
162,5516
163,5530
164,5819
165,5379
166,5345
167,5412
168,5247
169,5065
170,5301
171,5456
172,5266
173,5508
174,5548
175,5231
176,5379
177,5247
178,5424
179,5228
180,5149
181,5174
182,5741
183,5506
184,5307
185,5627
186,5832
187,5210
188,5435
189,5370
190,5690
191,5542
192,5331
193,5079
194,5243
195,4878
196,5554
197,5173
198,5329
199,5524
200,5682
201,5502
202,5441
203,4512
204,5487
205,5439
206,4933
207,5220
208,5600
209,5535
210,5517
211,5863
212,4935
213,5568
214,5499
215,4990
216,5540
217,5438
218,5311
219,5565
220,5454
221,4998
222,5410
223,4998
224,5252
225,5548
226,5319
227,5735
228,5207
229,5617
230,5279
231,5320
232,5539
233,5086
234,5132
235,5318
236,5207
237,5035
238,5333
239,5289
240,5566
241,5659
242,5111
243,5660
244,5334
245,5646
246,5023
247,5475
248,5676
249,5339
250,4761
251,5529
252,5428
253,5287
254,5674
255,4962
256,5311
257,5171
258,5100
259,5224
260,5352
261,5845
262,5715
263,5531
264,5628
265,5325
266,5495
267,5406
268,5137
269,5268
270,5023
271,5429
272,5118
273,4947
274,5423
275,5459
276,5320
277,5610
278,5783
279,5734
280,5140
281,5337
282,5467
283,5377
284,5520
285,5725
286,5400
287,5501
288,5711
289,5141
290,5211
291,5449
292,5580
293,5663
294,5770
295,5427
296,5247
297,4935
298,5141
299,4898
300,5614
301,5553
302,5445
303,5063
304,5525
305,5508
306,5305
307,5141
308,5431
309,5505
310,5276
311,5187
312,5446
313,5522
314,5273
315,5714
316,5476
317,5340
318,5447
319,5313
320,4964
321,5045
322,5299
323,5043
324,5305
325,4955
326,5398
327,5205
328,5260
329,5006
330,5623
331,5184
332,5772
333,5259
334,5232
335,4873
336,4993
337,5455
338,5157
339,5371
340,5517
341,5103
342,5587
343,5072
344,4875
345,5200
346,5325
347,5333
348,5462
349,5299
350,5333
351,5258
352,5274
353,5217
354,5556
355,5472
356,5236
357,5460
358,5490
359,5747
360,5462
