Time (sec), Avg. Response Time (us)
1,10978.333333333334
2,11211.0
3,12583.0
4,10907.333333333334
5,11374.666666666666
6,11396.666666666666
7,11869.666666666666
8,12284.333333333334
9,12379.0
10,11863.333333333334
11,10971.333333333334
12,11119.666666666666
13,15360.333333333334
14,15414.666666666666
15,12440.333333333334
16,10942.333333333334
17,11748.333333333334
18,14884.333333333334
19,13156.666666666666
20,11727.333333333334
21,14993.666666666666
22,11173.0
23,10729.0
24,11106.333333333334
25,10607.0
26,13006.0
27,13499.0
28,11582.0
29,11381.666666666666
30,11358.0
31,10625.333333333334
32,11307.0
33,11175.333333333334
34,14109.333333333334
35,14948.333333333334
36,13314.666666666666
37,10632.0
38,11086.666666666666
39,10715.0
40,10497.0
41,11182.333333333334
42,11641.666666666666
43,11656.0
44,12183.333333333334
45,11119.666666666666
46,11846.0
47,11899.0
48,11488.666666666666
49,12408.0
50,12880.666666666666
51,15316.666666666666
52,13209.666666666666
53,11508.666666666666
54,11776.666666666666
55,12240.333333333334
56,11858.0
57,10814.0
58,11108.0
59,10776.0
60,10536.0
61,12635.666666666666
62,14083.666666666666
63,11945.333333333334
64,13123.0
65,11524.0
66,11370.333333333334
67,12281.333333333334
68,13813.333333333334
69,12565.0
70,11852.0
71,10826.333333333334
72,10057.0
73,11614.0
74,11725.333333333334
75,11375.0
76,11766.0
77,11039.333333333334
78,10755.0
79,11502.0
80,11681.333333333334
81,12992.0
82,12453.666666666666
83,10925.0
84,10791.666666666666
85,11095.0
86,11044.666666666666
87,11168.0
88,10854.0
89,12121.333333333334
90,11873.666666666666
91,13821.666666666666
92,14740.666666666666
93,10871.666666666666
94,10766.666666666666
95,10854.333333333334
96,11125.333333333334
97,11112.333333333334
98,12877.333333333334
99,13432.666666666666
100,11062.0
101,12178.0
102,14078.666666666666
103,16083.0
104,12028.666666666666
105,12959.333333333334
106,16624.0
107,11952.333333333334
108,12791.333333333334
109,12687.333333333334
110,11398.333333333334
111,11949.333333333334
112,12151.0
113,11696.0
114,11382.333333333334
115,11206.333333333334
116,11095.333333333334
117,10953.666666666666
118,11189.333333333334
119,12119.333333333334
120,13040.0
121,10683.333333333334
122,10653.333333333334
123,12431.0
124,10738.666666666666
125,10770.666666666666
126,11511.666666666666
127,10572.333333333334
128,11156.0
129,13286.0
130,13821.0
131,13326.0
132,11909.333333333334
133,11456.333333333334
134,10367.0
135,11652.0
136,10539.0
137,14003.0
138,16365.666666666666
139,14475.0
140,11226.333333333334
141,12388.666666666666
142,11560.0
143,11160.333333333334
144,11809.0
145,11429.666666666666
