Time (sec), Avg. Response Time (us)
1,10591
2,13058
3,10673
4,11159
5,12301
6,11157
7,12224
8,12263
9,12616
10,11034
11,10605
12,11782
13,24241
14,11037
15,9640
16,12596
17,12564
18,15889
19,10984
20,14587
21,12521
22,10189
23,11639
24,10668
25,10809
26,17445
27,10823
28,11047
29,12648
30,10119
31,11535
32,12300
33,9961
34,21196
35,11967
36,10063
37,11446
38,10762
39,10832
40,10442
41,12061
42,11959
43,12268
44,10258
45,12367
46,12124
47,11188
48,12721
49,11867
50,14304
51,14617
52,12272
53,10461
54,14091
55,11843
56,10668
57,10761
58,11085
59,10540
60,11216
61,15047
62,11448
63,13183
64,12561
65,10255
66,13504
67,11523
68,16363
69,10894
70,10777
71,10575
72,10551
73,12107
74,11224
75,12533
76,10756
77,11014
78,11068
79,12507
80,11529
81,13166
82,12246
83,10445
84,11880
85,10792
86,11466
87,11027
88,10769
89,13371
90,10787
91,18183
92,11166
93,11090
94,10820
95,11079
96,11327
97,11042
98,14845
99,11569
100,10950
101,14453
102,13703
103,14724
104,9832
105,19568
106,11506
107,12643
108,13287
109,12415
110,11080
111,12966
112,11661
113,11611
114,11468
115,10956
116,11343
117,10766
118,11628
119,13818
120,12097
121,9512
122,12998
123,11435
124,10171
125,11854
126,10641
127,11228
128,10800
129,16952
130,13133
131,11105
132,12904
133,9806
134,11889
135,11206
136,9934
137,21353
138,13666
139,11199
140,12418
141,12149
142,11139
143,11493
144,12165
145,10504
146,13822
147,11802
148,11261
149,12345
150,10470
151,9487
152,12028
153,16247
154,10650
155,11834
156,13597
157,11493
158,13728
159,13139
160,14987
161,11511
162,11120
163,11632
164,10889
165,11696
166,11005
167,9890
168,16158
169,12131
170,12228
171,13693
172,11377
173,11536
174,12210
175,11396
176,10765
177,11570
178,11120
179,11326
180,11035
181,11008
182,11770
183,12153
184,11492
185,12178
186,13020
187,15169
188,12544
189,11553
190,10353
191,11660
192,12608
193,12195
194,10383
195,11082
196,15869
197,12997
198,10838
199,15525
200,14620
201,12707
202,11485
203,10713
204,11276
205,11270
206,11371
207,11108
208,13575
209,13823
210,12805
211,13320
212,12523
213,11336
214,12804
215,11635
216,11022
217,12194
218,11725
219,11110
220,11198
221,11463
222,11533
223,13315
224,13743
225,10381
226,10864
227,11842
228,11251
229,11360
230,12430
231,16183
232,13239
233,14522
234,11715
235,10723
236,11255
237,11905
238,9181
239,11894
240,11984
241,10359
242,11430
243,10950
244,12696
245,11707
246,11842
247,11917
248,13749
249,12101
250,11946
251,11889
252,11097
253,12427
254,10839
255,10759
256,10169
257,12247
258,11274
259,12232
260,11836
261,12251
262,13354
263,14078
264,10287
265,10665
266,9421
267,10619
268,10994
269,10912
270,11260
271,10768
272,10633
273,14067
274,11602
275,12155
276,9454
277,11509
278,10013
279,12395
280,13529
281,13850
282,11805
283,11162
284,11325
285,11174
286,11402
287,10628
288,10398
289,10247
290,10502
291,18235
292,10620
293,10655
294,11565
295,10453
296,13930
297,12411
298,12655
299,10684
300,12802
301,14134
302,12151
303,11528
304,11170
305,11146
306,10822
307,13514
308,10793
309,10966
310,10473
311,10023
312,11952
313,11650
314,21925
315,12124
316,11505
317,10724
318,11270
319,10705
320,11471
321,11579
322,10521
323,10642
324,10765
325,12044
326,11423
327,11656
328,11992
329,11196
330,10579
331,13270
332,10975
333,10392
334,11424
335,10974
336,11961
337,11231
338,12112
339,10830
340,12361
341,12691
342,11817
343,12672
344,12250
345,11706
346,12650
347,13281
348,15254
349,11735
350,13149
351,12644
352,11322
353,10750
354,12670
355,10568
356,12178
357,11530
358,10989
359,15054
360,11250
361,11449
362,11736
363,16396
364,10771
365,12213
366,12707
367,15110
368,10683
369,11292
370,11030
371,11799
372,14176
373,11016
374,11897
375,11540
376,12075
377,14043
378,12823
379,19070
380,11670
381,11866
382,11162
383,13236
384,12000
385,10649
386,11764
387,12735
388,11639
389,10988
390,11330
391,13073
392,13800
393,10829
394,13401
395,10887
396,12174
397,12518
398,13335
399,13648
400,12388
401,13087
402,11495
403,12484
404,13230
405,13423
406,11045
407,11116
408,11548
409,11041
410,12043
411,14526
412,13531
413,10256
414,12179
415,11952
416,10278
417,13212
418,10769
419,12858
420,11188
421,12176
422,12141
423,14135
424,13252
425,11144
426,12480
427,11319
428,10077
429,10038
430,11501
431,12139
432,11089
433,11478
434,11077
435,12401
436,11569
437,12293
438,11015
439,11172
440,11218
441,10341
442,10789
443,13416
444,11749
445,9834
446,12276
447,11546
448,11062
449,10122
450,11029
451,10983
452,11306
453,11313
454,9580
455,15375
456,11586
457,11484
458,12356
459,11660
460,12445
461,10380
462,9808
463,11276
464,11981
465,10045
466,13116
467,12102
468,10675
469,13310
470,15611
471,14063
472,16019
473,14644
474,10661
475,10815
476,10950
477,11380
478,11510
479,11247
480,12159
481,11159
482,13764
483,11014
484,12533
485,15729
486,10958
487,11507
488,11182
489,11341
490,12820
491,10520
492,13184
493,13621
494,11190
495,11770
496,11803
497,12064
498,10877
499,13057
500,11025
501,11901
502,10973
503,10943
504,10660
505,11280
506,13783
507,10956
508,11481
509,12561
510,10106
511,12873
512,13181
513,10979
514,14999
515,11347
516,9237
517,11733
518,11172
519,15979
520,11266
521,11592
522,10986
523,11712
524,11065
525,13158
526,11284
527,12404
528,11152
529,12603
530,12207
531,13280
532,11255
533,11031
534,11020
535,12606
536,11380
537,10928
538,12186
539,11062
540,14014
541,12447
542,11013
543,11691
544,13518
545,10211
546,11295
547,12809
548,15554
549,21888
550,14730
551,11846
552,10431
553,11664
554,11495
555,11774
556,13387
557,10992
558,16761
559,11900
560,13879
561,13155
562,14195
563,11360
564,11141
565,10801
566,10659
567,11723
568,13936
569,13541
570,11445
571,15385
572,12059
573,12719
574,11606
575,11390
576,11808
577,16415
578,12122
579,11243
580,14862
581,11503
582,17212
583,14621
584,13309
585,10160
586,11502
587,11070
588,13299
589,13285
590,20929
591,11208
592,12637
593,11638
594,10521
595,11058
596,11072
597,12002
598,12663
599,11255
600,12040
601,10835
602,13453
603,12596
604,11158
605,13526
606,12880
607,10890
608,14031
609,11587
610,12538
611,10863
612,11137
613,10875
614,13269
615,11099
616,11086
617,11822
618,11202
619,14166
620,10970
621,11908
622,12020
623,10443
624,14126
625,13748
626,15833
627,14716
628,11170
629,11104
630,10583
631,11959
632,16195
633,13977
634,12479
635,11375
636,12166
637,10900
638,10791
639,12466
640,13230
641,12072
642,11651
643,12052
644,11659
645,11519
646,15425
647,13776
648,10785
649,11837
650,11504
651,11253
652,11142
653,12183
654,11441
655,11151
656,12699
657,11320
658,11251
659,10863
660,16125
661,14935
662,14086
663,10847
664,10809
665,11788
666,10944
667,11873
668,10836
669,11953
670,12817
671,13500
672,12309
673,12681
674,12123
675,12054
676,10931
677,10569
678,11543
679,14299
680,11803
681,15297
682,15325
683,11895
684,23532
685,10794
686,12354
687,10697
688,10911
689,10826
690,12952
691,11517
692,12834
693,11244
694,11197
695,10570
696,11993
697,10802
698,10924
699,13916
700,10843
701,10768
702,11937
703,13771
704,11164
705,11608
706,10824
707,12164
708,10794
709,11564
710,16572
711,10780
712,11596
713,13149
714,10577
715,12249
716,11229
717,11601
718,9698
719,10870
720,11901
721,12481
722,11342
723,14106
724,10811
725,11106
726,11312
727,10965
728,13718
729,10661
730,12174
731,12799
732,10775
733,10943
734,10720
735,12407
736,11448
737,12942
738,14210
739,11934
740,11366
741,11564
742,10937
743,11280
744,12873
745,10613
746,19921
747,12606
748,10167
749,13000
750,11408
751,11440
752,11932
753,11708
754,11187
755,12020
756,11945
757,10369
758,10615
759,10585
760,12453
761,12121
762,10155
763,9449
764,11209
765,11020
766,11415
767,16458
768,13631
769,9548
770,12726
771,12265
772,9820
773,10376
774,13095
775,10641
776,11596
777,10824
778,11326
779,10812
780,11506
781,10870
782,10989
783,16929
784,12062
785,17870
786,10742
787,11993
788,13189
789,11292
790,10700
791,11665
792,10303
793,10889
794,11652
795,11529
796,11275
797,11791
798,11292
799,11902
800,15378
801,23657
802,10407
803,10515
804,12411
805,13329
806,13770
807,10674
808,11647
809,10180
810,11551
811,11119
812,15009
813,13489
814,11712
815,12067
816,11843
817,10199
818,15568
819,13607
820,12880
821,15553
822,13274
823,12144
824,11660
825,11342
826,14323
827,11234
828,11246
829,11087
830,12296
831,11909
832,11409
833,11834
834,11111
835,13669
836,11311
837,10837
838,12277
839,11506
840,11946
841,10939
842,11276
843,14024
844,10273
845,13641
846,13103
847,14561
848,10592
849,11263
850,10076
851,12880
852,10639
853,15543
854,10596
855,10970
856,11137
857,13286
858,10849
859,11845
860,11362
861,12696
862,16389
863,12829
864,10559
865,12926
866,10341
867,11192
868,10962
869,11644
870,10924
871,11665
872,11094
873,11523
874,10955
875,11339
876,10589
877,14132
878,10969
879,11143
880,9330
881,11185
882,12312
883,11970
884,13563
885,12815
886,9535
887,10991
888,11850
889,11854
890,14004
891,11667
892,10868
893,9889
894,11234
895,11677
896,11345
897,10251
898,12689
899,15164
900,11546
901,11406
902,11029
903,11797
904,10573
905,11109
906,11512
907,15283
908,11611
909,10594
910,11057
911,16754
912,11165
913,15660
914,9718
915,13205
916,12908
917,11366
918,13455
919,13437
920,11059
921,11381
922,9553
923,10880
924,11273
925,10976
926,12231
927,10925
928,11110
929,12669
930,14627
931,11529
932,10590
933,12848
934,13488
935,14112
936,10622
937,16371
938,11531
939,11090
940,11821
941,8668
942,9260
943,10688
944,9720
945,11074
946,10825
947,11940
948,11205
949,10260
950,15636
951,10181
952,10785
953,10444
954,13973
955,11944
956,9224
957,11508
958,11318
959,11832
960,12597
961,27973
962,10584
963,11663
964,13540
965,14845
966,10847
967,10736
968,15016
969,11092
970,9806
971,11103
972,10537
973,10907
974,13667
975,10627
976,10306
977,11964
978,11164
979,12420
980,11248
981,12067
982,11048
983,11105
984,13387
985,11971
986,11023
987,11204
988,9837
989,15035
990,9453
991,11228
992,10338
993,11130
994,11261
995,10670
996,11382
997,11594
998,16157
999,11889
1000,10509
1001,10416
1002,12930
1003,11874
1004,12273
1005,12733
1006,11617
1007,12967
1008,12460
1009,11589
1010,12057
1011,13296
1012,11066
1013,11154
1014,10992
1015,10897
1016,11281
1017,11417
1018,10733
1019,13165
1020,13073
1021,14351
1022,10802
