Time (sec), Avg. Response Time (us), Standard deviation (us)
1,10978.333333333334,6509.693333333334
2,11211.0,10070.663333333334
3,12583.0,15630.773333333333
4,10907.333333333334,6793.206666666668
5,11374.666666666666,9389.36
6,11396.666666666666,8899.906666666666
7,11869.666666666666,12438.303333333335
8,12284.333333333334,16340.603333333334
9,12379.0,14826.9
10,11863.333333333334,10686.49
11,10971.333333333334,7780.083333333333
12,11119.666666666666,7637.746666666666
13,15360.333333333334,31748.333333333332
14,15414.666666666666,35169.75666666666
15,12440.333333333334,23483.97333333333
16,10942.333333333334,9217.573333333334
17,11748.333333333334,13114.453333333333
18,14884.333333333334,25836.193333333333
19,13156.666666666666,20032.59
20,11727.333333333334,18455.976666666666
21,14993.666666666666,31566.37
22,11173.0,9525.203333333333
23,10729.0,4966.06
24,11106.333333333334,4955.756666666667
25,10607.0,4889.446666666667
26,13006.0,11898.403333333334
27,13499.0,14607.206666666667
28,11582.0,10399.673333333334
29,11381.666666666666,8930.76
30,11358.0,11273.86
31,10625.333333333334,8014.793333333334
32,11307.0,12341.913333333332
33,11175.333333333334,11421.736666666666
34,14109.333333333334,22840.67333333333
35,14948.333333333334,29283.21666666667
36,13314.666666666666,22129.190000000002
37,10632.0,5369.88
38,11086.666666666666,6605.573333333334
39,10715.0,7075.306666666666
40,10497.0,7135.676666666666
41,11182.333333333334,7821.0
42,11641.666666666666,9076.013333333334
43,11656.0,8914.796666666667
44,12183.333333333334,12251.563333333334
45,11119.666666666666,10249.223333333333
46,11846.0,9922.316666666666
47,11899.0,7579.420000000001
48,11488.666666666666,8735.199999999999
49,12408.0,14069.796666666667
50,12880.666666666666,12074.653333333334
51,15316.666666666666,25019.316666666666
52,13209.666666666666,15609.576666666666
53,11508.666666666666,8211.4
54,11776.666666666666,9608.233333333334
55,12240.333333333334,10680.266666666666
56,11858.0,10157.196666666667
57,10814.0,6276.073333333334
58,11108.0,6630.026666666668
59,10776.0,6149.313333333333
60,10536.0,6984.163333333333
61,12635.666666666666,13228.306666666665
62,14083.666666666666,18916.22333333333
63,11945.333333333334,9907.046666666667
64,13123.0,14824.936666666666
65,11524.0,11643.203333333333
66,11370.333333333334,9261.813333333334
67,12281.333333333334,15977.929999999998
68,13813.333333333334,21930.63333333333
69,12565.0,16675.579999999998
70,11852.0,12646.58
71,10826.333333333334,7574.329999999999
72,10057.0,9497.196666666667
73,11614.0,16078.799999999997
74,11725.333333333334,14758.573333333334
75,11375.0,12920.786666666667
76,11766.0,18675.436666666665
77,11039.333333333334,7108.62
78,10755.0,7241.376666666666
79,11502.0,7484.163333333333
80,11681.333333333334,9292.063333333334
81,12992.0,16463.463333333333
82,12453.666666666666,20093.06
83,10925.0,10877.473333333333
84,10791.666666666666,7541.913333333334
85,11095.0,9215.353333333333
86,11044.666666666666,5899.596666666667
87,11168.0,6829.553333333333
88,10854.0,6060.096666666667
89,12121.333333333334,16497.646666666667
90,11873.666666666666,13052.523333333333
91,13821.666666666666,16266.473333333333
92,14740.666666666666,22342.596666666668
93,10871.666666666666,6684.426666666666
94,10766.666666666666,6236.599999999999
95,10854.333333333334,6927.113333333334
96,11125.333333333334,6410.153333333333
97,11112.333333333334,6627.713333333333
98,12877.333333333334,23741.313333333335
99,13432.666666666666,23889.466666666664
100,11062.0,6542.063333333334
101,12178.0,10440.966666666667
102,14078.666666666666,20641.829999999998
103,16083.0,34042.67
104,12028.666666666666,17191.74
105,12959.333333333334,26867.849999999995
106,16624.0,42972.28333333333
107,11952.333333333334,10152.473333333333
108,12791.333333333334,15453.696666666665
109,12687.333333333334,13971.76
110,11398.333333333334,7900.06
111,11949.333333333334,6954.2266666666665
112,12151.0,7802.863333333334
113,11696.0,7944.373333333333
114,11382.333333333334,7999.88
115,11206.333333333334,8300.166666666666
116,11095.333333333334,6390.366666666666
117,10953.666666666666,6346.916666666667
118,11189.333333333334,6248.416666666667
119,12119.333333333334,9275.776666666667
120,13040.0,12000.923333333334
121,10683.333333333334,6638.846666666667
122,10653.333333333334,10927.626666666669
123,12431.0,18268.219999999998
124,10738.666666666666,10053.253333333334
125,10770.666666666666,6401.360000000001
126,11511.666666666666,9008.466666666667
127,10572.333333333334,9749.963333333333
128,11156.0,9628.003333333332
129,13286.0,13773.993333333334
130,13821.0,18560.56333333333
131,13326.0,21343.916666666668
132,11909.333333333334,13641.863333333333
133,11456.333333333334,6916.389999999999
134,10367.0,10543.71
135,11652.0,16865.956666666665
136,10539.0,9227.986666666666
137,14003.0,18185.34
138,16365.666666666666,24457.346666666665
139,14475.0,19397.18666666667
140,11226.333333333334,10486.903333333334
141,12388.666666666666,15277.823333333334
142,11560.0,9183.99
143,11160.333333333334,6463.753333333334
144,11809.0,9392.613333333333
145,11429.666666666666,10591.35
146,11582.666666666666,11055.703333333333
147,13443.333333333334,18333.456666666665
148,11296.0,8585.349999999999
149,11915.333333333334,18952.29333333333
150,11143.0,13659.480000000001
151,10149.333333333334,9888.873333333335
152,10545.333333333334,8568.646666666667
153,12689.666666666666,15319.206666666667
154,13486.333333333334,18736.893333333333
155,11693.666666666666,12509.156666666668
156,12034.0,11954.913333333332
157,13116.0,16023.730000000001
158,12851.333333333334,13196.463333333333
159,12861.666666666666,15196.65
160,13277.333333333334,19166.22
161,14648.0,24225.670000000002
162,11185.0,5676.066666666667
163,11327.0,7606.009999999999
164,11005.333333333334,9426.76
165,11325.0,7058.563333333334
166,11875.666666666666,10966.686666666666
167,10078.333333333334,9693.356666666667
168,12291.333333333334,16152.86
169,14638.0,17778.006666666664
170,12198.666666666666,12332.81
171,12232.333333333334,12557.356666666667
172,12137.0,10485.06
173,11813.333333333334,10135.183333333334
174,11331.333333333334,7927.57
175,11826.666666666666,7820.546666666666
176,11217.0,6960.81
177,11296.333333333334,5933.29
178,11069.666666666666,5321.28
179,11205.0,5736.57
180,10968.666666666666,5564.34
181,10904.666666666666,5571.666666666667
182,11311.333333333334,8302.126666666667
183,11791.666666666666,11728.283333333333
184,11582.0,9976.143333333333
185,11579.0,8321.42
186,12680.333333333334,12106.526666666667
187,14266.333333333334,18118.003333333338
188,13590.333333333334,18024.25333333333
189,12144.666666666666,11728.166666666666
190,10645.333333333334,5939.056666666666
191,11310.666666666666,8535.699999999999
192,12120.0,14953.133333333331
193,12129.666666666666,11330.816666666666
194,11318.0,6719.683333333333
195,10603.666666666666,6008.766666666666
196,12362.0,17911.926666666666
197,13736.0,21741.256666666668
198,13685.0,19938.469999999998
199,13411.333333333334,17961.226666666666
200,15211.666666666666,38217.81333333333
