Time (sec), Avg. Response Time (us), Standard deviation (us)
1,10591.0,5977.27
2,13058.0,19673.06
3,10673.0,6512.43
4,11159.0,6744.76
5,12301.0,15176.0
6,11157.0,5677.78
7,12224.0,16695.99
8,12263.0,16169.79
9,12616.0,12370.35
10,11034.0,7515.07
11,10605.0,8576.76
12,11782.0,5958.21
13,24241.0,84830.61
14,11037.0,6329.53
15,9640.0,5002.26
16,12596.0,12186.77
17,12564.0,20683.01
18,15889.0,26850.09
19,10984.0,13148.63
20,14587.0,36433.76
21,12521.0,15078.01
22,10189.0,4923.79
23,11639.0,5280.16
24,10668.0,4592.87
25,10809.0,4971.57
26,17445.0,26231.87
27,10823.0,5568.29
28,11047.0,5652.46
29,12648.0,15216.18
30,10119.0,4578.44
31,11535.0,14015.54
32,12300.0,13416.74
33,9961.0,5634.38
34,21196.0,55628.06
35,11967.0,14769.8
36,10063.0,4639.89
37,11446.0,6304.33
38,10762.0,6804.76
39,10832.0,7209.08
40,10442.0,7217.9
41,12061.0,8935.58
42,11959.0,10070.39
43,12268.0,10461.97
44,10258.0,10217.52
45,12367.0,11010.13
46,12124.0,8850.82
47,11188.0,5314.2
48,12721.0,15344.52
49,11867.0,11393.68
50,14304.0,17479.86
51,14617.0,25289.64
52,12272.0,10175.52
53,10461.0,4926.71
54,14091.0,18025.34
55,11843.0,7516.27
56,10668.0,6560.2
57,10761.0,6203.45
58,11085.0,5745.52
59,10540.0,6827.55
60,11216.0,8463.65
61,15047.0,23604.1
62,11448.0,7322.52
63,13183.0,14648.73
64,12561.0,15748.29
65,10255.0,4317.27
66,13504.0,18027.05
67,11523.0,13983.84
68,16363.0,31472.57
69,10894.0,5818.25
70,10777.0,6554.86
71,10575.0,10565.78
72,10551.0,12966.28
73,12107.0,18437.64
74,11224.0,7351.28
75,12533.0,25541.51
76,10756.0,5528.98
77,11014.0,8345.05
78,11068.0,5503.02
79,12507.0,11036.49
80,11529.0,7598.62
81,13166.0,19878.52
82,12246.0,20343.17
83,10445.0,5110.44
84,11880.0,11568.11
85,10792.0,5321.26
86,11466.0,7590.51
87,11027.0,5675.23
88,10769.0,6349.94
89,13371.0,22033.56
90,10787.0,6497.32
91,18183.0,32299.27
92,11166.0,6068.43
93,11090.0,8713.84
94,10820.0,5329.54
95,11079.0,6538.06
96,11327.0,6629.86
97,11042.0,6167.77
98,14845.0,36695.97
99,11569.0,8740.76
100,10950.0,5950.99
101,14453.0,19753.72
102,13703.0,22193.14
103,14724.0,34205.8
104,9832.0,7843.43
105,19568.0,62215.2
106,11506.0,8107.68
107,12643.0,11917.04
108,13287.0,17932.95
109,12415.0,10504.72
110,11080.0,6150.23
111,12966.0,7477.33
112,11661.0,8107.28
113,11611.0,7623.52
114,11468.0,9870.43
115,10956.0,5070.91
116,11343.0,7394.51
117,10766.0,5756.79
118,11628.0,5997.14
119,13818.0,14334.56
120,12097.0,8126.55
121,9512.0,5397.86
122,12998.0,21185.45
123,11435.0,12763.82
124,10171.0,5328.11
125,11854.0,8607.66
126,10641.0,9451.77
127,11228.0,11928.86
128,10800.0,5216.03
129,16952.0,27160.79
130,13133.0,17496.67
131,11105.0,16696.92
132,12904.0,7673.61
133,9806.0,5909.48
134,11889.0,20193.39
135,11206.0,11059.78
136,9934.0,6158.59
137,21353.0,34324.89
138,13666.0,19632.37
139,11199.0,9052.12
140,12418.0,16954.09
141,12149.0,10810.26
142,11139.0,6949.16
143,11493.0,6764.04
144,12165.0,13188.16
145,10504.0,5674.79
146,13822.0,21503.31
147,11802.0,9254.7
148,11261.0,8429.24
149,12345.0,23235.18
150,10470.0,9749.59
151,9487.0,8588.28
152,12028.0,8541.29
153,16247.0,31913.61
154,10650.0,5334.3
155,11834.0,10321.15
156,13597.0,19573.16
157,11493.0,7090.3
158,13728.0,17082.08
159,13139.0,17502.27
160,14987.0,30894.6
161,11511.0,7127.16
162,11120.0,5140.81
163,11632.0,10635.37
164,10889.0,7298.77
165,11696.0,7420.7
