Time (sec), TPS (ops/sec)
1,17585
2,17494
3,15468
4,17651
5,17062
6,16849
7,16411
8,15676
9,15359
10,16618
11,17525
12,17415
13,14453
14,11721
15,17982
16,17929
17,15750
18,12963
19,15584
20,16301
21,13458
22,17239
23,18173
24,17335
25,18186
26,15587
27,14382
28,17158
29,17048
30,17059
31,18248
32,16664
33,17813
34,15234
35,12551
36,16127
37,18160
38,17410
39,18049
40,18298
41,17127
42,16744
43,16449
44,16211
45,17322
46,16435
47,16325
48,16893
49,15503
50,14375
51,13309
52,14826
53,16804
54,16627
55,15335
56,16814
57,17840
58,17347
59,17849
60,18377
61,15530
62,13966
63,16300
64,14697
65,16867
66,17100
67,15724
68,14387
69,15168
70,16813
71,17799
72,18810
73,17017
74,16534
75,17066
76,16423
77,17421
78,17884
79,16863
80,16375
81,14575
82,15992
83,17768
84,17604
85,17757
86,17484
87,17156
88,17203
89,16541
90,16487
91,14577
92,13605
93,17707
94,17951
95,17773
96,17196
97,16904
98,14959
99,15345
100,17435
101,16105
102,12922
103,13247
104,15383
105,14602
106,13804
107,15589
108,15550
109,15425
110,16853
111,16184
112,15866
113,16490
114,16972
115,17133
116,17466
117,17586
118,17189
119,16128
120,14832
121,18189
122,18487
123,15510
124,18066
125,18063
126,16854
127,18375
128,17291
129,15094
130,13659
131,14720
132,16830
133,17021
134,18517
135,16889
136,18196
137,15581
138,11623
139,15015
140,17209
141,15673
142,16683
143,17289
144,16429
145,16808
146,17097
147,14270
148,16117
149,17450
150,17225
151,19185
152,18653
153,15713
154,14288
155,17125
156,16235
157,14832
158,15045
159,15083
160,14003
161,14398
162,17304
163,17069
164,17515
165,17072
166,16381
167,19346
168,16552
169,13414
170,15835
171,15862
172,15459
173,16889
174,17094
175,16197
176,17411
177,17153
178,17398
179,17219
180,17547
181,17750
182,17109
183,16333
184,16530
185,16889
186,15259
187,13479
188,14315
189,16084
190,18141
191,16314
192,16733
193,15858
194,17116
195,18394
196,16179
197,13312
198,15676
199,13920
200,13693
201,15145
202,17030
203,16574
204,17183
205,17484
206,17086
207,17509
208,16383
209,14997
210,14767
211,13957
212,15473
213,16064
214,16143
215,16533
216,16198
217,16044
218,16682
219,17419
220,17252
221,17211
222,16579
223,16290
224,14127
225,16444
226,18217
227,17234
228,17087
229,16782
230,16047
231,14636
232,13065
233,13159
234,16112
235,17094
236,17629
237,17027
238,19815
239,18622
240,16260
241,18132
242,17675
243,17178
244,16124
245,16433
246,16801
247,15899
248,15780
249,14962
250,15661
251,16579
252,17316
253,16493
254,16969
255,17165
256,18178
257,17121
258,17386
259,16412
260,16110
261,16121
262,15004
263,14448
264,16759
265,17880
266,19690
267,19295
268,18107
269,17703
270,17499
271,17607
272,18606
273,16234
274,15570
275,15651
276,18617
277,18006
278,18473
279,16665
280,15669
281,14699
282,15315
283,16776
284,17332
285,17308
286,17541
287,17968
288,17765
289,18787
290,19001
291,13084
292,15249
293,18127
294,17000
295,17923
296,16165
297,15766
298,15360
299,16826
300,15905
301,14022
302,15936
303,16599
304,16958
305,17747
306,17646
307,15940
308,17214
309,17214
310,18722
311,19201
312,17040
313,16762
314,12454
315,13599
316,15659
317,17777
318,17568
319,18266
320,17832
321,17069
322,17347
323,18388
324,18479
325,16721
326,17128
327,16964
328,16803
329,17153
330,17735
331,16514
332,16923
333,17789
334,17668
335,17633
336,16612
337,16888
338,16538
339,17617
340,16384
341,15932
342,16261
343,15670
344,15927
345,16377
346,16221
347,15381
348,13358
349,14680
350,15447
351,15477
352,16315
353,17465
354,16269
355,17297
356,16604
357,17106
358,17449
359,14117
360,15751
361,17116
362,16859
363,13798
364,15709
365,17113
366,14584
367,13674
368,15772
369,17933
370,17620
371,16608
372,14932
373,16153
374,16649
375,16742
376,16756
377,14791
378,14573
379,11690
380,15669
381,16293
382,16488
383,15650
384,16022
385,17492
386,16631
387,15912
388,16345
389,17434
390,17254
391,15819
392,14934
393,16308
394,15197
395,16740
396,16333
397,15950
398,14638
399,14831
400,15251
401,14792
402,16331
403,15483
404,15208
405,14661
406,15888
407,17418
408,17097
409,17179
410,16255
411,14243
412,14361
413,17197
414,16676
415,16465
416,17764
417,16156
418,17012
419,16324
420,16736
421,16703
422,16144
423,13632
424,14963
425,16367
426,16398
427,16637
428,18070
429,19016
430,18007
431,16586
432,17212
433,17017
434,16904
435,16672
436,16823
437,15663
438,17045
439,17516
440,17277
441,18028
442,18311
443,16860
444,15535
445,17527
446,17424
447,17391
448,17629
449,18690
450,18487
451,17718
452,17661
453,17178
454,19039
455,14921
456,15638
457,16929
458,16286
459,16612
460,15402
461,17666
462,19453
463,18483
464,17394
465,18659
466,17381
467,16085
468,16548
469,16225
470,13357
471,13564
472,13535
473,12140
474,15893
475,18348
476,18208
477,17284
478,16702
479,17190
480,16762
481,16944
482,15650
483,16637
484,16296
485,13148
486,15252
487,17656
488,17281
489,16625
490,15866
491,17273
492,16069
493,15391
494,16342
495,16123
496,16740
497,16245
498,16945
499,15956
500,16687
501,17111
502,17363
503,17560
504,18231
505,18071
506,16099
507,16133
508,17024
509,16581
510,17746
511,15865
512,14988
513,16958
514,14894
515,14773
516,19848
517,18280
518,16750
519,14040
520,15652
521,16953
522,17801
523,16780
524,17453
525,15775
526,15932
527,16694
528,17003
529,16083
530,15129
531,15973
532,16282
533,16518
534,17805
535,16472
536,16576
537,17537
538,16562
539,16829
540,15276
541,14871
542,16625
543,17646
544,15770
545,16195
546,17533
547,16128
548,14518
549,9337
550,12161
551,14628
552,18044
553,17719
554,16899
555,16648
556,15603
557,16380
558,13327
559,14670
560,14661
561,14938
562,13972
563,15893
564,17273
565,17724
566,18145
567,17433
568,15409
