Time (sec), TPS (ops/sec)
1,5884
2,6551
3,4618
4,6025
5,6174
6,5710
7,5191
8,5414
9,5084
10,5544
11,5727
12,5776
13,6314
14,3154
15,5348
16,6620
17,5790
18,4659
19,4201
20,5816
21,4603
22,5245
23,6822
24,5521
25,6078
26,6561
27,4314
28,5220
29,6003
30,5573
31,6160
32,6417
33,5341
34,6181
35,4062
36,4361
37,6435
38,5783
39,5843
40,6445
41,5885
42,5787
43,6069
44,4999
45,5615
46,5882
47,4997
48,6024
49,5259
50,5364
51,4588
52,4095
53,5357
54,6136
55,5109
56,5547
57,6040
58,5706
59,5899
60,6409
61,6066
62,3837
63,6072
64,4567
65,5385
66,6427
67,4838
68,5785
69,4764
70,5030
71,5850
72,6540
73,5482
74,5910
75,5836
76,5425
77,5904
78,5983
79,6041
80,5367
81,5573
82,5206
83,5157
84,6612
85,5726
86,6098
87,5661
88,5974
89,6187
90,4690
91,6031
92,3727
93,5879
94,6259
95,5723
96,5894
97,5919
98,6104
99,4138
100,5582
101,6039
102,4533
103,5074
104,4183
105,6534
106,3160
107,5464
108,5563
109,4788
110,5493
111,5775
112,5290
113,5537
114,5610
115,5594
116,6221
117,5544
118,6107
119,5798
120,4682
121,5711
122,7004
123,4852
124,5583
125,6751
126,5763
127,5909
128,5874
129,6031
130,4855
131,4056
132,5609
133,5451
134,6462
135,5349
136,5892
137,6928
138,4121
139,3628
140,6122
141,5359
142,5460
143,6132
144,5486
145,5214
146,6308
147,4861
148,5458
149,6157
150,5029
151,5977
152,6922
153,5901
154,4440
155,5557
156,6025
157,4477
158,5552
159,4899
160,5609
161,3534
162,6167
163,5509
164,5619
165,6405
166,5337
167,5785
168,6993
169,3934
170,5313
171,5664
172,5087
173,5406
174,6148
175,5420
176,5469
177,6134
178,5728
179,5876
180,5839
181,6076
182,6005
183,5617
184,5586
185,5647
186,5764
187,4802
188,4646
189,4832
190,5807
191,6094
192,5834
193,5220
194,5052
195,6369
196,6177
197,4943
198,4315
199,5897
200,4753
201,4063
202,5874
203,5317
204,5780
205,5830
206,5906
207,5983
208,5805
209,5813
210,4556
211,4706
212,5088
213,5288
214,5337
215,6060
216,4776
217,5748
218,5365
219,5920
220,5915
221,5852
222,5627
223,5589
224,5857
225,3803
226,6515
227,5969
228,6091
229,5393
230,5828
231,5096
232,5119
233,3761
234,5020
235,5491
236,6010
237,5975
238,5551
239,7222
240,5510
241,5949
242,6267
243,5639
244,6101
245,5034
246,6018
247,5258
248,5660
249,5286
250,4780
251,5625
252,5606
253,6046
254,5276
255,5502
256,6126
257,5982
258,5785
259,6204
260,4915
261,5887
262,4997
263,5246
264,4769
265,5894
266,6010
267,6990
268,6403
269,5806
270,6086
271,5702
272,6148
273,6280
274,5303
275,5319
276,5205
277,6737
278,5948
279,6396
280,5202
281,5507
282,4914
283,4908
284,6161
285,5669
286,5874
287,6116
288,5927
289,5638
290,6765
291,6176
292,3353
293,6033
294,5902
295,5653
296,6199
297,5410
298,5236
299,5129
300,5788
301,5232
302,4773
303,5472
304,5565
305,6046
306,5688
307,6084
308,5517
309,5703
310,5873
311,6747
312,6288
313,5577
314,5755
315,3854
316,4426
317,5707
318,5993
319,5975
320,6422
321,5838
322,5676
323,5698
324,6548
325,5959
326,5655
327,5660
328,5809
329,5712
330,5727
331,5945
332,5814
333,5338
334,6252
335,5974
336,5936
337,5426
338,5855
339,5507
340,6136
341,5156
342,5901
343,5011
344,5629
345,5081
346,5971
347,5327
348,5346
349,3799
350,5472
351,5220
352,5190
353,5586
354,5915
355,5332
356,5962
357,5490
358,5972
359,5679
360,4139
361,5906
362,5683
363,6056
364,3853
365,5974
366,6021
367,4713
368,3857
369,6030
370,6433
371,5502
372,5892
373,4584
374,5928
375,5466
376,5858
377,5767
378,4558
379,5335
380,3472
381,5829
382,5150
383,5967
384,4662
385,6095
386,5484
387,5835
388,5018
389,5860
390,5813
391,5826
392,5229
393,5260
394,5369
395,5101
396,5752
397,5620
398,5301
399,4810
400,5461
401,4591
402,5458
403,5334
404,5055
405,5352
406,4523
407,5723
408,6043
409,5714
410,5568
411,5426
412,4485
413,5171
414,5880
415,5644
416,5326
417,6353
418,4969
419,6152
420,5331
421,5756
422,5857
423,5031
424,4844
425,4757
426,5837
427,5591
428,5615
429,6222
430,6672
431,5878
432,5544
433,5937
434,5317
435,5826
436,6068
437,5073
438,5576
439,5783
440,5981
441,5781
442,6125
443,6532
444,5703
445,4450
446,6692
447,5654
448,6234
449,5670
450,6772
451,6020
452,5963
453,6111
454,5572
455,6794
456,4285
457,5669
458,5849
459,5724
460,5145
461,5128
462,6437
463,6504
464,6345
465,5801
466,6466
467,6115
468,4782
469,5956
470,5528
471,3905
472,5272
473,4264
474,3537
475,6233
476,6254
477,6194
478,5578
479,5455
480,6258
481,5271
482,6115
483,5021
484,5926
485,5417
486,3630
487,5906
488,6245
489,5470
490,5761
491,5265
492,6133
493,5010
494,5710
495,5060
496,5832
497,5615
498,5551
499,5823
500,5151
501,5930
502,6035
503,5591
504,6186
505,6241
506,6357
507,4829
508,5833
509,5761
510,5850
511,5713
512,5186
513,5188
514,5908
515,4437
516,5404
517,7474
518,5623
519,5913
520,4162
521,5677
